sku,descricao,categoria,marca,nota_olfativa,preco_tabela,custo_unitario,unidade,ativo,data_lancamento
SKU00039,Sahra Cedro Eau de Parfum KIT 3,Eau de Parfum,Sahra,Cedro,150.65,81.58,KIT 3,S,
SKU00040,Qamar Oud Eau de Parfum KIT 3,Eau de Parfum,Qamar,Oud,100.92,54.19,KIT 3,N,
SKU00041,Layali Patchouli Eau de Parfum DISPLAY 24,Eau de Parfum,Layali,Patchouli,364.12,199.29,DISPLAY 24,S,
SKU00042,Qamar Cardamomo Eau de Parfum DISPLAY 24,Eau de Parfum,Qamar,Cardamomo,263.17,156.61,DISPLAY 24,N,
SKU00043,Qamar Sândalo Eau de Parfum KIT 5,Eau de Parfum,Qamar,Sândalo,369.66,204.10,KIT 5,S,
SKU00044,Qamar Baunilha Eau de Parfum KIT 3,Eau de Parfum,Qamar,Baunilha,104.70,60.50,KIT 3,N,
SKU00045,Rihan Açafrão Eau de Parfum CX 6,Eau de Parfum,Rihan,Açafrão,224.35,127.50,CX 6,N,
SKU00046,Rihan Rosa Eau de Parfum KIT 3,Eau de Parfum,Rihan,Rosa,285.37,167.85,KIT 3,S,2025-02-04
SKU00047,Layali Sândalo Eau de Parfum CX 12,Eau de Parfum,Layali,Sândalo,191.88,104.94,CX 12,S,
SKU00048,Sahra Sândalo Eau de Parfum KIT 5,Eau de Parfum,Sahra,Sândalo,119.91,65.38,KIT 5,S,
SKU00049,Rihan Rosa Eau de Parfum UN,Eau de Parfum,Rihan,Rosa,415.38,247.90,UN,S,
SKU00050,Mizan Cardamomo Eau de Parfum CX 6,Eau de Parfum,Mizan,Cardamomo,242.04,128.26,CX 6,S,
SKU00051,Layali Cedro Eau de Parfum DISPLAY 24,Eau de Parfum,Layali,Cedro,107.08,61.71,DISPLAY 24,S,2026-04-26
SKU00052,Sahra Incenso Eau de Parfum DISPLAY 24,Eau de Parfum,Sahra,Incenso,362.30,208.62,DISPLAY 24,S,
SKU00053,Nadir Cardamomo Eau de Parfum DISPLAY 24,Eau de Parfum,Nadir,Cardamomo,135.19,77.58,DISPLAY 24,S,
SKU00054,Zahir Baunilha Óleo Concentrado UN,Óleo Concentrado,Zahir,Baunilha,170.81,80.58,UN,S,
SKU00055,Zahir Almíscar Óleo Concentrado KIT 5,Óleo Concentrado,Zahir,Almíscar,173.57,84.18,KIT 5,N,
SKU00056,Zahir Patchouli Óleo Concentrado KIT 5,Óleo Concentrado,Zahir,Patchouli,114.37,56.09,KIT 5,S,
SKU00057,Attar Real Rosa Óleo Concentrado CX 12,Óleo Concentrado,Attar Real,Rosa,94.52,42.93,CX 12,S,
SKU00058,Sahra Âmbar Óleo Concentrado CX 12,Óleo Concentrado,Sahra,Âmbar,222.63,106.42,CX 12,S,
SKU00059,Nadir Cedro Óleo Concentrado CX 12,Óleo Concentrado,Nadir,Cedro,61.57,28.50,CX 12,N,
SKU00060,Mizan Almíscar Óleo Concentrado DISPLAY 24,Óleo Concentrado,Mizan,Almíscar,203.29,93.59,DISPLAY 24,S,
SKU00061,Attar Real Cedro Óleo Concentrado CX 6,Óleo Concentrado,Attar Real,Cedro,67.42,34.27,CX 6,S,
SKU00062,Zahir Cardamomo Óleo Concentrado CX 12,Óleo Concentrado,Zahir,Cardamomo,174.62,87.84,CX 12,S,
SKU00063,Attar Real Rosa Óleo Concentrado CX 12,Óleo Concentrado,Attar Real,Rosa,121.82,55.99,CX 12,S,
SKU00064,Nadir Açafrão Óleo Concentrado CX 12,Óleo Concentrado,Nadir,Açafrão,178.58,90.10,CX 12,S,2025-12-09
SKU00065,Attar Real Cardamomo Óleo Concentrado CX 12,Óleo Concentrado,Attar Real,Cardamomo,145.50,75.61,CX 12,S,
SKU00066,Sahra Patchouli Óleo Concentrado DISPLAY 24,Óleo Concentrado,Sahra,Patchouli,45.55,22.99,DISPLAY 24,S,
SKU00067,Sahra Cardamomo Óleo Concentrado DISPLAY 24,Óleo Concentrado,Sahra,Cardamomo,149.02,75.38,DISPLAY 24,S,
SKU00068,Nadir Cedro Óleo Concentrado KIT 3,Óleo Concentrado,Nadir,Cedro,166.03,73.24,KIT 3,S,
SKU00069,Mizan Almíscar Óleo Concentrado CX 6,Óleo Concentrado,Mizan,Almíscar,68.58,30.50,CX 6,S,
SKU00070,Zahir Almíscar Óleo Concentrado DISPLAY 24,Óleo Concentrado,Zahir,Almíscar,150.51,75.69,DISPLAY 24,S,
SKU00071,Nadir Rosa Óleo Concentrado CX 6,Óleo Concentrado,Nadir,Rosa,188.09,96.48,CX 6,S,
SKU00072,Nadir Açafrão Óleo Concentrado CX 6,Óleo Concentrado,Nadir,Açafrão,64.89,31.20,CX 6,S,
SKU00073,Sahra Cedro Óleo Concentrado KIT 3,Óleo Concentrado,Sahra,Cedro,148.58,73.71,KIT 3,N,2025-05-01
SKU00074,Nadir Âmbar Óleo Concentrado KIT 3,Óleo Concentrado,Nadir,Âmbar,178.95,79.93,KIT 3,S,
SKU00075,Attar Real Patchouli Óleo Concentrado KIT 5,Óleo Concentrado,Attar Real,Patchouli,255.40,123.49,KIT 5,S,2026-05-12
SKU00076,Zahir Incenso Óleo Concentrado CX 12,Óleo Concentrado,Zahir,Incenso,96.79,48.81,CX 12,N,
SKU00077,Attar Real Baunilha Óleo Concentrado CX 6,Óleo Concentrado,Attar Real,Baunilha,191.79,92.51,CX 6,S,
SKU00078,Sahra Sândalo Óleo Concentrado DISPLAY 24,Óleo Concentrado,Sahra,Sândalo,65.72,32.60,DISPLAY 24,S,
SKU00079,Zahir Jasmim Óleo Concentrado CX 12,Óleo Concentrado,Zahir,Jasmim,50.29,24.62,CX 12,S,
SKU00080,Zahir Sândalo Óleo Concentrado KIT 3,Óleo Concentrado,Zahir,Sândalo,96.35,47.06,KIT 3,S,2025-06-02
SKU00081,Attar Real Sândalo Óleo Concentrado KIT 3,Óleo Concentrado,Attar Real,Sândalo,105.39,49.64,KIT 3,S,2025-11-10
SKU00082,Sahra Cedro Óleo Concentrado DISPLAY 24,Óleo Concentrado,Sahra,Cedro,259.13,119.65,DISPLAY 24,S,
SKU00083,Mizan Almíscar Óleo Concentrado CX 6,Óleo Concentrado,Mizan,Almíscar,46.16,22.74,CX 6,S,
SKU00084,Zahir Cardamomo Óleo Concentrado UN,Óleo Concentrado,Zahir,Cardamomo,203.29,100.51,UN,S,
SKU00085,Nadir Cedro Óleo Concentrado DISPLAY 24,Óleo Concentrado,Nadir,Cedro,134.49,59.41,DISPLAY 24,S,
SKU00086,Sahra Âmbar Óleo Concentrado CX 6,Óleo Concentrado,Sahra,Âmbar,240.74,118.59,CX 6,S,
SKU00087,Zahir Jasmim Óleo Concentrado UN,Óleo Concentrado,Zahir,Jasmim,52.88,24.34,UN,S,
SKU00088,Attar Real Cedro Óleo Concentrado KIT 5,Óleo Concentrado,Attar Real,Cedro,78.96,38.75,KIT 5,S,
SKU00089,Sahra Oud Óleo Concentrado UN,Óleo Concentrado,Sahra,Oud,69.33,33.34,UN,S,
SKU00090,Zahir Âmbar Óleo Concentrado UN,Óleo Concentrado,Zahir,Âmbar,59.54,27.45,UN,S,
SKU00091,Nadir Incenso Óleo Concentrado KIT 3,Óleo Concentrado,Nadir,Incenso,212.23,95.39,KIT 3,S,
SKU00092,Bayt Al Oud Jasmim Bakhoor CX 6,Bakhoor,Bayt Al Oud,Jasmim,37.32,18.97,CX 6,S,
SKU00093,Bayt Al Oud Baunilha Bakhoor DISPLAY 24,Bakhoor,Bayt Al Oud,Baunilha,119.54,57.72,DISPLAY 24,S,
SKU00094,Dahab Almíscar Bakhoor CX 12,Bakhoor,Dahab,Almíscar,130.15,67.18,CX 12,S,
SKU00095,Bayt Al Oud Rosa Bakhoor DISPLAY 24,Bakhoor,Bayt Al Oud,Rosa,149.22,72.72,DISPLAY 24,N,2025-06-30
SKU00096,Sahra Baunilha Bakhoor KIT 5,Bakhoor,Sahra,Baunilha,101.58,51.03,KIT 5,S,
SKU00097,Bayt Al Oud Almíscar Bakhoor DISPLAY 24,Bakhoor,Bayt Al Oud,Almíscar,97.03,49.48,DISPLAY 24,S,
SKU00098,Bayt Al Oud Patchouli Bakhoor CX 12,Bakhoor,Bayt Al Oud,Patchouli,153.25,79.76,CX 12,S,
SKU00099,Dahab Cedro Bakhoor CX 12,Bakhoor,Dahab,Cedro,130.14,63.94,CX 12,S,
SKU00100,Sahra Âmbar Bakhoor DISPLAY 24,Bakhoor,Sahra,Âmbar,128.21,70.86,DISPLAY 24,S,
SKU00101,Qamar Oud Bakhoor DISPLAY 24,Bakhoor,Qamar,Oud,61.69,31.68,DISPLAY 24,S,
SKU00102,Bayt Al Oud Sândalo Bakhoor CX 12,Bakhoor,Bayt Al Oud,Sândalo,134.54,69.99,CX 12,S,
SKU00103,Dahab Oud Bakhoor DISPLAY 24,Bakhoor,Dahab,Oud,50.21,25.80,DISPLAY 24,S,
SKU00104,Bayt Al Oud Rosa Bakhoor UN,Bakhoor,Bayt Al Oud,Rosa,52.69,28.70,UN,S,
SKU00105,Sahra Oud Bakhoor KIT 3,Bakhoor,Sahra,Oud,75.21,37.52,KIT 3,S,
SKU00106,Bayt Al Oud Almíscar Bakhoor UN,Bakhoor,Bayt Al Oud,Almíscar,33.63,16.25,UN,S,
SKU00107,Dahab Cedro Bakhoor UN,Bakhoor,Dahab,Cedro,93.70,46.76,UN,S,
SKU00108,Dahab Açafrão Bakhoor CX 6,Bakhoor,Dahab,Açafrão,139.69,76.41,CX 6,S,
SKU00109,Bayt Al Oud Cardamomo Bakhoor KIT 5,Bakhoor,Bayt Al Oud,Cardamomo,151.39,77.51,KIT 5,S,2025-09-21
SKU00110,Bayt Al Oud Oud Bakhoor KIT 5,Bakhoor,Bayt Al Oud,Oud,129.86,64.25,KIT 5,S,2025-01-08
SKU00111,Sahra Cedro Bakhoor CX 12,Bakhoor,Sahra,Cedro,126.58,70.57,CX 12,N,
SKU00112,Sahra Rosa Bakhoor CX 12,Bakhoor,Sahra,Rosa,44.37,22.01,CX 12,S,
SKU00113,Dahab Baunilha Bakhoor DISPLAY 24,Bakhoor,Dahab,Baunilha,66.16,33.54,DISPLAY 24,N,
SKU00114,Dahab Açafrão Bakhoor CX 6,Bakhoor,Dahab,Açafrão,163.87,80.46,CX 6,S,
SKU00115,Qamar Baunilha Bakhoor DISPLAY 24,Bakhoor,Qamar,Baunilha,57.67,29.95,DISPLAY 24,S,
SKU00116,Sahra Sândalo Bakhoor DISPLAY 24,Bakhoor,Sahra,Sândalo,155.68,77.45,DISPLAY 24,S,
SKU00117,Sahra Almíscar Bakhoor CX 12,Bakhoor,Sahra,Almíscar,73.02,40.65,CX 12,S,
SKU00118,Qamar Incenso Bakhoor KIT 3,Bakhoor,Qamar,Incenso,81.68,44.75,KIT 3,S,
SKU00119,Sahra Cedro Bakhoor CX 12,Bakhoor,Sahra,Cedro,95.56,50.84,CX 12,S,
SKU00120,Qamar Jasmim Bakhoor KIT 5,Bakhoor,Qamar,Jasmim,82.25,42.94,KIT 5,S,
SKU00121,Dahab Cedro Bakhoor KIT 3,Bakhoor,Dahab,Cedro,53.54,27.25,KIT 3,S,
SKU00122,Layali Açafrão Difusor de Ambiente DISPLAY 24,Difusor de Ambiente,Layali,Açafrão,92.35,54.90,DISPLAY 24,S,
SKU00123,Bayt Al Oud Âmbar Difusor de Ambiente KIT 3,Difusor de Ambiente,Bayt Al Oud,Âmbar,87.13,54.51,KIT 3,S,
SKU00124,Bayt Al Oud Jasmim Difusor de Ambiente DISPLAY 24,Difusor de Ambiente,Bayt Al Oud,Jasmim,183.76,106.78,DISPLAY 24,S,
SKU00125,Mizan Baunilha Difusor de Ambiente UN,Difusor de Ambiente,Mizan,Baunilha,83.58,51.10,UN,S,
SKU00126,Bayt Al Oud Cardamomo Difusor de Ambiente KIT 5,Difusor de Ambiente,Bayt Al Oud,Cardamomo,86.22,50.98,KIT 5,N,
SKU00127,Mizan Almíscar Difusor de Ambiente CX 12,Difusor de Ambiente,Mizan,Almíscar,81.26,46.67,CX 12,S,2025-03-25
SKU00128,Layali Cardamomo Difusor de Ambiente DISPLAY 24,Difusor de Ambiente,Layali,Cardamomo,208.72,127.20,DISPLAY 24,S,2026-01-23
SKU00129,Layali Oud Difusor de Ambiente CX 6,Difusor de Ambiente,Layali,Oud,87.80,54.30,CX 6,S,
SKU00130,Layali Jasmim Difusor de Ambiente CX 6,Difusor de Ambiente,Layali,Jasmim,161.02,89.41,CX 6,S,
SKU00131,Layali Sândalo Difusor de Ambiente CX 12,Difusor de Ambiente,Layali,Sândalo,104.15,61.06,CX 12,S,
SKU00132,Bayt Al Oud Sândalo Difusor de Ambiente DISPLAY 24,Difusor de Ambiente,Bayt Al Oud,Sândalo,77.03,44.45,DISPLAY 24,S,
SKU00133,Bayt Al Oud Patchouli Difusor de Ambiente UN,Difusor de Ambiente,Bayt Al Oud,Patchouli,70.27,42.37,UN,S,2026-02-22
SKU00134,Mizan Cardamomo Difusor de Ambiente DISPLAY 24,Difusor de Ambiente,Mizan,Cardamomo,88.61,53.49,DISPLAY 24,S,
SKU00135,Bayt Al Oud Cardamomo Difusor de Ambiente KIT 5,Difusor de Ambiente,Bayt Al Oud,Cardamomo,153.15,95.84,KIT 5,S,
SKU00136,Layali Âmbar Difusor de Ambiente CX 12,Difusor de Ambiente,Layali,Âmbar,91.14,50.33,CX 12,S,
SKU00137,Mizan Rosa Difusor de Ambiente CX 6,Difusor de Ambiente,Mizan,Rosa,86.79,48.63,CX 6,S,2024-12-19
SKU00138,Layali Açafrão Difusor de Ambiente CX 6,Difusor de Ambiente,Layali,Açafrão,136.79,78.38,CX 6,S,
SKU00139,Bayt Al Oud Oud Difusor de Ambiente KIT 3,Difusor de Ambiente,Bayt Al Oud,Oud,113.96,68.27,KIT 3,S,
SKU00140,Layali Patchouli Difusor de Ambiente CX 12,Difusor de Ambiente,Layali,Patchouli,158.38,87.78,CX 12,S,
SKU00141,Layali Jasmim Difusor de Ambiente CX 12,Difusor de Ambiente,Layali,Jasmim,107.45,66.13,CX 12,S,
SKU00142,Layali Cedro Difusor de Ambiente DISPLAY 24,Difusor de Ambiente,Layali,Cedro,63.36,35.61,DISPLAY 24,N,
SKU00143,Mizan Cedro Difusor de Ambiente CX 12,Difusor de Ambiente,Mizan,Cedro,86.24,48.41,CX 12,S,
SKU00144,Layali Cedro Body Splash KIT 3,Body Splash,Layali,Cedro,57.20,36.72,KIT 3,S,
SKU00145,Layali Cedro Body Splash KIT 5,Body Splash,Layali,Cedro,62.09,40.76,KIT 5,S,
SKU00146,Zahir Rosa Body Splash CX 6,Body Splash,Zahir,Rosa,40.48,23.57,CX 6,N,
SKU00147,Zahir Cardamomo Body Splash KIT 5,Body Splash,Zahir,Cardamomo,88.72,58.36,KIT 5,S,
SKU00148,Rihan Almíscar Body Splash CX 6,Body Splash,Rihan,Almíscar,83.73,52.33,CX 6,S,
SKU00149,Zahir Oud Body Splash CX 12,Body Splash,Zahir,Oud,82.70,54.28,CX 12,S,
SKU00150,Layali Almíscar Body Splash CX 6,Body Splash,Layali,Almíscar,89.25,55.80,CX 6,S,
SKU00151,Zahir Âmbar Body Splash KIT 5,Body Splash,Zahir,Âmbar,55.59,32.27,KIT 5,S,
SKU00152,Zahir Rosa Body Splash CX 12,Body Splash,Zahir,Rosa,52.62,33.59,CX 12,N,2025-02-19
SKU00153,Layali Patchouli Body Splash KIT 3,Body Splash,Layali,Patchouli,71.58,43.23,KIT 3,S,
SKU00154,Zahir Cedro Body Splash UN,Body Splash,Zahir,Cedro,43.94,26.02,UN,S,
SKU00155,Rihan Patchouli Body Splash KIT 3,Body Splash,Rihan,Patchouli,93.75,57.98,KIT 3,S,
SKU00156,Zahir Oud Body Splash DISPLAY 24,Body Splash,Zahir,Oud,62.67,40.99,DISPLAY 24,S,
SKU00157,Layali Jasmim Body Splash DISPLAY 24,Body Splash,Layali,Jasmim,75.09,45.02,DISPLAY 24,N,
SKU00158,Layali Cardamomo Body Splash CX 12,Body Splash,Layali,Cardamomo,56.04,34.83,CX 12,N,
SKU00159,Layali Açafrão Body Splash KIT 5,Body Splash,Layali,Açafrão,68.55,42.16,KIT 5,S,2026-05-10
SKU00160,Layali Oud Body Splash CX 6,Body Splash,Layali,Oud,84.08,51.32,CX 6,N,
SKU00161,Zahir Oud Body Splash DISPLAY 24,Body Splash,Zahir,Oud,60.51,36.09,DISPLAY 24,S,
SKU00162,Zahir Jasmim Body Splash DISPLAY 24,Body Splash,Zahir,Jasmim,47.16,29.28,DISPLAY 24,S,
SKU00163,Layali Cardamomo Body Splash DISPLAY 24,Body Splash,Layali,Cardamomo,36.65,23.17,DISPLAY 24,S,
SKU00164,Nadir Açafrão Body Splash KIT 5,Body Splash,Nadir,Açafrão,63.18,38.45,KIT 5,S,
SKU00165,Zahir Sândalo Body Splash CX 12,Body Splash,Zahir,Sândalo,78.22,47.53,CX 12,S,
SKU00166,Zahir Sândalo Body Splash UN,Body Splash,Zahir,Sândalo,78.04,50.54,UN,S,
SKU00167,Layali Incenso Body Splash UN,Body Splash,Layali,Incenso,71.17,41.39,UN,S,2026-01-05
SKU00168,Zahir Rosa Body Splash KIT 3,Body Splash,Zahir,Rosa,44.30,28.84,KIT 3,S,
SKU00169,Zahir Oud Body Splash KIT 3,Body Splash,Zahir,Oud,50.61,31.22,KIT 3,S,
SKU00170,Zahir Patchouli Body Splash UN,Body Splash,Zahir,Patchouli,75.54,48.65,UN,S,
SKU00171,Zahir Sândalo Body Splash KIT 5,Body Splash,Zahir,Sândalo,95.23,58.36,KIT 5,S,
SKU00172,Rihan Rosa Body Splash KIT 5,Body Splash,Rihan,Rosa,36.91,22.17,KIT 5,S,
SKU00173,Rihan Sândalo Body Splash DISPLAY 24,Body Splash,Rihan,Sândalo,43.85,25.58,DISPLAY 24,S,
SKU00174,Dahab Jasmim Kit Presente CX 6,Kit Presente,Dahab,Jasmim,546.65,368.48,CX 6,S,
SKU00175,Layali Jasmim Kit Presente DISPLAY 24,Kit Presente,Layali,Jasmim,454.25,290.61,DISPLAY 24,S,
SKU00176,Sahra Rosa Kit Presente CX 6,Kit Presente,Sahra,Rosa,249.61,160.12,CX 6,S,
SKU00177,Nadir Sândalo Kit Presente UN,Kit Presente,Nadir,Sândalo,353.83,223.09,UN,S,
SKU00178,Layali Baunilha Kit Presente UN,Kit Presente,Layali,Baunilha,172.12,113.46,UN,S,
SKU00179,Nadir Almíscar Kit Presente DISPLAY 24,Kit Presente,Nadir,Almíscar,252.97,162.35,DISPLAY 24,S,2025-01-07
SKU00180,Sahra Sândalo Kit Presente CX 6,Kit Presente,Sahra,Sândalo,614.08,414.47,CX 6,N,2025-10-08
SKU00181,Nadir Rosa Kit Presente CX 6,Kit Presente,Nadir,Rosa,435.40,274.42,CX 6,S,
SKU00182,Dahab Patchouli Kit Presente CX 12,Kit Presente,Dahab,Patchouli,313.38,198.43,CX 12,S,
SKU00183,Layali Baunilha Kit Presente KIT 3,Kit Presente,Layali,Baunilha,572.68,360.01,KIT 3,S,
SKU00184,Nadir Sândalo Kit Presente CX 12,Kit Presente,Nadir,Sândalo,242.02,163.22,CX 12,S,
SKU00185,Layali Jasmim Kit Presente CX 12,Kit Presente,Layali,Jasmim,392.47,263.09,CX 12,S,
SKU00186,Sahra Cardamomo Kit Presente KIT 5,Kit Presente,Sahra,Cardamomo,208.21,140.28,KIT 5,S,
SKU00187,Dahab Incenso Kit Presente KIT 3,Kit Presente,Dahab,Incenso,151.22,93.96,KIT 3,S,2025-01-31
SKU00188,Sahra Sândalo Kit Presente CX 6,Kit Presente,Sahra,Sândalo,188.57,118.31,CX 6,S,
SKU00189,Dahab Sândalo Kit Presente CX 6,Kit Presente,Dahab,Sândalo,554.76,381.64,CX 6,S,
SKU00190,Dahab Jasmim Kit Presente CX 12,Kit Presente,Dahab,Jasmim,653.76,437.99,CX 12,S,
SKU00191,Dahab Âmbar Kit Presente KIT 3,Kit Presente,Dahab,Âmbar,433.54,282.35,KIT 3,S,
SKU00192,Nadir Cedro Kit Presente DISPLAY 24,Kit Presente,Nadir,Cedro,494.39,329.77,DISPLAY 24,N,
SKU00193,Layali Âmbar Kit Presente DISPLAY 24,Kit Presente,Layali,Âmbar,687.06,419.53,DISPLAY 24,S,
SKU00194,Dahab Almíscar Kit Presente CX 12,Kit Presente,Dahab,Almíscar,399.75,244.53,CX 12,S,2026-05-26
SKU00195,Nadir Patchouli Kit Presente KIT 3,Kit Presente,Nadir,Patchouli,366.67,233.91,KIT 3,S,2025-12-08
SKU00196,Dahab Baunilha Kit Presente CX 6,Kit Presente,Dahab,Baunilha,268.13,174.46,CX 6,S,
SKU00197,Dahab Jasmim Kit Presente UN,Kit Presente,Dahab,Jasmim,204.16,125.59,UN,S,
SKU00198,Dahab Baunilha Kit Presente UN,Kit Presente,Dahab,Baunilha,608.47,389.86,UN,S,
SKU00199,Layali Cardamomo Kit Presente CX 6,Kit Presente,Layali,Cardamomo,154.00,96.51,CX 6,S,
SKU00200,Sahra Açafrão Kit Presente KIT 3,Kit Presente,Sahra,Açafrão,285.97,189.71,KIT 3,S,
SKU00201,Nadir Âmbar Kit Presente DISPLAY 24,Kit Presente,Nadir,Âmbar,212.78,130.80,DISPLAY 24,S,
SKU00202,Layali Âmbar Kit Presente DISPLAY 24,Kit Presente,Layali,Âmbar,300.65,198.52,DISPLAY 24,N,
SKU00203,Layali Cardamomo Kit Presente DISPLAY 24,Kit Presente,Layali,Cardamomo,301.32,193.88,DISPLAY 24,S,
SKU00204,Rihan Baunilha Hidratante Corporal DISPLAY 24,Hidratante Corporal,Rihan,Baunilha,34.32,22.38,DISPLAY 24,N,
SKU00205,Layali Açafrão Hidratante Corporal KIT 3,Hidratante Corporal,Layali,Açafrão,80.32,50.09,KIT 3,S,
SKU00206,Rihan Sândalo Hidratante Corporal CX 6,Hidratante Corporal,Rihan,Sândalo,57.88,37.87,CX 6,S,
SKU00207,Layali Jasmim Hidratante Corporal KIT 5,Hidratante Corporal,Layali,Jasmim,84.01,53.21,KIT 5,S,2026-05-24
SKU00208,Zahir Cedro Hidratante Corporal KIT 3,Hidratante Corporal,Zahir,Cedro,79.82,49.53,KIT 3,S,
SKU00209,Rihan Sândalo Hidratante Corporal KIT 5,Hidratante Corporal,Rihan,Sândalo,58.27,35.14,KIT 5,S,2026-03-12
SKU00210,Rihan Cedro Hidratante Corporal DISPLAY 24,Hidratante Corporal,Rihan,Cedro,71.33,46.01,DISPLAY 24,S,
SKU00211,Zahir Rosa Hidratante Corporal DISPLAY 24,Hidratante Corporal,Zahir,Rosa,85.69,56.20,DISPLAY 24,N,
