pedido_id,cliente_id,vendedor_id,data_pedido,canal,status,valor_total
142,15,6,2024-11-27,App,Entregue,4613.94
143,15,6,2025-01-21,App,Faturado,1506.49
144,15,6,21/03/2025,Telefone,Faturado,2441.86
145,15,6,2025-05-07,Visita,Faturado,3114.67
146,15,6,2025-06-17,WhatsApp,Entregue,4975.14
147,15,6,28/08/2025,App,Cancelado,0.00
148,15,6,2025-10-21,WhatsApp,Entregue,2318.43
149,15,6,2025-11-26,Visita,Faturado,1803.38
150,15,6,2025-12-29,WhatsApp,Faturado,3646.73
151,15,6,2026-03-04,Visita,Entregue,6264.89
152,15,6,2026-04-29,Telefone,Faturado,3377.80
153,15,6,2026-06-12,App,Faturado,2194.89
154,15,6,2026-08-04,Visita,Faturado,1112.62
155,16,23,2024-09-27,App,Entregue,5425.36
156,16,23,2024-11-13,Visita,Faturado,4561.15
157,16,23,2025-01-03,Visita,Entregue,2333.67
158,16,23,2025-03-19,Telefone,Entregue,4646.16
159,16,23,2025-05-16,Visita,Cancelado,0.00
160,16,23,11/07/2025,WhatsApp,Faturado,3954.70
161,16,23,19/09/2025,Visita,Entregue,880.96
162,16,23,03/11/2025,WhatsApp,Cancelado,0.00
163,16,23,2025-12-10,Telefone,Entregue,898.33
164,16,23,2026-02-21,App,Entregue,3294.56
165,16,23,2026-04-24,Visita,Faturado,4479.92
166,16,23,2026-06-05,App,Faturado,1752.62
167,16,23,2026-08-07,Visita,Faturado,2311.20
168,17,26,20/01/2026,App,Entregue,1518.09
169,17,26,2026-03-03,WhatsApp,Entregue,1305.76
170,17,26,2026-04-16,App,Entregue,3485.54
171,17,26,2026-06-25,Visita,Entregue,1453.91
172,17,26,2026-08-31,Telefone,Entregue,2184.01
173,18,34,2024-09-02,Visita,Entregue,2289.74
174,18,34,2024-11-03,App,Faturado,4459.03
175,18,34,2024-12-17,Visita,Entregue,2388.67
176,18,34,2025-02-11,Visita,Em separação,5722.82
177,18,34,2025-04-13,Telefone,Entregue,4875.15
178,18,34,2025-05-23,WhatsApp,Entregue,2245.65
179,18,34,2025-07-30,Visita,Entregue,2465.34
180,18,34,2025-09-15,Telefone,Entregue,1963.51
181,18,34,2025-11-14,WhatsApp,Faturado,8970.24
182,18,34,2026-01-23,App,Entregue,866.25
183,18,34,04/03/2026,WhatsApp,Entregue,2203.07
184,18,34,2026-04-18,App,Entregue,4513.98
185,18,34,2026-06-08,Visita,Faturado,3317.38
186,18,34,2026-07-23,WhatsApp,Entregue,96.41
187,19,14,2024-09-13,Visita,Entregue,410.92
188,19,14,13/11/2024,Visita,Faturado,1576.54
189,19,14,2025-01-20,Telefone,Faturado,668.95
190,19,14,2025-04-30,Visita,Entregue,2786.42
191,19,14,2025-08-09,WhatsApp,Entregue,1596.85
192,19,14,2025-10-06,Visita,Entregue,1388.53
193,19,14,2025-12-17,Telefone,Entregue,2264.14
194,20,41,2024-09-26,WhatsApp,Entregue,1350.51
195,20,41,2024-11-15,Visita,Faturado,9007.98
196,20,41,2025-01-06,App,Entregue,1040.26
197,20,41,2025-03-03,Visita,Entregue,2039.17
198,20,41,25/04/2025,Visita,Entregue,5385.81
199,20,41,2025-07-01,WhatsApp,Entregue,339.79
200,20,10,2025-08-20,Telefone,Entregue,3856.03
201,20,10,2025-09-22,Visita,Entregue,5679.39
202,20,10,2025-11-01,Visita,Faturado,1616.77
203,20,10,2025-12-10,Visita,Entregue,456.48
204,20,10,2026-02-20,App,Entregue,1376.93
205,20,10,2026-04-24,Telefone,Entregue,3305.17
206,20,10,2026-05-29,Visita,Entregue,3212.86
207,20,10,2026-07-01,WhatsApp,Faturado,3136.60
208,20,10,2026-08-26,App,Faturado,2323.41
209,21,14,2024-09-09,Telefone,Entregue,2765.54
210,21,14,2024-12-26,WhatsApp,Faturado,1453.16
211,21,14,2025-03-19,Telefone,Entregue,1179.89
212,21,14,2025-07-21,WhatsApp,Entregue,1488.22
213,21,14,2025-11-10,App,Entregue,970.49
214,21,14,2026-01-22,WhatsApp,Entregue,641.70
215,21,14,2026-03-19,Visita,Faturado,734.32
216,21,14,2026-06-10,Visita,Entregue,1329.47
217,22,13,2026-01-28,Telefone,Faturado,1844.39
218,22,13,2026-04-06,Visita,Entregue,5635.98
219,22,13,2026-06-01,WhatsApp,Faturado,10709.11
220,22,13,2026-07-03,App,Entregue,3028.13
221,22,13,2026-08-06,App,Entregue,1303.33
222,23,42,2024-09-24,Visita,Entregue,2089.53
223,23,42,2025-01-07,Visita,Faturado,488.42
224,23,42,2025-03-21,Visita,Entregue,3886.26
225,23,42,15/05/2025,App,Faturado,4669.03
226,23,42,2025-07-23,Visita,Em separação,1172.61
227,23,42,2025-10-20,App,Entregue,11513.94
228,23,42,2025-12-24,Visita,Entregue,438.80
229,23,42,09/04/2026,App,Faturado,4464.22
230,23,42,2026-07-07,Visita,Faturado,679.00
231,24,3,2024-09-20,Visita,Entregue,9396.55
232,24,3,2024-10-18,App,Entregue,2277.26
233,24,3,2024-11-04,Visita,Entregue,10011.65
234,24,3,2024-12-05,Visita,Entregue,4817.13
235,24,3,2024-12-23,Visita,Entregue,3876.95
236,24,3,2025-01-19,Visita,Faturado,1444.32
237,24,3,08/02/2025,WhatsApp,Entregue,10413.07
238,24,3,06/03/2025,Telefone,Faturado,9178.61
239,24,3,2025-04-05,WhatsApp,Faturado,6192.37
240,24,3,2025-05-05,App,Faturado,4567.75
241,24,3,2025-05-30,Telefone,Em separação,5662.25
242,24,3,2025-06-17,WhatsApp,Entregue,2312.37
243,24,3,2025-07-15,App,Faturado,6338.15
244,24,3,2025-08-13,App,Em separação,6259.16
245,24,3,2025-09-12,WhatsApp,Entregue,2130.35
246,24,3,2025-10-08,Visita,Cancelado,0.00
247,24,3,2025-11-06,Visita,Cancelado,0.00
248,24,3,18/12/2025,App,Faturado,8547.55
249,24,3,2026-01-21,WhatsApp,Entregue,1659.37
250,24,3,2026-02-27,Visita,Entregue,9437.36
251,24,3,2026-03-23,Visita,Entregue,2602.32
252,24,3,2026-04-16,Visita,Entregue,6514.83
253,24,3,2026-05-14,Visita,Entregue,6838.29
254,24,3,2026-06-15,Visita,Entregue,26137.09
255,24,3,2026-07-06,WhatsApp,Entregue,7157.57
256,24,3,2026-08-04,Telefone,Entregue,11506.71
257,24,3,2026-08-28,Telefone,Entregue,4610.26
258,25,6,2025-10-27,Visita,Faturado,2177.54
259,25,6,2026-01-01,Telefone,Entregue,523.28
260,25,6,2026-03-27,Visita,Faturado,2344.21
261,25,6,2026-07-10,Visita,Faturado,380.12
262,26,18,2025-07-29,App,Entregue,4391.14
263,26,18,26/09/2025,Visita,Entregue,4492.47
264,26,18,2025-11-10,Telefone,Cancelado,0.00
265,26,18,2025-12-23,Visita,Faturado,1334.94
266,26,18,2026-02-22,Telefone,Entregue,946.47
267,26,18,01/04/2026,App,Faturado,4594.81
268,26,18,04/06/2026,Telefone,Faturado,3136.46
269,26,18,2026-08-05,Visita,Entregue,3641.08
270,27,26,03/09/2024,App,Faturado,545.82
271,27,26,2024-11-15,WhatsApp,Entregue,2645.74
272,27,26,2025-01-24,Visita,Entregue,2001.28
273,27,26,2025-04-05,Visita,Entregue,4336.73
274,27,26,2025-08-15,Visita,Faturado,365.48
275,27,26,2025-11-01,Visita,Faturado,3452.73
276,27,26,2026-01-26,App,Entregue,2208.15
277,27,26,2026-03-24,Visita,Entregue,1223.39
278,27,26,2026-06-19,Telefone,Cancelado,0.00
279,27,26,2026-08-20,Visita,Entregue,2579.17
280,28,31,2024-09-17,Visita,Entregue,379.76
281,28,31,2024-12-17,Visita,Faturado,3900.03
282,28,31,2025-02-13,Visita,Entregue,1110.26
283,28,31,2025-06-18,WhatsApp,Faturado,3684.68
284,28,31,2025-08-28,Telefone,Em separação,613.19
285,28,31,2025-11-01,App,Cancelado,0.00
286,28,31,2026-01-14,Visita,Entregue,368.23
287,28,31,20/03/2026,Visita,Em separação,1335.76
288,28,23,2026-07-17,Telefone,Entregue,322.08
289,29,31,05/09/2024,Visita,Entregue,762.70
290,29,31,2025-01-02,App,Entregue,316.29
291,29,14,19/03/2025,Telefone,Entregue,2562.66
292,29,14,2025-05-26,App,Entregue,2569.10
293,29,14,2025-08-11,Telefone,Faturado,870.32
294,30,38,2024-09-04,Visita,Entregue,1142.24
295,30,38,2024-11-20,Telefone,Entregue,184.07
296,30,38,2025-02-25,App,Entregue,506.45
297,30,38,2025-07-25,Visita,Entregue,2073.21
298,30,38,2025-10-21,Visita,Entregue,1534.02
299,30,38,2026-01-09,Visita,Entregue,859.24
300,30,38,2026-05-04,Telefone,Entregue,2725.84
301,30,38,2026-07-20,App,Entregue,2620.85
302,31,36,2024-09-19,Visita,Entregue,431.91
303,31,36,2024-11-13,Visita,Em separação,2257.31
304,31,36,2025-03-28,Visita,Faturado,2366.87
305,31,36,2025-07-19,App,Entregue,440.98
306,31,36,2025-09-30,Visita,Entregue,5479.20
307,31,36,24/12/2025,Visita,Entregue,1087.92
308,31,36,2026-03-22,App,Cancelado,0.00
309,31,36,02/07/2026,App,Entregue,481.95
310,33,15,2024-11-27,Telefone,Entregue,5539.15
311,33,15,2025-01-22,WhatsApp,Entregue,1059.89
312,33,40,2025-03-27,Visita,Faturado,1223.80
313,33,40,2025-05-27,Visita,Entregue,2410.86
314,33,40,2025-08-01,Visita,Entregue,3866.33
315,33,40,2025-09-05,Visita,Entregue,1320.91
316,33,40,2025-10-28,Visita,Faturado,2558.79
317,33,40,2025-12-12,WhatsApp,Entregue,2197.45
318,33,40,2026-02-17,WhatsApp,Entregue,457.06
319,33,40,2026-03-27,Visita,Faturado,2214.27
320,33,40,2026-06-04,Visita,Entregue,9449.85
321,33,40,2026-07-21,Visita,Entregue,5384.45
322,33,40,2026-08-26,Visita,Faturado,1834.10
323,34,10,2024-09-10,App,Faturado,9346.93
324,34,10,2024-11-11,App,Faturado,1786.10
325,34,10,2025-01-08,Telefone,Entregue,739.80
326,34,10,24/02/2025,Visita,Faturado,1524.46
327,34,10,2025-04-24,Visita,Faturado,5801.97
328,34,10,16/06/2025,App,Faturado,2841.82
329,34,10,2025-08-18,App,Entregue,6124.83
330,34,10,2025-10-03,Telefone,Entregue,7299.89
331,34,10,2025-11-26,App,Faturado,4352.63
332,34,10,2026-01-19,Telefone,Faturado,1718.82
333,34,3,2026-02-23,WhatsApp,Entregue,974.38
334,34,3,2026-04-08,Visita,Em separação,4345.85
335,34,3,2026-05-28,App,Entregue,2026.68
336,34,3,2026-07-16,Telefone,Em separação,3492.06
337,35,8,2024-09-17,App,Faturado,991.83
338,35,8,2024-12-03,Visita,Faturado,1022.68
339,35,8,2025-02-03,Telefone,Entregue,288.61
340,35,8,05/05/2025,Telefone,Entregue,2590.48
341,35,8,2025-07-02,Visita,Entregue,2560.60
342,35,8,2025-10-16,Telefone,Entregue,2998.97
343,35,8,2025-12-19,Visita,Entregue,120.88
344,35,8,2026-03-26,App,Faturado,1411.81
345,35,8,2026-06-08,App,Faturado,786.66
346,35,8,2026-08-18,Visita,Faturado,627.66
347,36,11,2024-09-20,Visita,Faturado,1748.74
348,36,11,2024-11-11,Telefone,Faturado,4211.99
349,36,11,2025-01-09,Telefone,Entregue,3237.95
350,36,11,2025-03-07,Visita,Entregue,2117.70
351,36,11,2025-05-12,App,Entregue,6758.73
352,36,11,17/06/2025,Visita,Entregue,3465.38
353,36,11,2025-07-22,Telefone,Entregue,-273.68
354,36,11,2025-09-19,Visita,Entregue,2596.26
355,36,11,2025-11-24,Visita,Entregue,3373.28
356,36,11,30/01/2026,Visita,Faturado,79.97
357,36,11,2026-03-09,Visita,Entregue,3202.60
358,36,11,2026-04-30,Visita,Entregue,3813.71
359,36,11,2026-06-26,App,Faturado,5400.85
360,36,11,2026-08-10,App,Entregue,6585.88
361,37,1,2026-03-23,Visita,Entregue,3294.87
362,37,1,2026-05-26,Visita,Faturado,3562.48
363,37,1,2026-07-04,Telefone,Entregue,1470.50
364,37,1,2026-08-07,Visita,Entregue,2912.37
365,38,13,2025-09-24,Visita,Entregue,1790.37
366,38,13,2025-12-04,Visita,Entregue,2184.38
367,38,13,2026-03-18,App,Entregue,2373.88
368,38,13,2026-05-27,WhatsApp,Entregue,2570.36
369,38,13,2026-08-19,Telefone,Faturado,968.53
370,39,28,10/03/2026,WhatsApp,Faturado,4586.30
371,39,28,2026-05-07,Visita,Entregue,1395.45
372,39,28,2026-06-23,Visita,Faturado,5298.78
373,39,28,2026-08-06,Visita,Entregue,3525.72
374,40,41,2024-10-03,Visita,Entregue,484.84
375,40,41,2024-12-09,Visita,Entregue,481.78
376,40,41,2025-04-02,WhatsApp,Faturado,927.78
377,41,31,2025-05-10,Visita,Entregue,1111.73
378,41,31,2025-08-05,Visita,Faturado,872.18
379,41,31,2025-09-30,Telefone,Faturado,1463.92
380,41,31,2026-01-27,Visita,Entregue,1139.72
381,41,31,2026-05-19,Visita,Faturado,412.19
382,41,31,2026-07-17,Visita,Entregue,1285.54
383,42,16,2024-09-06,Telefone,Entregue,4401.31
384,42,16,07/11/2024,App,Faturado,2083.38
385,42,16,24/02/2025,App,Em separação,1670.93
386,42,16,2025-07-02,WhatsApp,Entregue,2783.47
387,42,16,2025-11-07,Telefone,Entregue,2643.45
388,42,16,2026-02-12,App,Entregue,4039.41
389,42,16,2026-05-01,Visita,Faturado,1222.19
390,42,16,2026-08-17,App,Faturado,1596.69
391,43,35,2024-09-17,Visita,Faturado,5089.94
392,43,35,2024-10-25,Telefone,Entregue,5426.29
393,43,35,2025-01-03,App,Entregue,1396.46
394,43,35,2025-02-11,App,Faturado,5627.44
395,43,35,2025-04-14,Telefone,Entregue,3268.96
396,43,35,2025-06-23,App,Entregue,5167.81
397,43,35,2025-08-07,Visita,Entregue,2270.09
398,43,35,2025-10-16,Visita,Faturado,3877.69
399,43,35,2025-11-26,Visita,Entregue,1913.64
400,43,35,11/02/2026,Visita,Entregue,963.20
401,43,35,2026-04-16,Visita,Faturado,3613.24
402,43,35,2026-06-10,Telefone,Faturado,2335.83
403,43,35,2026-07-31,Visita,Entregue,4462.27
404,44,24,2024-09-20,Telefone,Faturado,1447.25
405,44,24,2024-12-25,Telefone,Entregue,846.29
406,44,24,2025-04-01,App,Faturado,1547.35
407,44,24,2025-08-04,WhatsApp,Entregue,1166.14
408,44,24,2025-11-28,Visita,Entregue,759.19
409,44,24,2026-03-30,Telefone,Cancelado,0.00
410,44,24,2026-06-11,Visita,Entregue,5009.33
411,45,29,2024-09-24,App,Faturado,3496.31
412,45,29,29/10/2024,Visita,Entregue,5582.38
413,45,29,2025-01-23,App,Entregue,3582.51
414,45,29,2025-03-14,Visita,Faturado,1803.52
415,45,29,2025-05-17,Visita,Entregue,1827.16
416,45,29,2025-07-14,Telefone,Entregue,1589.28
417,45,29,2025-09-22,WhatsApp,Entregue,1938.81
418,45,29,2025-11-26,Telefone,Entregue,1168.42
419,45,29,14/01/2026,WhatsApp,Entregue,1396.47
420,45,29,2026-03-13,Visita,Entregue,1624.81
421,45,29,2026-04-27,WhatsApp,Em separação,1883.62
422,45,29,2026-06-29,Telefone,Faturado,659.07
423,45,29,2026-08-27,Visita,Entregue,2545.22
424,46,24,2024-09-24,Visita,Faturado,1714.63
425,46,24,2024-11-16,App,Entregue,1164.01
426,47,24,06/03/2026,Visita,Faturado,733.92
427,47,24,2026-07-10,WhatsApp,Faturado,1038.88
428,48,10,2024-09-24,Visita,Entregue,6464.39
429,48,10,2024-12-07,Visita,Faturado,3287.77
430,48,10,2025-04-04,Visita,Faturado,1606.15
431,48,10,2025-06-03,WhatsApp,Entregue,2630.10
432,48,10,2025-08-25,Visita,Entregue,1628.97
433,48,10,2025-10-28,Telefone,Entregue,1593.90
434,48,17,2026-01-19,Visita,Entregue,532.30
435,48,17,2026-04-10,Visita,Faturado,1967.49
436,48,17,2026-07-28,WhatsApp,Faturado,1795.75
437,49,22,2024-09-26,App,Entregue,328.47
438,50,9,2024-09-02,Visita,Entregue,2365.27
439,50,9,17/10/2024,App,Entregue,2687.70
440,50,9,2024-12-21,App,Entregue,4581.11
441,50,9,2025-02-03,Visita,Entregue,2679.15
442,50,9,2025-03-12,App,Entregue,4827.93
443,50,9,2025-05-22,Visita,Entregue,1854.82
444,50,9,2025-07-07,Visita,Entregue,3398.15
445,50,9,2025-08-28,Telefone,Entregue,2970.94
446,50,8,2025-10-06,Visita,Faturado,6080.05
447,50,8,2025-11-20,Visita,Entregue,1431.13
448,50,8,22/12/2025,App,Entregue,1415.76
449,50,8,2026-02-03,Visita,Entregue,2622.53
450,50,8,2026-04-09,App,Entregue,3911.58
451,50,8,2026-05-21,Telefone,Entregue,3027.39
452,50,8,21/07/2026,Visita,Faturado,2270.88
453,51,24,2026-06-17,Visita,Entregue,18746.20
454,51,24,2026-07-15,Visita,Faturado,3800.07
455,51,24,19/08/2026,Visita,Entregue,1504.32
456,52,33,2024-09-06,WhatsApp,Faturado,2507.70
457,52,33,2025-01-16,WhatsApp,Entregue,1072.06
458,52,33,2025-05-05,Visita,Entregue,2423.56
459,52,33,2025-08-01,Visita,Faturado,871.86
460,52,33,24/10/2025,Telefone,Faturado,1753.16
461,52,33,2026-01-22,App,Faturado,364.08
462,52,33,2026-05-07,WhatsApp,Entregue,1561.75
463,53,36,2024-09-05,Telefone,Faturado,15422.79
464,53,36,2024-10-15,Telefone,Cancelado,0.00
465,53,36,2024-11-14,Visita,Faturado,7208.48
466,53,36,2024-12-09,Visita,Entregue,9603.52
467,53,36,2025-01-07,Visita,Cancelado,0.00
468,53,36,2025-01-28,Visita,Entregue,4333.55
469,53,36,2025-03-06,App,Faturado,11193.12
470,53,36,2025-03-31,Telefone,Faturado,11635.28
471,53,36,2025-05-02,Visita,Entregue,7506.03
472,53,36,2025-05-19,Telefone,Entregue,3855.39
473,53,36,26/06/2025,Visita,Entregue,10012.96
474,53,36,2025-07-17,Telefone,Entregue,4108.02
475,53,36,2025-08-18,Telefone,Faturado,4275.36
476,53,36,2025-09-11,App,Cancelado,0.00
477,53,36,2025-10-01,App,Entregue,6661.26
478,53,36,2025-11-03,Telefone,Entregue,8034.21
479,53,36,2025-11-22,App,Entregue,13031.77
480,53,36,25/12/2025,App,Entregue,1822.38
481,53,36,2026-01-20,Visita,Faturado,3513.59
482,53,36,2026-02-19,Telefone,Entregue,2017.83
483,53,36,2026-03-30,App,Faturado,4399.62
484,53,36,2026-04-22,App,Entregue,4654.89
485,54,2,02/09/2024,App,Entregue,2903.77
486,54,2,2024-12-06,Visita,Entregue,6273.50
487,54,2,2025-02-26,App,Entregue,1426.22
488,54,2,2025-05-29,Telefone,Entregue,5931.77
489,54,2,2025-10-01,Visita,Entregue,292.55
490,55,20,2025-02-12,Visita,Faturado,1663.63
491,55,20,2025-04-09,Visita,Faturado,4810.69
492,55,20,2025-07-25,Visita,Entregue,1815.44
493,55,20,2025-09-19,Visita,Entregue,2005.00
494,55,20,2026-01-05,Visita,Faturado,1579.97
495,55,20,2026-04-24,Visita,Entregue,2680.79
496,55,20,2026-06-30,Telefone,Faturado,1959.04
497,56,41,2025-02-18,App,Entregue,684.49
498,56,41,2025-04-16,Telefone,Faturado,1186.31
499,56,41,2025-08-25,Telefone,Faturado,2865.98
500,57,4,2024-09-04,Telefone,Entregue,2032.36
501,57,4,04/11/2024,App,Entregue,4718.24
502,57,4,2025-01-14,App,Faturado,1222.99
503,57,4,2025-03-14,App,Entregue,6058.89
504,57,4,2025-04-28,Telefone,Entregue,2552.60
505,57,4,2025-06-25,WhatsApp,Em separação,2171.08
506,57,4,2025-08-09,Visita,Entregue,1427.86
507,57,4,2025-09-17,App,Faturado,3124.10
508,57,4,2025-10-29,App,Entregue,1324.39
509,57,15,2025-12-18,App,Faturado,2855.37
510,57,15,2026-01-26,Visita,Entregue,2400.41
511,57,15,10/03/2026,App,Faturado,4108.17
512,57,15,2026-04-27,App,Entregue,3024.44
513,57,15,2026-07-01,Visita,Entregue,5170.24
514,58,24,2024-09-09,Telefone,Faturado,2735.62
515,58,24,2024-10-14,App,Entregue,6311.42
516,58,24,2024-12-09,Visita,Entregue,3368.27
517,58,24,2025-01-30,Visita,Entregue,4262.65
