item_id,pedido_id,sku,quantidade,preco_praticado,desconto_pct,valor_bruto
49,10,SKU00013,2,164.61,8.00,329.22
50,10,SKU00137,1,86.79,0.00,86.79
51,10,SKU00089,1,69.33,0.00,69.33
52,11,SKU00138,1,125.85,8.00,125.85
53,11,SKU00199,3,141.68,8.00,425.04
54,11,SKU00137,4,84.19,3.00,336.76
55,11,SKU00261,1,140.01,0.00,140.01
56,11,SKU00008,1,294.24,3.00,294.24
57,11,SKU00185,1,345.37,12.00,345.37
58,11,SKU00286,6,35.13,5.00,210.78
59,12,SKU00237,4,55.30,8.00,221.20
60,12,SKU00110,4,125.96,3.00,503.84
61,12,SKU00088,6,78.96,0.00,473.76
62,12,SKU00050,3,242.04,0.00,726.12
63,12,SKU00075,6,234.97,8.00,1409.82
64,13,SKU00193,8,687.06,0.00,5496.48
65,13,SKU00207,5,81.49,3.00,407.45
66,13,SKU00141,8,107.45,0.00,859.60
67,13,SKU00039,8,146.13,3.00,1169.04
68,14,SKU00004,10,281.08,8.00,2810.80
69,14,SKU00280,3,45.88,0.00,137.64
70,14,SKU00150,3,84.79,5.00,254.37
71,14,SKU00206,1,54.99,5.00,54.99
72,14,SKU00179,2,245.38,3.00,490.76
73,14,SKU00097,1,94.12,3.00,94.12
74,14,SKU00023,3,116.30,0.00,348.90
75,14,SKU00287,3,35.41,0.00,106.23
76,14,SKU00173,2,43.85,0.00,87.70
77,15,SKU00155,2,86.25,8.00,172.50
78,15,SKU00069,3,65.15,5.00,195.45
79,15,SKU00004,2,296.35,3.00,592.70
80,15,SKU00197,3,204.16,0.00,612.48
81,15,SKU00010,4,172.64,0.00,690.56
82,15,SKU00080,2,96.35,0.00,192.70
83,15,SKU00066,11,45.55,0.00,501.05
84,15,SKU00230,2,61.39,5.00,122.78
85,15,SKU00156,6,59.54,5.00,357.24
86,15,SKU00250,3,65.67,5.00,197.01
87,16,SKU00048,8,119.91,0.00,959.28
88,16,SKU00102,1,123.78,8.00,123.78
89,16,SKU00009,3,175.64,12.00,526.92
90,16,SKU00109,10,151.39,0.00,1513.90
91,16,SKU00289,1,22.98,0.00,22.98
92,16,SKU00098,1,153.25,0.00,153.25
93,16,SKU00243,5,49.27,8.00,246.35
94,16,SKU00120,5,75.67,8.00,378.35
95,17,SKU00069,1,65.15,5.00,65.15
96,17,SKU00172,5,35.80,3.00,179.00
97,17,SKU00206,4,53.25,8.00,213.00
98,17,SKU00149,4,82.70,0.00,330.80
99,17,SKU00077,5,191.79,0.00,958.95
100,17,SKU00085,1,130.46,3.00,130.46
101,17,SKU00292,2,47.05,5.00,94.10
102,17,SKU00271,4,110.56,12.00,442.24
103,18,SKU00005,3,406.21,0.00,1218.63
104,18,SKU00221,3,60.17,5.00,180.51
105,18,SKU00096,1,93.45,8.00,93.45
106,18,SKU00072,11,59.70,8.00,656.70
107,18,SKU00263,4,128.31,0.00,513.24
108,18,SKU00190,5,634.15,3.00,3170.75
109,18,SKU00241,4,26.62,5.00,106.48
110,18,SKU00107,4,93.70,0.00,374.80
111,18,SKU00245,3,31.14,0.00,93.42
112,19,SKU00214,1,63.96,8.00,63.96
113,19,SKU00013,3,157.45,12.00,472.35
114,19,SKU00108,4,128.51,8.00,514.04
115,19,SKU00089,3,67.25,3.00,201.75
116,19,SKU00194,1,399.75,0.00,399.75
117,19,SKU00123,9,87.13,0.00,784.17
118,19,SKU00242,1,46.12,8.00,46.12
119,19,SKU00064,4,157.15,12.00,628.60
120,19,SKU00181,1,422.34,3.00,422.34
121,20,SKU00249,4,105.39,0.00,421.56
122,20,SKU00225,8,80.02,5.00,640.16
123,20,SKU00098,3,153.25,0.00,459.75
124,20,SKU00020,10,83.97,18.00,839.70
125,20,SKU00110,8,129.86,0.00,1038.88
126,20,SKU00195,4,322.67,12.00,1290.68
127,20,SKU00237,1,60.11,0.00,60.11
128,21,SKU00063,1,121.82,0.00,121.82
129,21,SKU00280,5,45.88,0.00,229.40
130,21,SKU00229,3,44.32,0.00,132.96
131,21,SKU00159,1,66.49,3.00,66.49
132,22,SKU00274,-1,127.89,0.00,-127.89
133,22,SKU00162,2,41.50,12.00,83.00
134,22,SKU00072,1,64.89,0.00,64.89
135,22,SKU00262,6,148.65,3.00,891.90
136,22,SKU00009,2,175.64,12.00,351.28
137,22,SKU00277,2,92.87,0.00,185.74
138,23,SKU00046,10,276.81,3.00,2768.10
139,23,SKU00264,4,138.37,0.00,553.48
140,23,SKU00154,5,42.62,3.00,213.10
141,23,SKU00121,1,49.26,8.00,49.26
142,24,SKU00281,2,17.17,12.00,34.34
143,24,SKU00210,1,71.33,0.00,71.33
144,25,SKU00074,3,178.95,0.00,536.85
145,25,SKU00253,1,112.61,8.00,112.61
146,25,SKU00265,3,64.75,0.00,194.25
147,26,SKU00041,3,364.12,0.00,1092.36
148,26,SKU00256,3,68.10,3.00,204.30
149,26,SKU00016,3,362.18,8.00,1086.54
150,26,SKU00006,3,253.89,0.00,761.67
151,27,SKU00218,-10,51.22,8.00,-512.20
152,27,SKU00243,5,49.27,8.00,246.35
153,27,SKU00250,10,60.83,12.00,608.30
154,27,SKU00246,3,42.71,8.00,128.13
155,27,SKU00026,1,313.83,0.00,313.83
156,28,SKU00259,4,51.12,8.00,204.48
157,28,SKU00064,2,157.15,12.00,314.30
158,28,SKU00053,3,118.97,12.00,356.91
159,29,SKU00051,1,107.08,0.00,107.08
160,29,SKU00025,8,158.12,18.00,1264.96
161,29,SKU00148,5,77.03,8.00,385.15
162,29,SKU00276,5,150.82,8.00,754.10
163,30,SKU00082,4,228.03,12.00,912.12
164,30,SKU00191,1,433.54,0.00,433.54
165,30,SKU00051,4,98.51,8.00,394.04
166,31,SKU00153,4,62.99,12.00,251.96
167,31,SKU00159,3,63.07,8.00,189.21
168,31,SKU00096,2,93.45,8.00,186.90
169,31,SKU00032,1,369.28,3.00,369.28
170,31,SKU00280,3,45.88,0.00,137.64
171,31,SKU00134,4,72.66,18.00,290.64
172,32,SKU00187,7,146.68,3.00,1026.76
173,32,SKU00179,3,222.61,12.00,667.83
174,32,SKU00030,1,134.71,0.00,134.71
175,32,SKU00122,4,92.35,0.00,369.40
176,32,SKU00086,3,240.74,0.00,722.22
177,32,SKU00127,3,81.26,0.00,243.78
178,33,SKU00257,10,87.03,3.00,870.30
179,33,SKU00259,4,55.57,0.00,222.28
180,33,SKU00041,1,353.20,3.00,353.20
181,33,SKU00184,3,229.92,5.00,689.76
182,34,SKU00137,2,86.79,0.00,173.58
183,34,SKU00083,3,46.16,0.00,138.48
184,34,SKU00190,3,601.46,8.00,1804.38
185,34,SKU00269,1,54.63,3.00,54.63
186,34,SKU00105,3,72.95,3.00,218.85
187,35,SKU00102,8,134.54,0.00,1076.32
188,35,SKU00249,1,105.39,0.00,105.39
189,35,SKU00208,1,70.24,12.00,70.24
190,35,SKU00237,2,57.10,5.00,114.20
191,35,SKU00183,1,572.68,0.00,572.68
192,36,SKU00281,2,19.51,0.00,39.02
193,36,SKU00106,1,33.63,0.00,33.63
194,36,SKU00244,2,39.18,3.00,78.36
195,37,SKU00013,9,178.92,0.00,1610.28
196,37,SKU00100,3,128.21,0.00,384.63
197,37,SKU00166,6,78.04,0.00,468.24
198,37,SKU00165,12,68.83,12.00,825.96
199,37,SKU00026,12,304.42,3.00,3653.04
200,38,SKU00027,5,264.74,3.00,1323.70
201,38,SKU00274,5,127.89,0.00,639.45
202,38,SKU00144,4,57.20,0.00,228.80
203,38,SKU00008,3,288.17,5.00,864.51
204,38,SKU00191,4,411.86,5.00,1647.44
205,39,SKU00105,1,71.45,5.00,71.45
206,39,SKU00132,5,77.03,0.00,385.15
207,39,SKU00256,3,64.59,8.00,193.77
208,39,SKU00171,2,95.23,0.00,190.46
209,40,SKU00134,3,88.61,0.00,265.83
210,40,SKU00154,1,43.94,0.00,43.94
211,40,SKU00255,5,131.34,18.00,656.70
212,41,SKU00125,2,68.54,18.00,137.08
213,41,SKU00028,1,106.70,0.00,106.70
214,41,SKU00149,1,82.70,0.00,82.70
215,41,SKU00205,2,76.30,5.00,152.60
216,42,SKU00220,3,60.54,8.00,181.62
217,42,SKU00046,1,271.10,5.00,271.10
218,43,SKU00060,1,166.70,18.00,166.70
219,43,SKU00284,1,51.66,0.00,51.66
220,44,SKU00225,2,80.02,5.00,160.04
221,44,SKU00018,3,241.86,5.00,725.58
222,45,SKU00004,3,268.86,12.00,806.58
223,45,SKU00114,9,158.95,3.00,1430.55
224,45,SKU00046,6,285.37,0.00,1712.22
225,45,SKU00013,19,178.92,0.00,3399.48
226,46,SKU00066,4,43.27,5.00,173.08
227,46,SKU00232,1,43.47,12.00,43.47
228,46,SKU00225,5,84.23,0.00,421.15
229,46,SKU00223,2,59.35,0.00,118.70
230,46,SKU00249,1,105.39,0.00,105.39
231,46,SKU00197,1,204.16,0.00,204.16
232,47,SKU00004,1,250.53,18.00,250.53
233,47,SKU00085,2,127.77,5.00,255.54
234,48,SKU00190,2,634.15,3.00,1268.30
235,48,SKU00256,1,70.21,0.00,70.21
236,48,SKU00240,1,15.30,5.00,15.30
237,48,SKU00003,6,318.50,0.00,1911.00
238,49,SKU00246,2,46.42,0.00,92.84
239,49,SKU00133,4,68.16,3.00,272.64
240,49,SKU00054,2,170.81,0.00,341.62
241,49,SKU00281,4,19.51,0.00,78.04
242,49,SKU00067,6,144.55,3.00,867.30
243,49,SKU00272,3,65.67,3.00,197.01
244,49,SKU00292,8,49.53,0.00,396.24
245,49,SKU00103,8,48.70,3.00,389.60
246,49,SKU00109,4,146.85,3.00,587.40
247,49,SKU00200,15,277.39,3.00,4160.85
248,49,SKU00066,15,45.55,0.00,683.25
249,49,SKU00251,1,51.42,8.00,51.42
250,49,SKU00011,6,240.83,0.00,1444.98
251,49,SKU00215,4,31.49,3.00,125.96
252,49,SKU00290,8,22.96,0.00,183.68
253,50,SKU00195,2,348.34,5.00,696.68
254,50,SKU00021,3,110.17,0.00,330.51
255,50,SKU00007,3,395.93,3.00,1187.79
256,50,SKU00145,6,58.99,5.00,353.94
257,50,SKU00053,2,131.13,3.00,262.26
258,50,SKU00234,5,41.22,0.00,206.10
259,50,SKU00207,19,79.81,5.00,1516.39
260,50,SKU00179,9,232.73,8.00,2094.57
261,50,SKU00033,3,251.65,3.00,754.95
262,50,SKU00239,6,14.10,8.00,84.60
263,50,SKU00200,6,285.97,0.00,1715.82
264,50,SKU00068,2,166.03,0.00,332.06
265,51,SKU00148,5,77.03,8.00,385.15
266,51,SKU00071,8,182.45,3.00,1459.60
267,51,SKU00063,1,121.82,0.00,121.82
268,51,SKU00254,4,113.38,0.00,453.52
269,51,SKU00135,3,140.90,8.00,422.70
270,51,SKU00253,5,118.73,3.00,593.65
271,51,SKU00041,4,345.91,5.00,1383.64
272,51,SKU00264,1,131.45,5.00,131.45
273,51,SKU00177,10,353.83,0.00,3538.30
274,52,SKU00237,4,55.30,8.00,221.20
275,52,SKU00004,6,296.35,3.00,1778.10
276,52,SKU00238,1,51.05,0.00,51.05
277,52,SKU00164,1,63.18,0.00,63.18
278,52,SKU00049,6,415.38,0.00,2492.28
279,52,SKU00222,4,47.02,3.00,188.08
280,52,SKU00224,9,81.46,3.00,733.14
281,52,SKU00292,1,43.59,12.00,43.59
282,52,SKU00048,2,113.91,5.00,227.82
283,52,SKU00141,1,104.23,3.00,104.23
284,52,SKU00198,3,559.79,8.00,1679.37
285,52,SKU00281,9,17.95,8.00,161.55
286,52,SKU00246,9,46.42,0.00,417.78
287,52,SKU00137,1,79.85,8.00,79.85
288,52,SKU00039,2,143.12,5.00,286.24
289,52,SKU00067,1,141.57,5.00,141.57
290,53,SKU00110,7,125.96,3.00,881.72
291,53,SKU00225,1,80.02,5.00,80.02
292,53,SKU00277,2,92.87,0.00,185.74
293,53,SKU00250,1,56.69,18.00,56.69
294,53,SKU00283,4,52.79,0.00,211.16
295,53,SKU00067,1,144.55,3.00,144.55
296,53,SKU00147,4,88.72,0.00,354.88
297,53,SKU00047,10,168.85,12.00,1688.50
298,54,SKU00020,4,97.28,5.00,389.12
299,54,SKU00027,3,272.93,0.00,818.79
300,54,SKU00255,3,160.17,0.00,480.51
301,54,SKU00077,2,191.79,0.00,383.58
302,54,SKU00016,3,393.67,0.00,1181.01
303,54,SKU00121,1,53.54,0.00,53.54
304,54,SKU00097,1,94.12,3.00,94.12
305,54,SKU00089,9,67.25,3.00,605.25
306,54,SKU00198,1,608.47,0.00,608.47
307,54,SKU00017,3,296.25,3.00,888.75
308,54,SKU00215,9,32.46,0.00,292.14
309,54,SKU00256,1,64.59,8.00,64.59
310,55,SKU00104,5,52.69,0.00,263.45
311,55,SKU00077,7,186.04,3.00,1302.28
312,55,SKU00283,2,50.15,5.00,100.30
313,55,SKU00159,4,56.21,18.00,224.84
314,55,SKU00179,2,232.73,8.00,465.46
315,55,SKU00225,5,84.23,0.00,421.15
316,55,SKU00124,21,183.76,0.00,3858.96
317,55,SKU00189,7,554.76,0.00,3883.32
318,55,SKU00085,1,134.49,0.00,134.49
319,55,SKU00175,2,399.74,12.00,799.48
320,55,SKU00068,5,161.05,3.00,805.25
321,55,SKU00169,2,50.61,0.00,101.22
322,55,SKU00131,1,95.82,8.00,95.82
323,56,SKU00187,6,151.22,0.00,907.32
324,56,SKU00269,9,53.50,5.00,481.50
325,56,SKU00172,17,36.91,0.00,627.47
326,56,SKU00007,-6,375.53,8.00,-2253.18
327,56,SKU00230,1,56.87,12.00,56.87
328,56,SKU00237,6,57.10,5.00,342.60
329,56,SKU00283,3,51.21,3.00,153.63
330,56,SKU00038,17,283.08,12.00,4812.36
331,56,SKU00093,3,113.56,5.00,340.68
332,56,SKU00041,6,345.91,5.00,2075.46
333,56,SKU00004,6,305.52,0.00,1833.12
334,56,SKU00240,12,14.82,8.00,177.84
335,56,SKU00006,3,253.89,0.00,761.67
336,56,SKU00121,12,53.54,0.00,642.48
337,57,SKU00151,1,55.59,0.00,55.59
338,57,SKU00284,2,49.08,5.00,98.16
339,57,SKU00106,3,30.94,8.00,92.82
340,57,SKU00022,2,282.21,5.00,564.42
341,57,SKU00003,6,280.28,12.00,1681.68
342,57,SKU00220,1,63.83,3.00,63.83
343,57,SKU00265,7,64.75,0.00,453.25
344,57,SKU00189,6,488.19,12.00,2929.14
345,57,SKU00018,15,254.59,0.00,3818.85
346,58,SKU00096,4,96.50,5.00,386.00
347,58,SKU00260,1,115.74,3.00,115.74
348,58,SKU00203,3,247.08,18.00,741.24
349,58,SKU00127,8,78.82,3.00,630.56
350,58,SKU00004,3,305.52,0.00,916.56
351,58,SKU00032,16,380.70,0.00,6091.20
352,58,SKU00046,1,276.81,3.00,276.81
353,58,SKU00067,3,144.55,3.00,433.65
354,58,SKU00041,1,364.12,0.00,364.12
355,58,SKU00080,5,91.53,5.00,457.65
356,58,SKU00061,4,64.05,5.00,256.20
357,58,SKU00278,1,36.43,8.00,36.43
358,58,SKU00194,8,379.76,5.00,3038.08
359,58,SKU00015,3,145.33,5.00,435.99
360,58,SKU00210,1,58.49,18.00,58.49
361,58,SKU00099,1,130.14,0.00,130.14
362,59,SKU00276,2,155.74,5.00,311.48
363,59,SKU00137,5,79.85,8.00,399.25
364,59,SKU00237,2,49.29,18.00,98.58
365,59,SKU00116,5,151.01,3.00,755.05
366,59,SKU00128,6,208.72,0.00,1252.32
367,59,SKU00122,3,89.58,3.00,268.74
368,59,SKU00230,3,61.39,5.00,184.17
369,59,SKU00274,10,124.05,3.00,1240.50
370,59,SKU00021,2,101.36,8.00,202.72
371,59,SKU00256,6,61.78,12.00,370.68
372,60,SKU00206,10,57.88,0.00,578.80
373,60,SKU00260,3,119.32,0.00,357.96
374,60,SKU00124,2,183.76,0.00,367.52
375,60,SKU00063,3,115.73,5.00,347.19
376,60,SKU00103,1,50.21,0.00,50.21
377,60,SKU00115,5,53.06,8.00,265.30
378,60,SKU00043,7,369.66,0.00,2587.62
379,60,SKU00129,2,80.78,8.00,161.56
380,60,SKU00143,3,83.65,3.00,250.95
381,60,SKU00220,2,57.90,12.00,115.80
382,60,SKU00031,3,255.23,3.00,765.69
383,60,SKU00257,3,89.72,0.00,269.16
384,60,SKU00091,1,205.86,3.00,205.86
385,61,SKU00094,2,126.25,3.00,252.50
386,61,SKU00245,2,29.58,5.00,59.16
387,61,SKU00165,4,75.87,3.00,303.48
388,61,SKU00025,6,187.05,3.00,1122.30
389,61,SKU00218,2,55.67,0.00,111.34
390,61,SKU00205,3,80.32,0.00,240.96
391,61,SKU00197,2,179.66,12.00,359.32
392,61,SKU00185,4,392.47,0.00,1569.88
393,61,SKU00053,1,124.37,8.00,124.37
394,61,SKU00174,4,530.25,3.00,2121.00
395,61,SKU00213,2,52.91,5.00,105.82
396,62,SKU00210,2,69.19,3.00,138.38
397,62,SKU00122,3,87.73,5.00,263.19
398,62,SKU00219,37,32.04,0.00,1185.48
399,62,SKU00089,19,69.33,0.00,1317.27
400,62,SKU00199,3,146.30,5.00,438.90
401,62,SKU00238,3,51.05,0.00,153.15
402,62,SKU00229,19,42.99,3.00,816.81
403,62,SKU00215,2,30.84,5.00,61.68
404,62,SKU00165,12,78.22,0.00,938.64
405,62,SKU00109,5,151.39,0.00,756.95
406,62,SKU00062,3,165.89,5.00,497.67
407,62,SKU00028,3,106.70,0.00,320.10
408,63,SKU00028,3,103.50,3.00,310.50
409,63,SKU00164,3,63.18,0.00,189.54
410,63,SKU00057,19,83.18,12.00,1580.42
411,63,SKU00183,3,526.87,8.00,1580.61
412,63,SKU00272,6,55.51,18.00,333.06
413,63,SKU00145,5,58.99,5.00,294.95
414,63,SKU00078,2,63.75,3.00,127.50
415,63,SKU00153,9,62.99,12.00,566.91
416,63,SKU00119,3,90.78,5.00,272.34
417,63,SKU00086,12,240.74,0.00,2888.88
418,63,SKU00043,37,358.57,3.00,13267.09
419,63,SKU00208,6,75.83,5.00,454.98
420,63,SKU00242,6,50.13,0.00,300.78
421,64,SKU00086,5,233.52,3.00,1167.60
422,64,SKU00207,8,79.81,5.00,638.48
423,64,SKU00276,1,163.94,0.00,163.94
424,64,SKU00195,8,366.67,0.00,2933.36
425,64,SKU00096,16,101.58,0.00,1625.28
426,64,SKU00104,3,50.06,5.00,150.18
427,64,SKU00236,4,43.44,5.00,173.76
428,64,SKU00102,8,134.54,0.00,1076.32
429,65,SKU00193,1,687.06,0.00,687.06
430,65,SKU00075,1,209.43,18.00,209.43
431,65,SKU00053,1,124.37,8.00,124.37
432,65,SKU00052,1,333.32,8.00,333.32
433,65,SKU00027,1,223.80,18.00,223.80
434,65,SKU00071,3,188.09,0.00,564.27
435,65,SKU00284,2,51.66,0.00,103.32
436,65,SKU00292,1,43.59,12.00,43.59
437,65,SKU00098,3,148.65,3.00,445.95
438,66,SKU00207,4,84.01,0.00,336.04
439,66,SKU00031,2,263.12,0.00,526.24
440,66,SKU00257,5,85.23,5.00,426.15
441,66,SKU00212,4,82.78,3.00,331.12
442,66,SKU00132,1,67.79,12.00,67.79
443,66,SKU00064,2,169.65,5.00,339.30
444,66,SKU00081,5,96.96,8.00,484.80
445,66,SKU00241,2,25.78,8.00,51.56
446,66,SKU00199,1,126.28,18.00,126.28
447,66,SKU00201,5,195.76,8.00,978.80
448,66,SKU00195,4,337.34,8.00,1349.36
449,66,SKU00067,1,149.02,0.00,149.02
450,67,SKU00232,9,47.92,3.00,431.28
451,67,SKU00081,6,96.96,8.00,581.76
452,67,SKU00195,2,366.67,0.00,733.34
453,67,SKU00072,1,64.89,0.00,64.89
454,67,SKU00084,1,203.29,0.00,203.29
455,67,SKU00053,1,135.19,0.00,135.19
456,67,SKU00060,1,203.29,0.00,203.29
457,67,SKU00128,4,198.28,5.00,793.12
458,67,SKU00184,6,222.66,8.00,1335.96
459,67,SKU00167,6,71.17,0.00,427.02
460,67,SKU00193,17,563.39,18.00,9577.63
461,67,SKU00127,3,81.26,0.00,243.78
462,67,SKU00119,1,92.69,3.00,92.69
463,67,SKU00220,1,65.80,0.00,65.80
464,67,SKU00094,3,114.53,12.00,343.59
465,68,SKU00245,2,31.14,0.00,62.28
466,68,SKU00084,1,203.29,0.00,203.29
467,68,SKU00048,3,113.91,5.00,341.73
468,68,SKU00194,11,379.76,5.00,4177.36
469,68,SKU00287,1,31.16,12.00,31.16
470,68,SKU00064,4,157.15,12.00,628.60
471,68,SKU00269,1,51.81,8.00,51.81
472,68,SKU00134,2,88.61,0.00,177.22
473,68,SKU00049,4,402.92,3.00,1611.68
474,68,SKU00162,5,47.16,0.00,235.80
475,68,SKU00186,5,201.96,3.00,1009.80
476,68,SKU00021,21,101.36,8.00,2128.56
477,68,SKU00133,7,70.27,0.00,491.89
478,68,SKU00143,1,83.65,3.00,83.65
479,68,SKU00215,2,30.84,5.00,61.68
480,69,SKU00258,3,134.63,0.00,403.89
481,69,SKU00173,9,41.66,5.00,374.94
482,69,SKU00156,4,62.67,0.00,250.68
483,69,SKU00129,3,85.17,3.00,255.51
484,69,SKU00149,9,82.70,0.00,744.30
485,69,SKU00272,12,59.58,12.00,714.96
486,69,SKU00290,1,21.12,8.00,21.12
487,69,SKU00083,1,43.85,5.00,43.85
488,69,SKU00051,35,107.08,0.00,3747.80
489,69,SKU00266,4,115.92,5.00,463.68
490,69,SKU00124,9,178.25,3.00,1604.25
491,69,SKU00214,1,61.18,12.00,61.18
492,69,SKU00216,3,31.58,0.00,94.74
493,70,SKU00051,1,98.51,8.00,98.51
494,70,SKU00183,7,572.68,0.00,4008.76
495,70,SKU00088,2,78.96,0.00,157.92
496,70,SKU00201,7,212.78,0.00,1489.46
497,70,SKU00281,3,19.51,0.00,58.53
498,70,SKU00097,1,89.27,8.00,89.27
499,70,SKU00159,2,66.49,3.00,132.98
500,70,SKU00220,15,65.80,0.00,987.00
501,70,SKU00090,11,59.54,0.00,654.94
502,70,SKU00216,3,31.58,0.00,94.74
503,70,SKU00207,2,84.01,0.00,168.02
504,70,SKU00289,1,22.29,3.00,22.29
505,70,SKU00269,2,56.32,0.00,112.64
506,70,SKU00240,1,15.30,5.00,15.30
507,71,SKU00244,16,40.39,0.00,646.24
508,71,SKU00177,1,343.22,3.00,343.22
509,71,SKU00209,5,58.27,0.00,291.35
510,71,SKU00195,8,366.67,0.00,2933.36
511,71,SKU00075,5,234.97,8.00,1174.85
512,71,SKU00231,3,41.53,0.00,124.59
513,71,SKU00147,5,81.62,8.00,408.10
514,71,SKU00046,3,262.54,8.00,787.62
515,72,SKU00119,5,90.78,5.00,453.90
516,72,SKU00062,5,174.62,0.00,873.10
517,72,SKU00166,2,78.04,0.00,156.08
518,72,SKU00107,1,89.02,5.00,89.02
519,72,SKU00150,19,89.25,0.00,1695.75
520,72,SKU00127,13,77.20,5.00,1003.60
521,72,SKU00075,5,242.63,5.00,1213.15
522,72,SKU00084,2,197.19,3.00,394.38
523,73,SKU00134,2,77.98,12.00,155.96
524,73,SKU00005,13,406.21,0.00,5280.73
525,73,SKU00003,2,302.58,5.00,605.16
526,73,SKU00224,3,79.78,5.00,239.34
527,73,SKU00100,5,121.80,5.00,609.00
528,73,SKU00133,2,66.76,5.00,133.52
529,73,SKU00031,5,255.23,3.00,1276.15
530,73,SKU00184,10,242.02,0.00,2420.20
531,74,SKU00236,5,45.73,0.00,228.65
532,74,SKU00023,3,112.81,3.00,338.43
533,74,SKU00177,3,311.37,12.00,934.11
534,74,SKU00292,12,47.05,5.00,564.60
535,74,SKU00147,3,86.06,3.00,258.18
536,74,SKU00003,9,302.58,5.00,2723.22
537,74,SKU00046,5,285.37,0.00,1426.85
538,75,SKU00272,6,65.67,3.00,394.02
539,75,SKU00131,1,104.15,0.00,104.15
540,75,SKU00230,9,64.62,0.00,581.58
541,75,SKU00279,4,37.93,0.00,151.72
542,75,SKU00281,9,17.17,12.00,154.53
543,75,SKU00017,-1,290.14,5.00,-290.14
544,75,SKU00011,1,240.83,0.00,240.83
545,76,SKU00232,2,43.47,12.00,86.94
546,76,SKU00124,1,174.57,5.00,174.57
547,76,SKU00123,2,82.77,5.00,165.54
548,76,SKU00179,1,232.73,8.00,232.73
549,76,SKU00193,1,604.61,12.00,604.61
550,77,SKU00037,1,308.94,0.00,308.94
551,77,SKU00284,1,51.66,0.00,51.66
552,77,SKU00138,1,132.69,3.00,132.69
553,77,SKU00238,3,48.50,5.00,145.50
554,77,SKU00234,11,37.92,8.00,417.12
555,77,SKU00084,2,203.29,0.00,406.58
556,78,SKU00189,2,554.76,0.00,1109.52
557,78,SKU00214,7,69.52,0.00,486.64
558,78,SKU00205,2,65.86,18.00,131.72
559,78,SKU00068,3,161.05,3.00,483.15
560,78,SKU00225,3,80.02,5.00,240.06
561,79,SKU00282,5,23.09,0.00,115.45
562,79,SKU00069,2,68.58,0.00,137.16
563,79,SKU00149,1,82.70,0.00,82.70
564,79,SKU00121,2,53.54,0.00,107.08
565,79,SKU00206,10,54.99,5.00,549.90
566,79,SKU00041,1,334.99,8.00,334.99
567,79,SKU00101,2,58.61,5.00,117.22
568,79,SKU00007,2,359.20,12.00,718.40
569,79,SKU00024,2,388.81,5.00,777.62
570,79,SKU00163,1,36.65,0.00,36.65
571,80,SKU00041,5,364.12,0.00,1820.60
572,80,SKU00166,6,71.80,8.00,430.80
573,80,SKU00246,3,46.42,0.00,139.26
574,80,SKU00019,3,332.50,3.00,997.50
575,80,SKU00275,5,72.75,0.00,363.75
