data_snapshot,sku,saldo,ruptura
2024-09-08,SKU00061,215,N
2024-09-08,SKU00097,631,N
2024-09-08,SKU00137,35,N
2024-09-08,SKU00007,700,N
2024-09-08,SKU00178,435,N
2024-09-08,SKU00054,705,N
2024-09-08,SKU00035,575,N
2024-09-08,SKU00076,1,N
2024-09-08,SKU00233,434,N
2024-09-08,SKU00122,435,N
2024-09-08,SKU00062,709,N
2024-09-08,SKU00053,367,N
2024-09-08,SKU00101,281,N
2024-09-08,SKU00212,17,N
2024-09-08,SKU00091,275,N
2024-09-08,SKU00164,762,N
2024-09-08,SKU00254,45,N
2024-09-08,SKU00258,264,N
2024-09-08,SKU00210,78,N
2024-09-08,SKU00141,346,N
2024-09-08,SKU00197,138,N
2024-09-08,SKU00002,177,N
2024-09-08,SKU00074,687,N
2024-09-08,SKU00262,450,N
2024-09-08,SKU00134,628,N
2024-09-08,SKU00021,0,S
2024-09-08,SKU00011,95,N
2024-09-08,SKU00173,208,N
2024-09-08,SKU00280,0,S
2024-09-08,SKU00123,548,N
2024-09-08,SKU00179,609,N
2024-09-08,SKU00154,609,N
2024-09-08,SKU00220,235,N
2024-09-08,SKU00161,430,N
2024-09-08,SKU00235,0,S
2024-09-08,SKU00148,759,N
2024-09-08,SKU00005,628,N
2024-09-08,SKU00038,0,S
2024-09-08,SKU00284,0,S
2024-09-08,SKU00075,785,N
2024-09-08,SKU00105,660,N
2024-09-08,SKU00266,274,N
2024-09-08,SKU00058,238,N
2024-09-08,SKU00032,0,S
2024-09-08,SKU00070,159,N
2024-09-08,SKU00153,185,N
2024-09-08,SKU00085,490,N
2024-09-08,SKU00232,89,N
2024-09-08,SKU00131,193,N
2024-09-08,SKU00223,87,N
2024-09-08,SKU00264,313,N
2024-09-08,SKU00069,35,N
2024-09-08,SKU00046,231,N
2024-09-08,SKU00082,194,N
2024-09-08,SKU00187,739,N
2024-09-08,SKU00265,632,N
2024-09-08,SKU00190,464,N
2024-09-08,SKU00089,126,N
2024-09-08,SKU00207,0,S
2024-09-08,SKU00093,0,S
2024-09-08,SKU00160,672,N
2024-09-08,SKU00246,537,N
2024-09-08,SKU00138,473,N
2024-09-08,SKU00229,310,N
2024-09-08,SKU00006,237,N
2024-09-08,SKU00128,178,N
2024-09-08,SKU00285,666,N
2024-09-08,SKU00037,371,N
2024-09-08,SKU00001,656,N
2024-09-08,SKU00274,108,N
2024-09-08,SKU00240,357,N
2024-09-08,SKU00112,533,N
2024-09-08,SKU00026,633,N
2024-09-08,SKU00247,305,N
2024-09-08,SKU00014,335,N
2024-09-15,SKU00283,537,N
2024-09-15,SKU00200,512,N
2024-09-15,SKU00029,87,N
2024-09-15,SKU00068,0,S
2024-09-15,SKU00222,543,N
2024-09-15,SKU00085,706,N
2024-09-15,SKU00164,429,N
2024-09-15,SKU00152,615,N
2024-09-15,SKU00102,0,S
2024-09-15,SKU00170,564,N
2024-09-15,SKU00275,0,S
2024-09-15,SKU00233,112,N
2024-09-15,SKU00117,156,N
2024-09-15,SKU00258,0,S
2024-09-15,SKU00134,476,N
2024-09-15,SKU00223,179,N
2024-09-15,SKU00235,0,S
2024-09-15,SKU00183,331,N
2024-09-15,SKU00140,439,N
2024-09-15,SKU00243,160,N
2024-09-15,SKU00083,582,N
2024-09-15,SKU00060,30,N
2024-09-15,SKU00191,345,N
2024-09-15,SKU00253,561,N
2024-09-15,SKU00209,263,N
2024-09-15,SKU00248,7,N
2024-09-15,SKU00242,357,N
2024-09-15,SKU00165,181,N
2024-09-15,SKU00007,542,N
2024-09-15,SKU00067,266,N
2024-09-15,SKU00116,303,N
2024-09-15,SKU00180,137,N
2024-09-15,SKU00227,0,S
2024-09-15,SKU00034,477,N
2024-09-15,SKU00194,110,N
2024-09-15,SKU00291,666,N
2024-09-15,SKU00087,261,N
2024-09-15,SKU00269,719,N
2024-09-15,SKU00260,698,N
2024-09-15,SKU00062,499,N
2024-09-15,SKU00219,21,N
2024-09-15,SKU00040,341,N
2024-09-15,SKU00064,439,N
2024-09-15,SKU00107,648,N
2024-09-15,SKU00063,0,S
2024-09-15,SKU00100,331,N
2024-09-15,SKU00255,299,N
2024-09-15,SKU00120,394,N
2024-09-15,SKU00069,658,N
2024-09-15,SKU00127,66,N
2024-09-15,SKU00241,509,N
2024-09-15,SKU00074,59,N
2024-09-15,SKU00175,0,S
2024-09-15,SKU00199,131,N
2024-09-15,SKU00033,535,N
2024-09-15,SKU00172,346,N
2024-09-15,SKU00256,208,N
2024-09-15,SKU00055,464,N
2024-09-15,SKU00092,146,N
2024-09-15,SKU00259,609,N
2024-09-15,SKU00207,731,N
2024-09-15,SKU00090,678,N
2024-09-15,SKU00210,269,N
2024-09-15,SKU00281,32,N
2024-09-15,SKU00284,656,N
2024-09-15,SKU00148,735,N
2024-09-15,SKU00136,539,N
2024-09-15,SKU00066,0,S
2024-09-15,SKU00203,192,N
2024-09-15,SKU00190,572,N
2024-09-15,SKU00050,0,S
2024-09-15,SKU00189,699,N
2024-09-15,SKU00230,181,N
2024-09-15,SKU00131,0,S
2024-09-15,SKU00205,408,N
2024-09-15,SKU00251,182,N
2024-09-15,SKU00106,643,N
2024-09-15,SKU00045,163,N
2024-09-15,SKU00044,0,S
2024-09-15,SKU00264,740,N
2024-09-22,SKU00123,0,S
2024-09-22,SKU00094,150,N
2024-09-22,SKU00140,278,N
2024-09-22,SKU00092,80,N
2024-09-22,SKU00077,351,N
2024-09-22,SKU00079,114,N
2024-09-22,SKU00060,0,S
2024-09-22,SKU00246,117,N
2024-09-22,SKU00250,738,N
2024-09-22,SKU00278,771,N
2024-09-22,SKU00007,459,N
2024-09-22,SKU00248,59,N
2024-09-22,SKU00023,410,N
2024-09-22,SKU00076,741,N
2024-09-22,SKU00187,298,N
2024-09-22,SKU00167,0,S
2024-09-22,SKU00038,664,N
2024-09-22,SKU00195,54,N
2024-09-22,SKU00045,39,N
2024-09-22,SKU00109,361,N
2024-09-22,SKU00289,409,N
2024-09-22,SKU00144,332,N
2024-09-22,SKU00021,47,N
2024-09-22,SKU00118,550,N
2024-09-22,SKU00198,121,N
2024-09-22,SKU00166,726,N
2024-09-22,SKU00207,378,N
2024-09-22,SKU00257,58,N
2024-09-22,SKU00086,0,S
2024-09-22,SKU00126,489,N
2024-09-22,SKU00097,578,N
2024-09-22,SKU00206,590,N
2024-09-22,SKU00163,88,N
2024-09-22,SKU00201,489,N
2024-09-22,SKU00091,278,N
2024-09-22,SKU00186,524,N
2024-09-22,SKU00087,0,S
2024-09-22,SKU00044,0,S
2024-09-22,SKU00212,743,N
2024-09-22,SKU00136,107,N
2024-09-22,SKU00075,23,N
2024-09-22,SKU00266,683,N
2024-09-22,SKU00127,0,S
2024-09-22,SKU00033,0,S
2024-09-22,SKU00208,4,N
2024-09-22,SKU00244,761,N
2024-09-22,SKU00116,23,N
2024-09-22,SKU00282,0,S
2024-09-22,SKU00107,102,N
2024-09-22,SKU00179,775,N
2024-09-22,SKU00180,634,N
2024-09-22,SKU00001,531,N
2024-09-22,SKU00263,100,N
2024-09-22,SKU00124,460,N
2024-09-22,SKU00258,215,N
2024-09-22,SKU00130,113,N
2024-09-22,SKU00131,0,S
2024-09-22,SKU00019,214,N
2024-09-22,SKU00122,0,S
2024-09-22,SKU00058,353,N
2024-09-22,SKU00011,494,N
2024-09-22,SKU00084,676,N
2024-09-22,SKU00146,131,N
2024-09-22,SKU00083,230,N
2024-09-22,SKU00025,759,N
2024-09-22,SKU00035,38,N
2024-09-22,SKU00237,154,N
2024-09-22,SKU00054,182,N
2024-09-22,SKU00190,383,N
2024-09-22,SKU00275,784,N
2024-09-22,SKU00225,0,S
2024-09-22,SKU00014,309,N
2024-09-22,SKU00243,375,N
2024-09-22,SKU00009,543,N
2024-09-22,SKU00037,32,N
2024-09-22,SKU00029,167,N
2024-09-22,SKU00272,397,N
2024-09-22,SKU00006,249,N
2024-09-22,SKU00101,0,S
2024-09-22,SKU00279,116,N
2024-09-29,SKU00204,594,N
2024-09-29,SKU00199,585,N
2024-09-29,SKU00274,309,N
2024-09-29,SKU00247,783,N
2024-09-29,SKU00184,185,N
2024-09-29,SKU00013,0,S
2024-09-29,SKU00276,514,N
2024-09-29,SKU00018,215,N
2024-09-29,SKU00123,352,N
2024-09-29,SKU00101,726,N
2024-09-29,SKU00025,353,N
2024-09-29,SKU00195,322,N
2024-09-29,SKU00167,437,N
2024-09-29,SKU00028,520,N
2024-09-29,SKU00187,63,N
2024-09-29,SKU00211,91,N
2024-09-29,SKU00087,22,N
2024-09-29,SKU00232,374,N
2024-09-29,SKU00191,256,N
2024-09-29,SKU00139,158,N
2024-09-29,SKU00252,360,N
2024-09-29,SKU00058,444,N
2024-09-29,SKU00115,737,N
2024-09-29,SKU00048,472,N
2024-09-29,SKU00038,705,N
2024-09-29,SKU00163,716,N
2024-09-29,SKU00218,477,N
2024-09-29,SKU00118,140,N
2024-09-29,SKU00155,126,N
2024-09-29,SKU00004,298,N
2024-09-29,SKU00225,212,N
2024-09-29,SKU00121,795,N
2024-09-29,SKU00154,304,N
2024-09-29,SKU00221,800,N
2024-09-29,SKU00053,290,N
2024-09-29,SKU00153,787,N
2024-09-29,SKU00111,0,S
2024-09-29,SKU00172,160,N
2024-09-29,SKU00055,310,N
2024-09-29,SKU00246,642,N
2024-09-29,SKU00238,83,N
2024-09-29,SKU00209,755,N
2024-09-29,SKU00257,374,N
2024-09-29,SKU00047,302,N
2024-09-29,SKU00045,474,N
2024-09-29,SKU00027,0,S
2024-09-29,SKU00198,706,N
2024-09-29,SKU00151,70,N
2024-09-29,SKU00129,701,N
2024-09-29,SKU00227,758,N
2024-09-29,SKU00194,519,N
2024-09-29,SKU00224,641,N
2024-09-29,SKU00054,0,S
2024-09-29,SKU00248,316,N
2024-09-29,SKU00119,444,N
2024-09-29,SKU00030,0,S
2024-09-29,SKU00189,275,N
2024-09-29,SKU00162,333,N
2024-09-29,SKU00008,708,N
2024-09-29,SKU00065,311,N
2024-09-29,SKU00114,0,S
2024-09-29,SKU00136,746,N
2024-09-29,SKU00226,0,S
2024-09-29,SKU00122,567,N
2024-09-29,SKU00214,578,N
2024-09-29,SKU00044,414,N
2024-09-29,SKU00196,546,N
2024-09-29,SKU00285,460,N
2024-09-29,SKU00026,483,N
2024-09-29,SKU00120,392,N
2024-09-29,SKU00125,441,N
2024-09-29,SKU00220,765,N
2024-09-29,SKU00116,443,N
2024-09-29,SKU00035,236,N
2024-09-29,SKU00228,20,N
2024-09-29,SKU00222,0,S
2024-09-29,SKU00051,229,N
2024-09-29,SKU00127,73,N
2024-09-29,SKU00281,447,N
2024-09-29,SKU00275,790,N
2024-10-06,SKU00201,601,N
2024-10-06,SKU00158,640,N
2024-10-06,SKU00028,730,N
2024-10-06,SKU00073,308,N
2024-10-06,SKU00121,360,N
2024-10-06,SKU00176,272,N
2024-10-06,SKU00127,509,N
2024-10-06,SKU00089,157,N
2024-10-06,SKU00024,796,N
2024-10-06,SKU00075,375,N
2024-10-06,SKU00080,432,N
2024-10-06,SKU00046,444,N
2024-10-06,SKU00074,156,N
2024-10-06,SKU00098,777,N
2024-10-06,SKU00038,751,N
2024-10-06,SKU00114,165,N
2024-10-06,SKU00259,0,S
2024-10-06,SKU00029,669,N
2024-10-06,SKU00237,603,N
2024-10-06,SKU00166,18,N
2024-10-06,SKU00212,326,N
2024-10-06,SKU00170,48,N
2024-10-06,SKU00142,785,N
2024-10-06,SKU00068,243,N
2024-10-06,SKU00265,411,N
2024-10-06,SKU00285,596,N
2024-10-06,SKU00275,0,S
2024-10-06,SKU00053,63,N
2024-10-06,SKU00026,279,N
2024-10-06,SKU00102,0,S
2024-10-06,SKU00269,300,N
2024-10-06,SKU00213,128,N
2024-10-06,SKU00218,0,S
2024-10-06,SKU00209,88,N
2024-10-06,SKU00077,725,N
2024-10-06,SKU00035,766,N
2024-10-06,SKU00174,485,N
2024-10-06,SKU00272,64,N
2024-10-06,SKU00039,377,N
2024-10-06,SKU00280,590,N
2024-10-06,SKU00199,53,N
2024-10-06,SKU00126,171,N
2024-10-06,SKU00261,495,N
2024-10-06,SKU00222,667,N
2024-10-06,SKU00041,486,N
2024-10-06,SKU00192,542,N
2024-10-06,SKU00023,53,N
2024-10-06,SKU00168,791,N
2024-10-06,SKU00003,627,N
2024-10-06,SKU00059,235,N
2024-10-06,SKU00282,537,N
2024-10-06,SKU00008,654,N
2024-10-06,SKU00021,31,N
2024-10-06,SKU00217,195,N
2024-10-06,SKU00190,0,S
2024-10-06,SKU00065,421,N
2024-10-06,SKU00149,480,N
2024-10-06,SKU00123,0,S
2024-10-06,SKU00027,0,S
2024-10-06,SKU00224,98,N
2024-10-06,SKU00154,652,N
2024-10-06,SKU00204,547,N
2024-10-06,SKU00200,598,N
2024-10-06,SKU00229,748,N
2024-10-06,SKU00062,711,N
2024-10-06,SKU00135,219,N
2024-10-06,SKU00205,198,N
2024-10-06,SKU00022,135,N
2024-10-06,SKU00152,4,N
2024-10-06,SKU00085,449,N
2024-10-06,SKU00169,191,N
2024-10-06,SKU00144,549,N
2024-10-06,SKU00232,3,N
2024-10-06,SKU00195,614,N
2024-10-06,SKU00248,345,N
2024-10-06,SKU00146,79,N
2024-10-06,SKU00290,261,N
2024-10-06,SKU00258,393,N
2024-10-06,SKU00034,301,N
2024-10-06,SKU00067,602,N
2024-10-13,SKU00231,701,N
2024-10-13,SKU00038,0,S
2024-10-13,SKU00145,382,N
2024-10-13,SKU00083,171,N
2024-10-13,SKU00121,415,N
2024-10-13,SKU00291,226,N
2024-10-13,SKU00089,0,S
2024-10-13,SKU00275,727,N
2024-10-13,SKU00059,693,N
2024-10-13,SKU00249,284,N
2024-10-13,SKU00254,0,S
2024-10-13,SKU00218,98,N
2024-10-13,SKU00094,575,N
2024-10-13,SKU00232,293,N
2024-10-13,SKU00169,380,N
2024-10-13,SKU00144,764,N
2024-10-13,SKU00138,417,N
2024-10-13,SKU00284,497,N
2024-10-13,SKU00081,561,N
2024-10-13,SKU00047,0,S
2024-10-13,SKU00281,0,S
2024-10-13,SKU00108,543,N
2024-10-13,SKU00268,235,N
2024-10-13,SKU00225,670,N
2024-10-13,SKU00166,0,S
2024-10-13,SKU00015,413,N
2024-10-13,SKU00285,504,N
2024-10-13,SKU00141,681,N
2024-10-13,SKU00259,0,S
2024-10-13,SKU00029,130,N
2024-10-13,SKU00211,706,N
2024-10-13,SKU00195,568,N
2024-10-13,SKU00230,266,N
2024-10-13,SKU00128,156,N
2024-10-13,SKU00159,156,N
2024-10-13,SKU00084,605,N
2024-10-13,SKU00054,0,S
2024-10-13,SKU00066,338,N
2024-10-13,SKU00135,361,N
2024-10-13,SKU00151,0,S
2024-10-13,SKU00040,0,S
2024-10-13,SKU00183,497,N
2024-10-13,SKU00280,785,N
2024-10-13,SKU00036,617,N
2024-10-13,SKU00041,766,N
2024-10-13,SKU00194,625,N
2024-10-13,SKU00237,0,S
2024-10-13,SKU00140,246,N
2024-10-13,SKU00228,648,N
2024-10-13,SKU00035,604,N
2024-10-13,SKU00164,603,N
2024-10-13,SKU00234,448,N
2024-10-13,SKU00053,637,N
2024-10-13,SKU00186,646,N
2024-10-13,SKU00073,269,N
2024-10-13,SKU00026,128,N
2024-10-13,SKU00202,751,N
2024-10-13,SKU00262,350,N
2024-10-13,SKU00005,306,N
2024-10-13,SKU00031,371,N
2024-10-13,SKU00011,0,S
2024-10-13,SKU00103,525,N
2024-10-13,SKU00251,564,N
2024-10-13,SKU00176,416,N
2024-10-13,SKU00130,463,N
2024-10-13,SKU00045,610,N
2024-10-13,SKU00214,494,N
2024-10-13,SKU00161,0,S
2024-10-13,SKU00177,561,N
2024-10-13,SKU00192,152,N
2024-10-13,SKU00247,510,N
2024-10-13,SKU00255,99,N
2024-10-13,SKU00180,665,N
2024-10-13,SKU00198,502,N
2024-10-13,SKU00178,353,N
2024-10-13,SKU00115,606,N
2024-10-13,SKU00069,609,N
2024-10-13,SKU00274,537,N
2024-10-13,SKU00114,0,S
2024-10-13,SKU00117,172,N
2024-10-20,SKU00115,10,N
2024-10-20,SKU00044,702,N
2024-10-20,SKU00154,437,N
2024-10-20,SKU00275,709,N
2024-10-20,SKU00215,162,N
2024-10-20,SKU00130,351,N
2024-10-20,SKU00135,661,N
2024-10-20,SKU00005,37,N
2024-10-20,SKU00286,464,N
2024-10-20,SKU00144,745,N
2024-10-20,SKU00191,313,N
2024-10-20,SKU00072,627,N
2024-10-20,SKU00226,43,N
2024-10-20,SKU00024,388,N
2024-10-20,SKU00086,153,N
2024-10-20,SKU00142,519,N
2024-10-20,SKU00165,776,N
2024-10-20,SKU00082,142,N
2024-10-20,SKU00207,711,N
2024-10-20,SKU00059,375,N
2024-10-20,SKU00148,744,N
2024-10-20,SKU00061,91,N
2024-10-20,SKU00110,0,S
2024-10-20,SKU00259,783,N
2024-10-20,SKU00032,626,N
2024-10-20,SKU00087,86,N
2024-10-20,SKU00041,345,N
2024-10-20,SKU00037,691,N
2024-10-20,SKU00167,624,N
2024-10-20,SKU00261,699,N
2024-10-20,SKU00188,346,N
2024-10-20,SKU00280,386,N
2024-10-20,SKU00070,623,N
2024-10-20,SKU00171,155,N
2024-10-20,SKU00206,221,N
2024-10-20,SKU00064,4,N
2024-10-20,SKU00182,0,S
2024-10-20,SKU00252,128,N
2024-10-20,SKU00160,0,S
2024-10-20,SKU00193,0,S
2024-10-20,SKU00021,103,N
2024-10-20,SKU00023,0,S
2024-10-20,SKU00030,470,N
2024-10-20,SKU00212,770,N
2024-10-20,SKU00203,0,S
2024-10-20,SKU00139,732,N
2024-10-20,SKU00049,0,S
2024-10-20,SKU00095,600,N
2024-10-20,SKU00039,707,N
2024-10-20,SKU00185,67,N
2024-10-20,SKU00047,9,N
2024-10-20,SKU00227,288,N
2024-10-20,SKU00136,703,N
2024-10-20,SKU00199,0,S
2024-10-20,SKU00282,0,S
2024-10-20,SKU00096,641,N
2024-10-20,SKU00075,763,N
2024-10-20,SKU00278,714,N
2024-10-20,SKU00141,0,S
2024-10-20,SKU00078,0,S
2024-10-20,SKU00069,36,N
2024-10-20,SKU00265,448,N
2024-10-20,SKU00002,436,N
2024-10-20,SKU00056,499,N
2024-10-20,SKU00262,140,N
2024-10-20,SKU00156,207,N
2024-10-20,SKU00117,15,N
2024-10-20,SKU00208,173,N
2024-10-20,SKU00243,212,N
2024-10-20,SKU00091,778,N
2024-10-20,SKU00291,673,N
2024-10-20,SKU00246,111,N
2024-10-20,SKU00204,366,N
2024-10-20,SKU00131,0,S
2024-10-20,SKU00249,251,N
2024-10-20,SKU00020,563,N
2024-10-20,SKU00254,391,N
2024-10-20,SKU00223,410,N
2024-10-20,SKU00065,42,N
2024-10-20,SKU00258,461,N
2024-10-27,SKU00144,356,N
2024-10-27,SKU00169,371,N
2024-10-27,SKU00175,53,N
2024-10-27,SKU00092,446,N
2024-10-27,SKU00030,537,N
2024-10-27,SKU00022,473,N
2024-10-27,SKU00273,334,N
2024-10-27,SKU00291,656,N
2024-10-27,SKU00128,460,N
2024-10-27,SKU00285,239,N
2024-10-27,SKU00037,727,N
2024-10-27,SKU00244,188,N
2024-10-27,SKU00023,562,N
2024-10-27,SKU00180,337,N
2024-10-27,SKU00091,442,N
2024-10-27,SKU00060,270,N
2024-10-27,SKU00286,0,S
2024-10-27,SKU00028,395,N
2024-10-27,SKU00194,466,N
2024-10-27,SKU00109,593,N
2024-10-27,SKU00167,623,N
2024-10-27,SKU00038,61,N
2024-10-27,SKU00143,704,N
2024-10-27,SKU00048,297,N
2024-10-27,SKU00011,86,N
2024-10-27,SKU00115,468,N
2024-10-27,SKU00134,742,N
2024-10-27,SKU00223,407,N
2024-10-27,SKU00261,249,N
2024-10-27,SKU00249,321,N
2024-10-27,SKU00160,669,N
2024-10-27,SKU00008,335,N
2024-10-27,SKU00205,364,N
2024-10-27,SKU00102,0,S
2024-10-27,SKU00142,784,N
2024-10-27,SKU00156,25,N
2024-10-27,SKU00211,546,N
2024-10-27,SKU00219,399,N
2024-10-27,SKU00236,294,N
2024-10-27,SKU00090,378,N
2024-10-27,SKU00159,587,N
2024-10-27,SKU00111,10,N
2024-10-27,SKU00120,79,N
2024-10-27,SKU00095,463,N
2024-10-27,SKU00246,461,N
2024-10-27,SKU00151,314,N
2024-10-27,SKU00268,18,N
2024-10-27,SKU00100,516,N
2024-10-27,SKU00079,117,N
2024-10-27,SKU00201,697,N
2024-10-27,SKU00199,473,N
2024-10-27,SKU00062,699,N
2024-10-27,SKU00281,722,N
2024-10-27,SKU00114,85,N
2024-10-27,SKU00074,403,N
2024-10-27,SKU00165,241,N
2024-10-27,SKU00012,773,N
2024-10-27,SKU00258,195,N
2024-10-27,SKU00025,642,N
2024-10-27,SKU00186,169,N
2024-10-27,SKU00174,277,N
2024-10-27,SKU00290,302,N
2024-10-27,SKU00202,706,N
2024-10-27,SKU00240,431,N
2024-10-27,SKU00080,479,N
2024-10-27,SKU00122,384,N
2024-10-27,SKU00265,577,N
2024-10-27,SKU00045,96,N
2024-10-27,SKU00015,231,N
2024-10-27,SKU00097,373,N
2024-10-27,SKU00004,689,N
2024-10-27,SKU00254,425,N
2024-10-27,SKU00155,0,S
2024-10-27,SKU00264,113,N
2024-10-27,SKU00277,103,N
2024-10-27,SKU00135,56,N
2024-10-27,SKU00278,387,N
2024-10-27,SKU00139,390,N
2024-10-27,SKU00260,618,N
2024-10-27,SKU00130,439,N
2024-11-03,SKU00178,102,N
2024-11-03,SKU00094,594,N
2024-11-03,SKU00005,0,S
2024-11-03,SKU00018,623,N
2024-11-03,SKU00164,743,N
2024-11-03,SKU00154,210,N
2024-11-03,SKU00251,477,N
2024-11-03,SKU00150,190,N
2024-11-03,SKU00029,13,N
2024-11-03,SKU00096,468,N
2024-11-03,SKU00130,139,N
2024-11-03,SKU00116,435,N
2024-11-03,SKU00152,175,N
2024-11-03,SKU00138,460,N
2024-11-03,SKU00079,0,S
2024-11-03,SKU00114,0,S
2024-11-03,SKU00285,758,N
2024-11-03,SKU00048,126,N
2024-11-03,SKU00064,180,N
2024-11-03,SKU00207,578,N
2024-11-03,SKU00181,422,N
2024-11-03,SKU00007,734,N
2024-11-03,SKU00274,331,N
2024-11-03,SKU00162,740,N
2024-11-03,SKU00101,738,N
2024-11-03,SKU00045,716,N
2024-11-03,SKU00069,222,N
2024-11-03,SKU00221,158,N
2024-11-03,SKU00027,755,N
2024-11-03,SKU00261,172,N
2024-11-03,SKU00200,388,N
2024-11-03,SKU00264,337,N
2024-11-03,SKU00199,234,N
2024-11-03,SKU00170,156,N
2024-11-03,SKU00190,174,N
2024-11-03,SKU00265,634,N
2024-11-03,SKU00088,647,N
2024-11-03,SKU00103,0,S
2024-11-03,SKU00087,8,N
2024-11-03,SKU00090,498,N
2024-11-03,SKU00057,791,N
2024-11-03,SKU00125,0,S
2024-11-03,SKU00108,573,N
2024-11-03,SKU00013,196,N
2024-11-03,SKU00076,313,N
2024-11-03,SKU00208,712,N
2024-11-03,SKU00012,114,N
2024-11-03,SKU00042,31,N
2024-11-03,SKU00239,0,S
2024-11-03,SKU00136,0,S
2024-11-03,SKU00089,163,N
2024-11-03,SKU00017,267,N
2024-11-03,SKU00279,115,N
2024-11-03,SKU00287,758,N
2024-11-03,SKU00031,85,N
2024-11-03,SKU00074,775,N
2024-11-03,SKU00169,627,N
2024-11-03,SKU00211,218,N
2024-11-03,SKU00099,317,N
2024-11-03,SKU00009,69,N
2024-11-03,SKU00092,409,N
2024-11-03,SKU00086,755,N
2024-11-03,SKU00148,692,N
2024-11-03,SKU00055,12,N
2024-11-03,SKU00184,421,N
2024-11-03,SKU00006,554,N
2024-11-03,SKU00070,0,S
2024-11-03,SKU00111,705,N
2024-11-03,SKU00091,557,N
2024-11-03,SKU00097,251,N
2024-11-03,SKU00236,130,N
2024-11-03,SKU00117,537,N
2024-11-03,SKU00232,246,N
2024-11-03,SKU00226,2,N
2024-11-03,SKU00216,233,N
2024-11-03,SKU00267,0,S
2024-11-03,SKU00151,755,N
2024-11-03,SKU00290,313,N
2024-11-03,SKU00235,0,S
2024-11-03,SKU00225,511,N
2024-11-10,SKU00149,469,N
2024-11-10,SKU00128,675,N
2024-11-10,SKU00065,461,N
2024-11-10,SKU00243,538,N
2024-11-10,SKU00291,331,N
2024-11-10,SKU00021,281,N
2024-11-10,SKU00185,591,N
2024-11-10,SKU00286,126,N
2024-11-10,SKU00264,596,N
2024-11-10,SKU00025,699,N
2024-11-10,SKU00087,298,N
2024-11-10,SKU00047,646,N
2024-11-10,SKU00287,708,N
2024-11-10,SKU00109,577,N
2024-11-10,SKU00020,697,N
2024-11-10,SKU00278,540,N
2024-11-10,SKU00105,114,N
2024-11-10,SKU00275,0,S
2024-11-10,SKU00016,38,N
2024-11-10,SKU00101,0,S
2024-11-10,SKU00180,48,N
