pagamento_id,pedido_id,forma_pagamento,parcelas,valor,taxa_pct,valor_liquido,data_vencimento,data_pagamento,status_pagamento
44,45,Boleto 28 dias,1,7348.83,0.00,7348.83,2025-11-25,2025-12-02,Pago
45,46,Cartão de crédito,6,1065.95,3.20,1031.84,2026-01-15,2026-03-03,Pago com atraso
46,47,Boleto 28 dias,1,506.07,0.00,506.07,2026-04-27,2026-04-30,Pago
47,48,Boleto 14 dias,1,3264.81,0.00,3264.81,2026-07-31,2026-08-01,Pago
48,49,Boleto 14 dias,1,9872.83,0.00,9872.83,2024-09-27,2024-09-28,Pago
49,50,Boleto 28 dias,1,9535.67,0.00,9535.67,2024-11-11,2024-11-11,Pago
50,51,Boleto 28 dias,1,8489.83,0.00,8489.83,2024-12-04,2024-12-11,Pago
51,52,Boleto 28 dias,1,8669.03,0.00,8669.03,2025-01-01,,Inadimplente
52,53,PIX,1,3603.26,0.00,3603.26,2025-01-15,2025-01-16,Pago
53,54,Boleto 14 dias,1,5859.87,0.00,5859.87,2025-03-05,2025-03-05,Pago
54,55,PIX,1,12456.02,0.00,12456.02,2025-03-27,2025-03-30,Pago
55,56,Boleto 28 dias,1,10959.82,0.00,10959.82,2025-05-22,2025-05-22,Pago
56,57,Boleto 14 dias,1,9757.74,0.00,9757.74,2025-06-04,2025-06-05,Pago
57,58,Boleto 14 dias,1,14368.86,0.00,14368.86,2025-07-10,2025-07-10,Pago
58,59,Cartão de crédito,1,5083.49,3.20,4920.82,2025-07-16,,Inadimplente
59,60,Boleto 28 dias,1,6323.62,0.00,6323.62,2025-09-09,2025-09-09,Pago
60,61,PIX,1,6370.13,0.00,6370.13,2025-09-18,2025-09-18,Pago
61,62,Boleto 28 dias,1,6888.22,0.00,6888.22,2025-11-05,2025-11-23,Pago com atraso
62,63,Boleto 28 dias,1,22167.56,0.00,22167.56,2025-11-21,,Inadimplente
63,64,PIX,1,7928.92,0.00,7928.92,2025-11-27,2025-11-27,Pago
64,65,Cartão de débito,1,2735.11,1.80,2685.88,2026-01-01,2026-01-01,Pago
65,66,Boleto 14 dias,1,5166.46,0.00,5166.46,2026-02-06,2026-02-09,Pago
66,67,Boleto 14 dias,1,15232.63,0.00,15232.63,2026-03-09,2026-03-09,Pago
67,68,Boleto 28 dias,1,11296.51,0.00,11296.51,2026-04-13,2026-04-20,Pago
68,69,Cartão de crédito,4,8780.90,3.20,8499.91,2026-04-21,2026-04-21,Pago
69,70,PIX,1,8090.36,0.00,8090.36,2026-05-25,,Inadimplente
70,71,Cartão de crédito,3,6709.33,3.20,6494.63,2026-06-25,,Inadimplente
71,72,PIX,1,5878.98,0.00,5878.98,2026-07-13,2026-08-03,Pago com atraso
72,73,Cartão de crédito,1,10720.06,3.20,10377.02,2026-08-18,2026-08-18,Pago
73,74,Boleto 14 dias,1,6474.04,0.00,6474.04,2024-11-07,2024-11-07,Pago
74,75,Cartão de crédito,1,1336.69,3.20,1293.92,2024-12-17,2024-12-17,Pago
75,76,Boleto 14 dias,1,1264.39,0.00,1264.39,2025-03-06,2025-03-13,Pago
76,77,Boleto 28 dias,1,1462.49,0.00,1462.49,2025-04-21,2025-04-21,Pago
77,78,Boleto 14 dias,1,2451.09,0.00,2451.09,2025-06-11,2025-06-12,Pago
78,79,Dinheiro,1,2977.17,0.00,2977.17,2025-08-06,2025-08-07,Pago
79,80,PIX,1,6258.01,0.00,6258.01,2025-10-10,2025-10-11,Pago
80,81,Cartão de crédito,2,1669.15,3.20,1615.74,2025-12-12,2025-12-13,Pago
81,82,Boleto 14 dias,1,1902.14,0.00,1902.14,2026-02-10,2026-02-10,Pago
82,83,Boleto 14 dias,1,2516.41,0.00,2516.41,2026-03-18,2026-03-18,Pago
83,84,Boleto 28 dias,1,327.48,0.00,327.48,2026-05-19,,Inadimplente
84,85,Boleto 14 dias,1,3989.03,0.00,3989.03,2026-06-17,2026-06-17,Pago
85,86,Boleto 28 dias,1,807.39,0.00,807.39,2026-08-12,2026-08-12,Pago
86,87,Cheque a prazo,1,2838.37,0.00,2838.37,2026-09-30,,Em aberto
87,88,Cartão de crédito,1,3614.84,3.20,3499.17,2024-09-11,2024-09-12,Pago
88,89,Boleto 28 dias,1,4128.05,0.00,4128.05,2024-11-27,2024-11-28,Pago
89,90,Dinheiro,1,2282.23,0.00,2282.23,2025-01-01,2025-01-20,Pago com atraso
90,91,Boleto 28 dias,1,1562.06,0.00,1562.06,2025-04-01,2025-04-08,Pago
91,92,Cartão de débito,1,1013.90,1.80,995.65,2025-05-17,2025-05-20,Pago
92,93,Cartão de crédito,2,748.44,3.20,724.49,2025-07-17,2025-07-17,Pago
93,94,Boleto 14 dias,1,2727.35,0.00,2727.35,2025-09-17,2025-09-17,Pago
94,95,Dinheiro,1,1308.33,0.00,1308.33,2025-10-30,2025-10-31,Pago
95,96,Boleto 28 dias,1,1127.17,0.00,1127.17,2026-01-28,2026-02-04,Pago
96,97,Boleto 14 dias,1,887.62,0.00,887.62,2026-03-03,2026-03-04,Pago
97,98,Cheque a prazo,1,2111.84,0.00,2111.84,2026-05-19,2026-05-19,Pago
98,99,Boleto 14 dias,1,1738.64,0.00,1738.64,2026-06-04,2026-06-04,Pago
99,100,Cartão de crédito,6,754.20,3.20,730.07,2026-07-04,2026-07-07,Pago
100,101,Boleto 28 dias,1,214.60,0.00,214.60,2024-10-19,2024-11-19,Pago com atraso
101,102,Dinheiro,1,1146.58,0.00,1146.58,2024-11-28,2024-11-28,Pago
102,103,Boleto 14 dias,1,363.67,0.00,363.67,2025-02-25,2025-02-25,Pago
103,105,Cheque a prazo,1,2508.42,0.00,2508.42,2025-07-10,2025-07-10,Pago
104,106,Dinheiro,1,7427.50,0.00,7427.50,2025-09-17,2025-09-18,Pago
105,107,PIX,1,3149.83,0.00,3149.83,2025-11-17,2025-11-20,Pago
106,108,PIX,1,2382.10,0.00,2382.10,2026-03-16,2026-03-16,Pago
107,109,Boleto 28 dias,1,2945.91,0.00,2945.91,2026-07-06,2026-07-06,Pago
108,110,Cheque a prazo,1,271.12,0.00,271.12,2026-09-09,,Em aberto
109,111,Boleto 14 dias,1,677.06,0.00,677.06,2024-09-21,2024-09-21,Pago
110,112,Boleto 14 dias,1,2078.77,0.00,2078.77,2025-01-03,2025-01-10,Pago
111,113,Boleto 28 dias,1,879.29,0.00,879.29,2025-04-16,2025-04-19,Pago
112,114,Boleto 28 dias,1,1087.62,0.00,1087.62,2025-08-15,2025-08-16,Pago
113,116,Cartão de débito,1,1252.92,1.80,1230.37,2026-02-05,2026-02-05,Pago
114,117,Boleto 14 dias,1,3070.15,0.00,3070.15,2026-05-20,2026-05-27,Pago
115,118,Cartão de crédito,1,1152.72,3.20,1115.83,2026-08-11,,Inadimplente
116,119,Boleto 14 dias,1,3399.69,0.00,3399.69,2024-09-15,2024-09-15,Pago
117,120,Cartão de crédito,2,1219.90,3.20,1180.86,2024-11-22,2024-11-22,Pago
118,121,PIX,1,1491.35,0.00,1491.35,2025-03-11,2025-03-11,Pago
119,122,Cheque a prazo,1,1435.71,0.00,1435.71,2025-06-27,2025-06-28,Pago
120,123,Cartão de crédito,3,677.78,3.20,656.09,2025-09-12,2025-09-12,Pago
121,124,PIX,1,1449.40,0.00,1449.40,2025-12-22,2025-12-22,Pago
122,125,PIX,1,778.54,0.00,778.54,2026-04-29,2026-04-29,Pago
123,126,Cartão de crédito,1,688.32,3.20,666.29,2026-08-13,2026-08-13,Pago
124,127,Cartão de crédito,3,2121.97,3.20,2054.07,2024-09-04,2024-09-04,Pago
125,128,PIX,1,3374.42,0.00,3374.42,2024-10-12,2024-10-12,Pago
126,129,PIX,1,1576.59,0.00,1576.59,2024-12-01,2024-12-01,Pago
127,130,Boleto 14 dias,1,1085.70,0.00,1085.70,2025-02-17,,Inadimplente
128,131,Cartão de débito,1,905.62,1.80,889.32,2025-03-28,2025-03-28,Pago
129,132,Cartão de débito,1,8126.51,1.80,7980.23,2025-06-04,2025-06-19,Pago
130,133,Boleto 14 dias,1,3281.80,0.00,3281.80,2025-08-05,2025-08-06,Pago
131,134,PIX,1,3674.51,0.00,3674.51,2025-09-09,2025-09-09,Pago
132,135,Boleto 14 dias,1,3881.51,0.00,3881.51,2025-12-01,2025-12-02,Pago
133,136,PIX,1,886.63,0.00,886.63,2025-12-22,2025-12-22,Pago
134,138,Dinheiro,1,1571.27,0.00,1571.27,2026-03-23,2026-03-26,Pago
135,139,Boleto 28 dias,1,4288.02,0.00,4288.02,2026-06-29,2026-06-29,Pago
136,140,Cartão de crédito,4,1067.45,3.20,1033.29,2026-07-25,2026-07-25,Pago
137,141,Boleto 28 dias,1,1785.42,0.00,1785.42,2024-10-24,2024-10-24,Pago
138,142,Boleto 14 dias,1,4613.94,0.00,4613.94,2024-12-11,2024-12-11,Pago
139,143,Boleto 14 dias,1,1506.49,0.00,1506.49,2025-02-04,2025-02-04,Pago
140,144,Boleto 14 dias,1,2441.86,0.00,2441.86,2025-04-04,2025-04-07,Pago
141,145,Boleto 28 dias,1,3114.67,0.00,3114.67,2025-06-04,2025-06-05,Pago
142,146,Boleto 14 dias,1,4975.14,0.00,4975.14,2025-07-01,2025-07-01,Pago
143,148,Cartão de crédito,3,2318.43,3.20,2244.24,2025-10-22,2025-11-06,Pago
144,149,Cartão de débito,1,1803.38,1.80,1770.92,2025-11-27,2025-11-30,Pago
145,150,Boleto 28 dias,1,3646.73,0.00,3646.73,2026-01-26,2026-01-26,Pago
146,151,PIX,1,6264.89,0.00,6264.89,2026-03-04,2026-03-11,Pago
147,152,PIX,1,3377.80,0.00,3377.80,2026-04-29,2026-05-02,Pago
148,153,Boleto 14 dias,1,2194.89,0.00,2194.89,2026-06-26,2026-07-03,Pago
149,154,Boleto 28 dias,1,1112.62,0.00,1112.62,2026-09-01,,Em aberto
150,155,Boleto 28 dias,1,5425.36,0.00,5425.36,2024-10-25,2024-10-25,Pago
151,156,Boleto 28 dias,1,4561.15,0.00,4561.15,2024-12-11,2024-12-11,Pago
152,157,Boleto 14 dias,1,2333.67,0.00,2333.67,2025-01-17,,Inadimplente
153,158,Boleto 28 dias,1,4646.16,0.00,4646.16,2025-04-16,2025-04-16,Pago
154,160,Cartão de débito,1,3954.70,1.80,3883.52,2025-07-12,2025-07-12,Pago
155,161,PIX,1,880.96,0.00,880.96,2025-09-19,2025-09-19,Pago
156,163,PIX,1,898.33,0.00,898.33,2025-12-10,2025-12-11,Pago
157,164,Boleto 14 dias,1,3294.56,0.00,3294.56,2026-03-07,2026-03-08,Pago
158,165,Boleto 28 dias,1,4479.92,0.00,4479.92,2026-05-22,2026-07-02,Pago com atraso
159,166,Cartão de crédito,3,1752.62,3.20,1696.54,2026-06-06,2026-06-06,Pago
160,167,Boleto 28 dias,1,2311.20,0.00,2311.20,2026-09-04,,Em aberto
161,168,Boleto 14 dias,1,1518.09,0.00,1518.09,2026-02-03,2026-02-03,Pago
162,169,Boleto 28 dias,1,1305.76,0.00,1305.76,2026-03-31,2026-04-03,Pago
163,170,Boleto 28 dias,1,3485.54,0.00,3485.54,2026-05-14,2026-05-21,Pago
164,171,Boleto 28 dias,1,1453.91,0.00,1453.91,2026-07-23,2026-07-24,Pago
165,172,PIX,1,2184.01,0.00,2184.01,2026-08-31,2026-09-03,Pago
166,173,Boleto 28 dias,1,2289.74,0.00,2289.74,2024-09-30,2024-10-01,Pago
167,174,Boleto 28 dias,1,4459.03,0.00,4459.03,2024-12-01,2024-12-01,Pago
168,175,Boleto 14 dias,1,2388.67,0.00,2388.67,2024-12-31,2024-12-31,Pago
169,176,Cartão de crédito,2,5722.82,3.20,5539.69,2025-02-12,,Inadimplente
170,177,Cartão de crédito,1,4875.15,3.20,4719.15,2025-04-14,2025-04-15,Pago
171,178,Cartão de débito,1,2245.65,1.80,2205.23,2025-05-24,2025-05-24,Pago
172,179,Boleto 28 dias,1,2465.34,0.00,2465.34,2025-08-27,2025-08-27,Pago
173,180,Dinheiro,1,1963.51,0.00,1963.51,2025-09-15,2025-09-15,Pago
174,181,Boleto 14 dias,1,8970.24,0.00,8970.24,2025-11-28,2025-11-28,Pago
175,182,Boleto 28 dias,1,866.25,0.00,866.25,2026-02-20,2026-02-20,Pago
176,183,Boleto 14 dias,1,2203.07,0.00,2203.07,2026-03-18,2026-03-18,Pago
177,184,Boleto 14 dias,1,4513.98,0.00,4513.98,2026-05-02,2026-05-02,Pago
178,185,Boleto 28 dias,1,3317.38,0.00,3317.38,2026-07-06,2026-07-06,Pago
179,186,Boleto 14 dias,1,96.41,0.00,96.41,2026-08-06,2026-08-07,Pago
180,187,PIX,1,410.92,0.00,410.92,2024-09-13,2024-09-13,Pago
181,188,Boleto 28 dias,1,1576.54,0.00,1576.54,2024-12-11,2024-12-11,Pago
182,189,PIX,1,668.95,0.00,668.95,2025-01-20,2025-01-20,Pago
183,190,Cartão de crédito,4,2786.42,3.20,2697.25,2025-05-01,2025-05-01,Pago
184,191,PIX,1,1596.85,0.00,1596.85,2025-08-09,2025-09-26,Pago com atraso
185,192,Boleto 14 dias,1,1388.53,0.00,1388.53,2025-10-20,,Inadimplente
186,193,Boleto 28 dias,1,2264.14,0.00,2264.14,2026-01-14,2026-01-17,Pago
187,194,Dinheiro,1,1350.51,0.00,1350.51,2024-09-26,2024-09-26,Pago
188,195,PIX,1,9007.98,0.00,9007.98,2024-11-15,2024-11-18,Pago
189,196,PIX,1,1040.26,0.00,1040.26,2025-01-06,2025-01-06,Pago
190,197,Boleto 14 dias,1,2039.17,0.00,2039.17,2025-03-17,2025-03-17,Pago
191,198,Cartão de débito,1,5385.81,1.80,5288.87,2025-04-26,2025-04-26,Pago
192,199,Boleto 28 dias,1,339.79,0.00,339.79,2025-07-29,2025-07-30,Pago
193,200,Cartão de débito,1,3856.03,1.80,3786.62,2025-08-21,2025-08-21,Pago
194,201,Cartão de crédito,1,5679.39,3.20,5497.65,2025-09-23,2025-09-23,Pago
195,202,Boleto 28 dias,1,1616.77,0.00,1616.77,2025-11-29,2025-11-29,Pago
196,203,Boleto 14 dias,1,456.48,0.00,456.48,2025-12-24,2025-12-24,Pago
197,204,Dinheiro,1,1376.93,0.00,1376.93,2026-02-20,2026-02-23,Pago
198,205,Dinheiro,1,3305.17,0.00,3305.17,2026-04-24,2026-05-09,Pago
199,206,Boleto 28 dias,1,3212.86,0.00,3212.86,2026-06-26,2026-07-26,Pago com atraso
200,207,PIX,1,3136.60,0.00,3136.60,2026-07-01,2026-07-08,Pago
201,208,Boleto 28 dias,1,2323.41,0.00,2323.41,2026-09-23,,Em aberto
202,209,Boleto 28 dias,1,2765.54,0.00,2765.54,2024-10-07,2024-10-08,Pago
203,210,Boleto 28 dias,1,1453.16,0.00,1453.16,2025-01-23,2025-01-26,Pago
204,211,Cartão de crédito,2,1179.89,3.20,1142.13,2025-03-20,2025-05-03,Pago com atraso
205,212,Boleto 14 dias,1,1488.22,0.00,1488.22,2025-08-04,,Inadimplente
206,213,Boleto 28 dias,1,970.49,0.00,970.49,2025-12-08,2025-12-15,Pago
207,214,Boleto 14 dias,1,641.70,0.00,641.70,2026-02-05,2026-02-05,Pago
208,215,PIX,1,734.32,0.00,734.32,2026-03-19,2026-03-19,Pago
209,216,Boleto 28 dias,1,1329.47,0.00,1329.47,2026-07-08,2026-07-08,Pago
210,217,PIX,1,1844.39,0.00,1844.39,2026-01-28,2026-01-28,Pago
211,218,PIX,1,5635.98,0.00,5635.98,2026-04-06,2026-04-06,Pago
212,219,PIX,1,10709.11,0.00,10709.11,2026-06-01,2026-06-01,Pago
213,220,Boleto 14 dias,1,3028.13,0.00,3028.13,2026-07-17,2026-07-17,Pago
214,221,PIX,1,1303.33,0.00,1303.33,2026-08-06,,Inadimplente
215,222,Boleto 28 dias,1,2089.53,0.00,2089.53,2024-10-22,2024-10-25,Pago
216,223,Boleto 28 dias,1,488.42,0.00,488.42,2025-02-04,,Inadimplente
217,224,Boleto 28 dias,1,3886.26,0.00,3886.26,2025-04-18,2025-04-19,Pago
218,225,Boleto 28 dias,1,4669.03,0.00,4669.03,2025-06-12,2025-06-12,Pago
219,226,Boleto 28 dias,1,1172.61,0.00,1172.61,2025-08-20,2025-08-20,Pago
220,227,Cartão de crédito,1,11513.94,3.20,11145.49,2025-10-21,2025-11-11,Pago com atraso
221,228,Boleto 28 dias,1,438.80,0.00,438.80,2026-01-21,2026-01-21,Pago
222,229,Dinheiro,1,4464.22,0.00,4464.22,2026-04-09,2026-04-09,Pago
223,230,Boleto 14 dias,1,679.00,0.00,679.00,2026-07-21,2026-07-21,Pago
224,231,Cartão de crédito,4,9396.55,3.20,9095.86,2024-09-21,2024-09-22,Pago
225,232,Boleto 28 dias,1,2277.26,0.00,2277.26,2024-11-15,2024-11-15,Pago
226,233,Boleto 28 dias,1,10011.65,0.00,10011.65,2024-12-02,2024-12-22,Pago com atraso
227,234,Boleto 28 dias,1,4817.13,0.00,4817.13,2025-01-02,2025-01-03,Pago
228,235,Boleto 14 dias,1,3876.95,0.00,3876.95,2025-01-06,2025-01-06,Pago
229,236,Cartão de crédito,6,1444.32,3.20,1398.10,2025-01-20,2025-01-21,Pago
230,237,Cartão de débito,1,10413.07,1.80,10225.63,2025-02-09,2025-02-24,Pago
231,238,Boleto 14 dias,1,9178.61,0.00,9178.61,2025-03-20,2025-03-20,Pago
232,239,Boleto 14 dias,1,6192.37,0.00,6192.37,2025-04-19,2025-04-22,Pago
233,240,PIX,1,4567.75,0.00,4567.75,2025-05-05,2025-05-05,Pago
234,241,Cartão de crédito,2,5662.25,3.20,5481.06,2025-05-31,2025-05-31,Pago
235,242,Cartão de crédito,1,2312.37,3.20,2238.37,2025-06-18,2025-06-18,Pago
236,243,Dinheiro,1,6338.15,0.00,6338.15,2025-07-15,2025-07-15,Pago
237,244,Boleto 14 dias,1,6259.16,0.00,6259.16,2025-08-27,2025-08-27,Pago
238,245,PIX,1,2130.35,0.00,2130.35,2025-09-12,2025-09-12,Pago
239,248,Boleto 28 dias,1,8547.55,0.00,8547.55,2026-01-15,2026-02-12,Pago com atraso
240,249,PIX,1,1659.37,0.00,1659.37,2026-01-21,2026-01-22,Pago
241,250,Boleto 14 dias,1,9437.36,0.00,9437.36,2026-03-13,2026-03-13,Pago
242,251,PIX,1,2602.32,0.00,2602.32,2026-03-23,2026-03-26,Pago
243,252,Boleto 14 dias,1,6514.83,0.00,6514.83,2026-04-30,2026-05-07,Pago
244,253,Boleto 28 dias,1,6838.29,0.00,6838.29,2026-06-11,2026-06-14,Pago
245,254,Cartão de débito,1,26137.09,1.80,25666.62,2026-06-16,2026-06-17,Pago
246,255,Boleto 14 dias,1,7157.57,0.00,7157.57,2026-07-20,2026-07-20,Pago
247,256,Boleto 14 dias,1,11506.71,0.00,11506.71,2026-08-18,,Inadimplente
248,257,Dinheiro,1,4610.26,0.00,4610.26,2026-08-28,2026-08-28,Pago
249,258,Cartão de débito,1,2177.54,1.80,2138.34,2025-10-28,2025-12-20,Pago com atraso
250,259,PIX,1,523.28,0.00,523.28,2026-01-01,2026-02-07,Pago com atraso
251,260,PIX,1,2344.21,0.00,2344.21,2026-03-27,2026-03-28,Pago
252,261,Cartão de crédito,3,380.12,3.20,367.96,2026-07-11,2026-07-12,Pago
253,262,PIX,1,4391.14,0.00,4391.14,2025-07-29,2025-07-29,Pago
254,263,PIX,1,4492.47,0.00,4492.47,2025-09-26,2025-09-26,Pago
255,265,Boleto 28 dias,1,1334.94,0.00,1334.94,2026-01-20,2026-01-23,Pago
256,266,PIX,1,946.47,0.00,946.47,2026-02-22,2026-03-31,Pago com atraso
257,267,Boleto 28 dias,1,4594.81,0.00,4594.81,2026-04-29,2026-06-08,Pago com atraso
258,268,PIX,1,3136.46,0.00,3136.46,2026-06-04,2026-06-07,Pago
259,269,Boleto 14 dias,1,3641.08,0.00,3641.08,2026-08-19,2026-08-19,Pago
260,270,Boleto 14 dias,1,545.82,0.00,545.82,2024-09-17,2024-10-08,Pago com atraso
261,271,PIX,1,2645.74,0.00,2645.74,2024-11-15,2024-11-15,Pago
262,272,Boleto 14 dias,1,2001.28,0.00,2001.28,2025-02-07,2025-02-07,Pago
263,273,Boleto 28 dias,1,4336.73,0.00,4336.73,2025-05-03,2025-05-03,Pago
264,274,Boleto 14 dias,1,365.48,0.00,365.48,2025-08-29,2025-08-29,Pago
265,275,Boleto 28 dias,1,3452.73,0.00,3452.73,2025-11-29,2025-11-29,Pago
266,276,Cartão de débito,1,2208.15,1.80,2168.40,2026-01-27,2026-01-27,Pago
267,277,Cartão de crédito,1,1223.39,3.20,1184.24,2026-03-25,2026-05-09,Pago com atraso
268,279,PIX,1,2579.17,0.00,2579.17,2026-08-20,2026-08-20,Pago
269,280,PIX,1,379.76,0.00,379.76,2024-09-17,2024-09-17,Pago
270,281,Boleto 28 dias,1,3900.03,0.00,3900.03,2025-01-14,2025-01-29,Pago
271,282,Cartão de débito,1,1110.26,1.80,1090.28,2025-02-14,2025-02-14,Pago
272,283,Boleto 28 dias,1,3684.68,0.00,3684.68,2025-07-16,2025-07-19,Pago
273,284,Dinheiro,1,613.19,0.00,613.19,2025-08-28,,Inadimplente
274,286,PIX,1,368.23,0.00,368.23,2026-01-14,2026-01-15,Pago
275,287,Boleto 28 dias,1,1335.76,0.00,1335.76,2026-04-17,2026-04-17,Pago
276,288,Boleto 28 dias,1,322.08,0.00,322.08,2026-08-14,2026-08-15,Pago
277,289,Cheque a prazo,1,762.70,0.00,762.70,2024-10-10,2024-10-10,Pago
278,290,Cartão de débito,1,316.29,1.80,310.60,2025-01-03,2025-01-04,Pago
279,291,PIX,1,2562.66,0.00,2562.66,2025-03-19,2025-03-19,Pago
280,292,Boleto 28 dias,1,2569.10,0.00,2569.10,2025-06-23,2025-06-26,Pago
281,293,Boleto 28 dias,1,870.32,0.00,870.32,2025-09-08,2025-09-08,Pago
282,294,Boleto 28 dias,1,1142.24,0.00,1142.24,2024-10-02,2024-10-05,Pago
283,295,Boleto 28 dias,1,184.07,0.00,184.07,2024-12-18,2024-12-18,Pago
284,296,PIX,1,506.45,0.00,506.45,2025-02-25,2025-03-24,Pago com atraso
285,297,Boleto 28 dias,1,2073.21,0.00,2073.21,2025-08-22,2025-08-22,Pago
286,298,Dinheiro,1,1534.02,0.00,1534.02,2025-10-21,2025-10-21,Pago
287,299,PIX,1,859.24,0.00,859.24,2026-01-09,2026-03-01,Pago com atraso
288,300,PIX,1,2725.84,0.00,2725.84,2026-05-04,2026-05-07,Pago
289,301,PIX,1,2620.85,0.00,2620.85,2026-07-20,,Inadimplente
290,302,Boleto 14 dias,1,431.91,0.00,431.91,2024-10-03,2024-10-03,Pago
291,303,PIX,1,2257.31,0.00,2257.31,2024-11-13,2024-11-13,Pago
292,304,PIX,1,2366.87,0.00,2366.87,2025-03-28,2025-03-28,Pago
293,305,Boleto 28 dias,1,440.98,0.00,440.98,2025-08-16,2025-08-16,Pago
294,306,Boleto 28 dias,1,5479.20,0.00,5479.20,2025-10-28,2025-10-28,Pago
295,307,Cartão de crédito,6,1087.92,3.20,1053.11,2025-12-25,2026-02-23,Pago com atraso
296,309,Boleto 28 dias,1,481.95,0.00,481.95,2026-07-30,2026-08-02,Pago
297,310,Boleto 14 dias,1,5539.15,0.00,5539.15,2024-12-11,2024-12-11,Pago
298,311,Cartão de débito,1,1059.89,1.80,1040.81,2025-01-23,2025-02-25,Pago com atraso
299,312,Cartão de crédito,2,1223.80,3.20,1184.64,2025-03-28,2025-03-28,Pago
300,313,Cartão de crédito,2,2410.86,3.20,2333.71,2025-05-28,2025-07-09,Pago com atraso
301,314,Boleto 28 dias,1,3866.33,0.00,3866.33,2025-08-29,2025-08-29,Pago
