cliente_id,cnpj,razao_social,segmento,cidade,uf,bairro,data_cadastro,ativo
58,47359774688623,Aroma Rosa dos Ventos EIRELI,Perfumaria,Curitiba,PR,Savassi,2023-11-23,S
59,14124782613750,Boutique Diva LTDA,Salão de beleza,Brasília,DF,Centro,2026-01-28,S
60,52204727790104,Farmácia Encanto ME,Loja de departamento,Rio de Janeiro,RJ,Jardins,18/06/2023,S
61,97117980893246,Studio Íris ME,Revendedora autônoma,Campinas,SP,Moema,2024-08-29,S
62,18888806706540,Boutique Serena LTDA,Salão de beleza,Salvador,BA,Cambuí,2022-09-01,S
63,85.277.221/7043-03,Espaço Beleza Diva S/A,E-commerce,Salvador,BA,Jardins,2024-06-08,S
64,45054156676527,Farmácia Íris LTDA,E-commerce,Curitiba,PR,Boa Viagem,2021-11-18,S
65,11544796275705,Farmacia Serena LTDA ME,Perfumaria,Salvador,BA,Boa Viagem,2022-03-26,S
66,97021355690927,Studio Charme S/A,Farmácia,Belo Horizonte,MG,Cambuí,2022-08-04,S
67,10.278.681/4473-94,Loja Prime LTDA ME,Farmácia,Curitiba,PR,Cambuí,2025-01-17,S
68, 18844225831323 ,Loja Aromas do Sul ME,Salão de beleza,Manaus,AM,Moema,2026-03-22,N
69,78669125177852,Drogaria Íris S/A,Loja de shopping,Recife,PE,Jardins,2021-07-30,S
70,24225358414384,Espaço Beleza Serena ME,Farmácia,Brasília,DF,Batel,2023-12-20,S
71,95900109439690,Aroma Encanto LTDA ME,E-commerce,Goiânia,GO,Pinheiros,17/11/2021,S
72, 02767735925556 ,Casa de Fragrâncias Vitória LTDA ME,Farmácia,Rio de Janeiro,RJ,Aldeota,2023-12-09,S
73,04.696.325/9532-78,Loja Aurora LTDA,E-commerce,Rio de Janeiro,RJ,Bela Vista,2022-01-19,S
74,39500479748016,Comercial Class LTDA,Salão de beleza,Curitiba,PR,Higienópolis,2023-12-02,S
75,41.687.849/9121-65,Drogaria Elegance S/A,Salão de beleza,Brasília,DF,Bela Vista,2022-10-08,N
76,25787298259526,Bella Nova Era EIRELI,Quiosque,São Paulo,SP,Centro,29/12/2022,S
77,16.940.974/9930-97,Drogaria Vitória LTDA,Loja de departamento,Campinas,SP,Savassi,18/09/2023,S
78,56.263.689/7028-38,Espaço Beleza Diva EIRELI,Quiosque,Fortaleza,CE,Aldeota,2022-11-06,S
79,85497334843443,Espaço Beleza Dourada EIRELI,Salão de beleza,Salvador,BA,Higienópolis,2021-12-05,S
80,52.404.157/4733-84,Farmácia Requinte S/A,Loja de shopping,Recife,PE,Jardins,2021-07-08,S
81,33016571208267,Casa de Fragrâncias Encanto LTDA,E-commerce,Brasília,DF,Moema,2021-12-29,S
82,80262067240049,Essência Lumiar S/A,Salão de beleza,Curitiba,PR,Batel,2024-01-26,S
83,43152742054932,Farmácia Diva LTDA,Salão de beleza,Fortaleza,CE,Batel,2022-05-25,S
84,04.637.454/9904-53,Essência Prime LTDA ME,Quiosque,Curitiba,PR,Setor Bueno,2024-04-27,S
85,45.933.272/7956-87,Boutique Requinte LTDA,Revendedora autônoma,Campinas,SP,Bela Vista,2021-08-28,S
86,91088398225871,Farmácia Sublime LTDA ME,Quiosque,Rio de Janeiro,RJ,Aldeota,2023-07-09,S
87,79087406403910,Espaço Beleza Bella Vita LTDA,Farmácia,Recife,PE,Pituba,2022-04-18,N
88, 22656766182512 ,Bella Vitória LTDA,Loja de shopping,Recife,PE,Setor Bueno,2021-08-28,S
89,86863375243106,Studio Bella Vita LTDA ME,Farmácia,Manaus,AM,Jardins,2024-11-08,S
90,67383028439599,Comercial Encanto EIRELI,Revendedora autônoma,São Paulo,SP,Boa Viagem,2025-01-25,S
91,87056856624628,Bella Charme LTDA ME,E-commerce,Recife,PE,Higienópolis,2025-04-19,S
92,88.263.435/1751-83,Farmácia Elegance S/A,Perfumaria,Recife,PE,Higienópolis,2024-05-19,S
93,54.033.173/9363-85,Essência Dourada EIRELI,Salão de beleza,Curitiba,PR,Pituba,31/01/2023,S
94,75355609320489,Drogaria Elegance EIRELI,E-commerce,Manaus,AM,Barra,2021-06-03,S
95,54.777.252/2872-80,Perfumaria Íris ME,Perfumaria,Campinas,SP,Barra,2024-11-16,N
96, 03875099770088 ,Espaço Beleza Encanto LTDA,E-commerce,Belo Horizonte,MG,Vila Madalena,25/02/2026,S
97,11823398454615,Bella Vitória EIRELI,Revendedora autônoma,Belo Horizonte,MG,Moema,2022-05-24,S
98,01666870021765,Espaco Beleza Bella Vita ME,Farmácia,Campinas,SP,Pituba,2021-07-01,S
99,48.902.503/9261-42,Comercial Charme LTDA,Salão de beleza,Rio de Janeiro,RJ,Ipanema,2025-10-04,N
100,31599965047735,Drogaria Nova Era LTDA ME,Loja de departamento,Recife,PE,Setor Bueno,2021-07-27,S
101,11.426.265/5110-47,Drogaria Essenza ME,Farmácia,Manaus,AM,Higienópolis,2022-08-26,S
102,10.158.199/5604-66,Studio Sublime ME,Revendedora autônoma,Recife,PE,Boa Viagem,2024-03-12,S
103,47.212.646/4715-43,Loja Flor de Liz ME,Revendedora autônoma,Porto Alegre,RS,Pinheiros,2021-11-21,S
104,65.756.924/5937-52,Bella Serena LTDA ME,E-commerce,Goiânia,GO,Barra,2022-06-09,S
105,65.193.982/8073-74,Aroma Rosa dos Ventos ME,Loja de departamento,Porto Alegre,RS,Barra,2024-04-13,S
106,66179796886805,Farmácia Vitória EIRELI,Farmácia,Belo Horizonte,MG,Jardins,29/08/2021,S
107,65610143888993,Aroma Nova Era S/A,Quiosque,Campinas,SP,Centro,2022-03-04,S
108,61.125.457/3875-71,Casa de Fragrâncias Essenza EIRELI,Quiosque,Porto Alegre,RS,Savassi,2022-03-19,N
109,12382825867362,Comercial Aurora S/A,Loja de departamento,Salvador,BA,Aldeota,2023-08-17,S
110,03.341.918/2553-71,ESPAÇO BELEZA SERENA EIRELI,Quiosque,Recife,PE,Pinheiros,2023-03-14,S
111,57.924.991/2513-41,Espaço Beleza Diva LTDA ME,Loja de shopping,Salvador,BA,Pinheiros,2023-08-24,S
112,82827422579050,Comercial Rosa dos Ventos LTDA ME,Quiosque,Fortaleza,CE,Aldeota,29/09/2025,S
113,90.340.438/4279-78,Espaço Beleza Class S/A,E-commerce,Rio de Janeiro,RJ,Jardins,2024-12-26,S
114,83.613.407/4517-13,Bella Requinte LTDA ME,Salão de beleza,Fortaleza,CE,Batel,2023-06-30,S
115,09584982544948,Essência Serena ME,Perfumaria,Curitiba,PR,Batel,2025-10-27,S
116,53672946671168,Loja Rosa dos Ventos EIRELI,Salão de beleza,Manaus,AM,Moema,2023-02-10,S
117,51863637454589,Casa de Fragrâncias Bella Vita LTDA,Quiosque,Fortaleza,CE,Aldeota,2023-12-09,N
118,77.063.242/4154-15,Bella Vitória LTDA ME,E-commerce,Belo Horizonte,MG,Savassi,2026-06-03,N
119,12.938.700/5162-71,Farmácia Nobre EIRELI,Farmácia,Fortaleza,CE,Batel,2023-05-22,S
120, 21890927532697 ,Farmácia Nova Era LTDA ME,Loja de shopping,Belo Horizonte,MG,Vila Madalena,2024-12-12,S
121,34138999404389,Aroma Bella Vita ME,E-commerce,Belo Horizonte,MG,Savassi,2025-10-07,S
122,91805526965827,Essência Elegance LTDA,Perfumaria,Campinas,SP,Pinheiros,09/11/2024,S
123,86661889241418,Espaço Beleza Nobre LTDA ME,Loja de shopping,Campinas,SP,Moema,2023-07-13,S
124,30.316.179/9042-10,Loja Class S/A,Loja de shopping,Recife,PE,Asa Sul,2023-11-25,S
125,41056481491778,Casa de Fragrâncias Prime EIRELI,Loja de shopping,Belo Horizonte,MG,Savassi,2026-04-04,S
126,00030756220863,Farmácia Nova Era EIRELI,E-commerce,Brasília,DF,Jardins,2025-07-25,S
127,06.174.451/8705-34,Loja Class S/A,Revendedora autônoma,Brasília,DF,Meireles,2021-07-05,S
128, 32060385050641 ,Comercial Rosa dos Ventos LTDA,Revendedora autônoma,Brasília,DF,Batel,2023-07-09,S
129,03865719182619,Essência Dourada EIRELI,Revendedora autônoma,Rio de Janeiro,RJ,Pinheiros,2025-01-12,S
130,55.743.132/9121-27,Espaço Beleza Class ME,Farmácia,Manaus,AM,Aldeota,2022-01-21,S
131,12.490.352/1356-80,PERFUMARIA DIVA LTDA ME,Loja de shopping,Rio de Janeiro,RJ,Higienópolis,2022-12-29,S
132,12100323651994,Aroma Lumiar ME,Revendedora autônoma,Fortaleza,CE,Cambuí,2024-11-06,S
133,02966706625324,Perfumaria Requinte S/A,Loja de shopping,Fortaleza,CE,Setor Bueno,2023-02-06,S
134, 70146263838065 ,Casa de Fragrâncias Nova Era S/A,Quiosque,Brasília,DF,Asa Sul,2021-12-24,S
135,93040785932133,Boutique Nova Era LTDA ME,Perfumaria,Salvador,BA,Boa Viagem,2023-03-06,S
136,55.905.992/9378-42,Studio Vitória LTDA,Revendedora autônoma,Goiânia,GO,Centro,2024-10-28,S
137,32525002921851,Studio Flor de Liz EIRELI,Loja de departamento,Goiânia,GO,Batel,2022-07-29,S
138,67.528.953/9264-42,Studio Bella Vita ME,Loja de departamento,Manaus,AM,Barra,2023-09-04,S
139,72.513.552/1570-43,Essência Flor de Liz LTDA,Salão de beleza,Rio de Janeiro,RJ,Aldeota,2023-04-09,S
140,67.658.617/9327-10,Farmácia Nobre ME,Farmácia,Belo Horizonte,MG,Boa Viagem,2025-05-26,S
141,15.997.062/9620-15,Bella Aromas do Sul S/A,Loja de departamento,Brasília,DF,Setor Bueno,2023-07-09,S
142,06987205061497,Aroma Encanto LTDA,Loja de shopping,Rio de Janeiro,RJ,Savassi,2025-03-31,S
143,77418625652704,ESSÊNCIA NOVA ERA LTDA,Revendedora autônoma,Recife,PE,Savassi,2022-03-16,S
144,86.938.068/6879-37,Farmácia Lumiar ME,Loja de shopping,Salvador,BA,Boa Viagem,2024-10-06,S
145,20616329451168,Espaço Beleza Lumiar LTDA,E-commerce,Curitiba,PR,Bela Vista,2022-06-11,S
146,62.299.911/9148-56,Studio Requinte LTDA ME,Quiosque,Rio de Janeiro,RJ,Asa Sul,2023-03-11,S
147,96.065.307/4505-44,Boutique Charme EIRELI,Farmácia,Goiânia,GO,Aldeota,2023-02-05,S
148,46913736785082,Drogaria Sublime S/A,Loja de departamento,Salvador,BA,Meireles,2024-04-20,S
149,03.070.534/5786-10,Drogaria Rosa dos Ventos S/A,Quiosque,Curitiba,PR,Ipanema,2023-04-25,S
150,14060293333468,Loja Charme ME,Perfumaria,Porto Alegre,RS,Centro,2024-07-22,S
151,44.665.743/7489-69,Essência Flor de Liz LTDA ME,E-commerce,Goiânia,GO,Asa Sul,2025-09-19,S
152, 44328309652074 ,Comercial Bella Vita S/A,Loja de departamento,Porto Alegre,RS,Meireles,2023-03-20,S
153,38.758.428/2417-24,Aroma Nobre LTDA,Loja de shopping,Manaus,AM,Barra,2021-07-15,S
154,65.549.471/7099-91,Aroma Diva S/A,Farmácia,Porto Alegre,RS,Jardins,2022-01-08,S
155,23.569.725/2175-25,Drogaria Nova Era ME,Revendedora autônoma,Belo Horizonte,MG,Moema,2025-06-08,S
156,66676008350583,Boutique Class EIRELI,Revendedora autônoma,Recife,PE,Pinheiros,2024-07-27,S
157,21044789856257,Comercial Aurora ME,Loja de shopping,Porto Alegre,RS,Batel,2022-08-28,S
158,98.215.064/8909-01,Loja Diva LTDA,Loja de departamento,São Paulo,SP,Pituba,2024-12-28,S
159,04618499261891,Boutique Requinte ME,Quiosque,Curitiba,PR,Bela Vista,2024-12-18,S
160,64208737530011,Farmácia Sublime LTDA,Loja de shopping,Salvador,BA,Savassi,2021-06-14,S
161,37.447.012/0455-61,Perfumaria Charme ME,Perfumaria,Campinas,SP,Aldeota,20/02/2024,S
162, 15521667467621 ,Drogaria Flor de Liz LTDA ME,Perfumaria,Porto Alegre,RS,Pituba,2023-12-05,S
163,72965902771670,Perfumaria Sublime S/A,Salão de beleza,Campinas,SP,Barra,2024-04-25,S
164,58.891.637/5628-90,ESPAÇO BELEZA ROSA DOS VENTOS LTDA ME,Loja de shopping,Campinas,SP,Moema,2024-08-09,S
165,35.408.386/6317-79,Casa de Fragrâncias Flor de Liz LTDA ME,Quiosque,Salvador,BA,Centro,2026-01-24,S
166,08801994883755,CASA DE FRAGRÂNCIAS AROMAS DO SUL S/A,Quiosque,Recife,PE,Ipanema,2024-05-13,S
167,13.055.488/5102-72,Boutique Flor de Liz LTDA ME,Revendedora autônoma,Rio de Janeiro,RJ,Meireles,2026-05-19,S
168, 60917798270808 ,Espaço Beleza Prime S/A,Quiosque,Rio de Janeiro,RJ,Batel,2022-03-30,S
169,99586693465472,Bella Aromas do Sul EIRELI,E-commerce,Campinas,SP,Higienópolis,2023-11-24,S
170,39452288515879,Aroma Aromas do Sul EIRELI,Loja de departamento,Curitiba,PR,Vila Madalena,2021-06-21,S
171,10620034244204,Casa de Fragrâncias Lumiar LTDA,Perfumaria,Brasília,DF,Higienópolis,2023-07-12,S
172,86384066658004,Boutique Serena EIRELI,Quiosque,Manaus,AM,Higienópolis,2023-07-14,S
173,34721228160648,Perfumaria Nobre LTDA ME,E-commerce,Curitiba,PR,Batel,2026-04-22,N
174,90.947.985/1583-28,Comercial Aromas do Sul S/A,Loja de shopping,Salvador,BA,Ipanema,2024-04-15,S
175, 55543987801573 ,Comercial Flor de Liz LTDA ME,Salão de beleza,Curitiba,PR,Setor Bueno,21/04/2023,N
176,58877043581128,Aroma Serena ME,Revendedora autônoma,Brasília,DF,Vila Madalena,2024-11-07,S
177,86.120.750/1102-48,Essência Íris LTDA ME,Revendedora autônoma,Curitiba,PR,Pinheiros,2024-04-10,S
178,61809190158144,Comercial Diva LTDA,Quiosque,São Paulo,SP,Higienópolis,2024-03-08,S
179,68424508821009,ESSÊNCIA ELEGANCE EIRELI,Farmácia,Manaus,AM,Bela Vista,17/06/2022,S
180, 39431290878141 ,Casa de Fragrâncias Class ME,Quiosque,Belo Horizonte,MG,Barra,2026-04-18,S
181,13577594929955,Boutique Serena LTDA ME,Revendedora autônoma,Goiânia,GO,Ipanema,2025-07-18,S
182,57775478129142,Bella Essenza LTDA,Farmácia,Manaus,AM,Centro,2026-06-04,S
183,69308488725639,Comercial Class S/A,Farmácia,Goiânia,GO,Barra,2026-01-27,S
184,28272299275037,PERFUMARIA ELEGANCE S/A,Revendedora autônoma,Goiânia,GO,Ipanema,14/09/2025,S
185,00518449892665,Boutique Sublime LTDA ME,Loja de departamento,Fortaleza,CE,Ipanema,2024-03-26,S
186,90827231843222,AROMA VITÓRIA LTDA ME,Farmácia,Fortaleza,CE,Savassi,2022-08-22,S
187,73.926.030/2992-28,Perfumaria Prime EIRELI,Loja de shopping,Fortaleza,CE,Bela Vista,2024-06-13,S
188,90413797723692,Studio Sublime EIRELI,Loja de shopping,Goiânia,GO,Cambuí,2021-05-27,S
189,91366210388629,Espaço Beleza Sublime LTDA,Perfumaria,Goiânia,GO,Batel,2026-05-23,S
190,06.865.086/3765-99,Loja Vitória LTDA,E-commerce,Brasília,DF,Higienópolis,2024-02-14,S
191,00.981.806/3565-12,Essência Aromas do Sul LTDA ME,E-commerce,Curitiba,PR,Asa Sul,2022-04-13,S
192,36887258874495,Bella Vitória LTDA ME,Farmácia,Recife,PE,Boa Viagem,2022-06-09,S
193,65.890.260/1279-61,Farmácia Requinte LTDA,Salão de beleza,Brasília,DF,Pinheiros,2024-04-23,S
194,49.027.703/8430-98,Aroma Bella Vita EIRELI,Loja de shopping,Brasília,DF,Centro,2021-10-11,S
195,46.566.938/0118-48,Boutique Requinte ME,E-commerce,Rio de Janeiro,RJ,Pinheiros,2021-05-27,S
196,26818184518489,Studio Rosa dos Ventos ME,Loja de departamento,Porto Alegre,RS,Aldeota,2023-04-08,S
197,07141633565880,AROMA NOBRE LTDA,Loja de departamento,Goiânia,GO,Boa Viagem,2024-12-05,S
198,39423733343333,Farmácia Rosa dos Ventos S/A,Farmácia,Salvador,BA,Higienópolis,2024-12-19,S
199,59579472846392,Loja Aromas do Sul LTDA,Loja de departamento,Fortaleza,CE,Pinheiros,2024-05-14,S
200,71875003691559,Essência Rosa dos Ventos S/A,Revendedora autônoma,Belo Horizonte,MG,Boa Viagem,28/05/2025,S
201,65564729293143,Boutique Charme ME,Loja de departamento,Curitiba,PR,Centro,2021-07-22,S
202,28.857.448/9061-20,AROMA FLOR DE LIZ LTDA ME,Quiosque,Fortaleza,CE,Asa Sul,2023-06-18,S
203,84.506.159/3998-24,Bella Lumiar LTDA,Quiosque,Brasília,DF,Setor Bueno,2022-09-05,S
204,25699611253554,Essência Lumiar EIRELI,Loja de departamento,Belo Horizonte,MG,Bela Vista,04/03/2023,S
205,22023413261117,Farmacia Dourada S/A,Farmácia,Recife,PE,Pinheiros,2025-10-12,S
206,47228200557784,Studio Requinte LTDA ME,Loja de shopping,Curitiba,PR,Vila Madalena,2021-08-05,S
207,84578317456424,Essência Rosa dos Ventos S/A,Salão de beleza,Campinas,SP,Pituba,2025-01-18,S
208,40649308536866,Comercial Vitória EIRELI,Loja de departamento,Fortaleza,CE,Barra,2026-06-24,S
209,44846312241797,Boutique Nobre LTDA,Quiosque,Goiânia,GO,Higienópolis,2023-02-22,N
210,44.270.312/0735-64,Bella Bella Vita EIRELI,Quiosque,Rio de Janeiro,RJ,Batel,2021-11-16,N
211,18723460136730,Espaço Beleza Elegance LTDA ME,Farmácia,Recife,PE,Setor Bueno,2023-07-22,S
212,08.814.743/5031-36,Comercial Vitória LTDA,Farmácia,Belo Horizonte,MG,Pituba,2025-06-10,S
213,51.327.195/0052-81,Espaço Beleza Serena EIRELI,Salão de beleza,Belo Horizonte,MG,Aldeota,2023-12-19,S
214,65240778487392,Essência Requinte S/A,Quiosque,São Paulo,SP,Bela Vista,2021-08-15,S
215, 48570862095935 ,Boutique Sublime LTDA ME,Loja de departamento,Porto Alegre,RS,Batel,2024-04-25,S
216,65.118.102/2031-73,Aroma Rosa dos Ventos S/A,Loja de departamento,Salvador,BA,Asa Sul,20/06/2026,N
217,91.037.170/5865-09,Essência Essenza ME,Farmácia,Curitiba,PR,Savassi,2023-03-07,S
218,86.338.392/8861-95,Farmácia Prime ME,Loja de departamento,Curitiba,PR,Bela Vista,05/02/2022,S
219,89.755.855/6659-39,Casa de Fragrâncias Lumiar LTDA ME,E-commerce,Belo Horizonte,MG,Centro,2026-03-18,S
220,90.824.043/3504-88,Farmácia Bella Vita LTDA ME,Loja de shopping,Porto Alegre,RS,Batel,2021-07-20,S
221,33441969315727,Studio Serena EIRELI,Farmácia,Goiânia,GO,Pinheiros,2021-06-09,N
222,55661390604805,ESPAÇO BELEZA VITÓRIA ME,Salão de beleza,São Paulo,SP,Pinheiros,2021-08-23,S
223,98136462251790,Comercial Sublime LTDA ME,Farmácia,Goiânia,GO,Batel,2021-08-06,S
224,83.769.389/8331-46,FARMÁCIA ÍRIS LTDA ME,Farmácia,Fortaleza,CE,Meireles,2022-11-09,S
225,04259792703352,STUDIO CHARME EIRELI,Revendedora autônoma,Goiânia,GO,Savassi,2024-10-26,S
226,05383388487920,Essência Prime LTDA,Perfumaria,Fortaleza,CE,Asa Sul,2022-07-23,N
227,01645104636815,Drogaria Elegance S/A,Farmácia,Campinas,SP,Higienópolis,2021-12-14,S
228,03845762055543,Aroma Dourada LTDA ME,Perfumaria,São Paulo,SP,Centro,2021-11-10,S
229,32562168936392,LOJA AROMAS DO SUL ME,Salão de beleza,Porto Alegre,RS,Batel,2022-04-12,S
230,32.482.629/2518-81,Bella Aurora EIRELI,Loja de shopping,Campinas,SP,Vila Madalena,2023-08-21,S
231,74231220994999,Aroma Aurora EIRELI,Revendedora autônoma,Porto Alegre,RS,Pituba,2023-05-18,S
232,75267722330604,Farmácia Prime LTDA ME,Revendedora autônoma,Goiânia,GO,Pituba,2025-03-27,S
233,36609656999880,BOUTIQUE SUBLIME S/A,Perfumaria,Fortaleza,CE,Jardins,2025-12-12,S
234,03.476.447/2649-08,Farmácia Sublime LTDA,Quiosque,Brasília,DF,Higienópolis,2023-11-15,S
235,57027937145211,FARMÁCIA SUBLIME LTDA ME,Salão de beleza,Recife,PE,Bela Vista,2024-01-12,S
236,68602592222064,Essência Serena ME,Quiosque,Belo Horizonte,MG,Batel,2022-12-08,S
237, 94077780973397 ,Studio Requinte LTDA,Farmácia,São Paulo,SP,Higienópolis,15/02/2022,S
238,83022050209945,DROGARIA ENCANTO S/A,Loja de shopping,Campinas,SP,Higienópolis,2025-11-01,S
239,95014556168147,Espaço Beleza Íris S/A,Salão de beleza,Fortaleza,CE,Meireles,09/06/2025,S
240,98.179.469/5489-95,Espaço Beleza Serena LTDA ME,Quiosque,Rio de Janeiro,RJ,Boa Viagem,2023-12-11,S
241,43010713966055,Perfumaria Serena ME,Revendedora autônoma,Curitiba,PR,Asa Sul,2021-07-12,S
242,48850155699023,Loja Bella Vita ME,Quiosque,Porto Alegre,RS,Aldeota,2022-10-26,S
243,57608495880395,Perfumaria Nobre LTDA ME,E-commerce,Brasília,DF,Boa Viagem,2025-01-31,S
244,29145046173574,Farmácia Class LTDA,Loja de shopping,Recife,PE,Moema,2023-06-17,S
245,78235784521823,Perfumaria Encanto LTDA,Farmácia,São Paulo,SP,Moema,19/06/2024,S
