oportunidade_id,cliente_id,vendedor_id,origem,data_abertura,etapa,probabilidade_pct,valor_estimado,data_fechamento,ciclo_dias,motivo_perda
35,23,42,WhatsApp,2025-04-09,Fechado perdido,0,18694.94,2025-06-08,60,Sem contato
36,24,3,Indicação,2025-04-24,Fechado perdido,0,151672.49,2025-07-01,68,Sem verba no momento
37,24,3,Indicação,2026-02-16,Fechado perdido,0,80526.60,2026-03-19,31,Sem contato
38,24,3,Feira de beleza,2026-07-05,Negociação,75,6472.76,,,
39,24,3,Inbound site,2025-01-27,Fechado perdido,0,69611.74,2025-03-11,43,Sem verba no momento
40,24,3,Reativação,2026-04-17,Fechado ganho,100,29978.04,2026-05-23,36,
41,24,3,Prospecção ativa,2025-07-12,Proposta enviada,50,152965.56,,,
42,26,18,Reativação,2025-12-20,Fechado ganho,100,90284.54,2026-03-04,74,
43,28,31,Indicação,2024-11-19,Qualificação,25,71486.07,,,
44,28,31,Prospecção ativa,2025-11-17,Fechado perdido,0,64856.21,2026-01-11,55,Prazo de entrega
45,29,31,Inbound site,2024-11-21,Prospecção,10,36139.06,,,
46,29,14,Feira de beleza,2025-08-09,Proposta enviada,50,33092.17,,,
47,29,14,Indicação,2025-05-06,Fechado ganho,100,56995.90,2025-05-18,12,
48,29,14,Reativação,2026-03-26,Negociação,75,47111.82,,,
49,29,14,Inbound site,2025-05-22,Proposta enviada,50,28669.94,,,
50,29,14,Inbound site,2025-10-23,Prospecção,10,64560.25,,,
51,31,36,WhatsApp,2026-02-13,Fechado ganho,100,29954.83,2026-04-20,66,
52,31,36,Prospecção ativa,2025-10-15,Qualificação,25,8669.40,,,
53,31,36,Prospecção ativa,2025-01-02,Fechado perdido,0,6505.66,2025-01-25,23,Preço acima do concorrente
54,32,29,Inbound site,2025-01-20,Fechado ganho,100,85547.41,2025-03-05,44,
55,32,29,Inbound site,2025-01-23,Fechado perdido,0,68250.33,2025-02-28,36,Preço acima do concorrente
56,32,29,Reativação,2025-02-04,Proposta enviada,50,89503.26,,,
57,34,10,Indicação,2025-07-11,Fechado ganho,100,47554.78,2025-09-12,63,
58,34,10,Feira de beleza,2025-10-10,Fechado perdido,0,59687.90,2025-11-11,32,Pediu exclusividade de marca
59,35,8,Indicação,2026-06-07,Negociação,75,12101.18,,,
60,36,11,Feira de beleza,2026-03-15,Fechado perdido,0,87917.29,2026-03-27,12,Prazo de entrega
61,36,11,WhatsApp,2024-11-28,Negociação,75,44104.82,,,
62,37,1,Feira de beleza,2026-06-13,Fechado perdido,0,24914.06,2026-08-15,63,Preço acima do concorrente
63,37,1,Feira de beleza,2026-05-10,Fechado ganho,100,70546.50,2026-05-16,6,
64,37,1,Inbound site,2026-05-21,Negociação,75,53925.00,,,
65,37,1,Prospecção ativa,2026-05-10,Fechado ganho,100,89056.45,2026-06-19,40,
66,38,13,Reativação,2026-06-18,Fechado perdido,0,11358.98,2026-08-15,58,Preço acima do concorrente
67,39,28,Prospecção ativa,2026-08-30,Prospecção,10,27927.36,,,
68,39,28,WhatsApp,2026-03-19,Qualificação,25,9775.99,,,
69,40,41,Instagram,2026-08-19,Proposta enviada,50,49289.13,,,
70,41,31,Indicação,2025-05-16,Fechado ganho,100,70726.43,2025-07-30,75,
71,42,16,Reativação,2025-08-05,Qualificação,25,72680.47,,,
72,43,35,Reativação,2026-01-03,Proposta enviada,50,8790.73,,,
73,44,24,Indicação,2026-01-13,Negociação,75,46626.87,,,
74,44,24,Reativação,2024-11-27,Fechado ganho,100,26221.05,2024-12-31,34,
75,44,24,Reativação,2025-12-15,Fechado perdido,0,66681.17,2026-02-24,71,Mix de fragrâncias não atende
76,44,24,Feira de beleza,2024-09-11,Fechado ganho,100,29980.71,2024-10-22,41,
77,45,29,Prospecção ativa,2025-06-05,Fechado ganho,100,52625.07,2025-06-11,6,
78,45,29,Instagram,2026-03-14,Qualificação,25,22971.23,,,
79,45,29,Reativação,2024-11-23,Fechado ganho,100,64936.77,2025-01-14,52,
80,46,24,Prospecção ativa,2026-08-13,Proposta enviada,50,11181.82,,,
81,46,24,WhatsApp,2024-12-29,Negociação,75,57271.46,,,
82,46,24,Reativação,2025-01-06,Qualificação,25,37344.77,,,
83,46,24,Indicação,2024-09-06,Proposta enviada,50,93973.27,,,
84,47,24,Inbound site,2026-05-13,Prospecção,10,82264.45,,,
85,47,24,Indicação,2026-08-01,Proposta enviada,50,67762.98,,,
86,48,10,Inbound site,2025-11-12,Qualificação,25,91336.30,,,
87,49,22,Prospecção ativa,2025-08-21,Qualificação,25,23571.33,,,
88,49,22,Indicação,2024-11-24,Prospecção,10,27296.99,,,
89,49,22,Prospecção ativa,2025-09-18,Qualificação,25,49584.64,,,
90,49,22,Instagram,2026-03-07,Fechado ganho,100,69881.15,2026-04-18,42,
91,51,24,Indicação,2026-06-28,Fechado ganho,100,72112.58,2026-08-31,64,
92,51,24,WhatsApp,2026-08-07,Qualificação,25,14472.83,,,
93,51,24,Prospecção ativa,2026-08-13,Negociação,75,128451.43,,,
94,51,16,Feira de beleza,2026-08-29,Negociação,75,82924.93,,,
95,51,24,WhatsApp,2026-08-19,Negociação,75,48586.04,,,
96,51,16,Indicação,2026-08-25,Proposta enviada,50,62918.82,,,
97,52,33,Reativação,2024-09-28,Fechado ganho,100,7405.52,2024-10-05,7,
98,52,33,Indicação,2025-06-06,Fechado ganho,100,53876.89,2025-08-13,68,
99,52,33,Prospecção ativa,2026-04-25,Proposta enviada,50,35216.87,,,
100,53,36,Feira de beleza,2026-07-01,Proposta enviada,50,26653.76,,,
101,53,36,Instagram,2026-01-28,Fechado ganho,100,4747.49,2026-03-18,49,
102,54,2,Indicação,2026-02-04,Proposta enviada,50,61770.91,,,
103,54,2,Indicação,2025-09-17,Prospecção,10,20113.90,,,
104,54,2,Prospecção ativa,2025-05-07,Qualificação,25,17634.24,,,
105,54,2,Instagram,2025-01-12,Qualificação,25,76734.44,,,
106,55,20,Reativação,2025-06-01,Prospecção,10,15234.71,,,
107,55,20,Instagram,2025-10-24,Negociação,75,51666.86,,,
108,56,41,Prospecção ativa,2025-04-10,Fechado perdido,0,43704.87,2025-05-20,40,Sem contato
109,56,41,Inbound site,2025-10-11,Negociação,75,69653.96,,,
110,57,4,Prospecção ativa,2024-10-12,Fechado perdido,0,8909.52,2024-10-23,11,Fechou com concorrente
111,57,15,Prospecção ativa,2026-02-13,Prospecção,10,25442.22,,,
112,57,15,Inbound site,2026-03-30,Proposta enviada,50,35241.56,,,
113,57,4,Feira de beleza,2024-09-01,Proposta enviada,50,28582.04,,,
114,60,12,WhatsApp,2026-03-30,Fechado perdido,0,10697.27,2026-05-29,60,Sem verba no momento
115,60,24,Prospecção ativa,2025-11-12,Fechado perdido,0,41401.76,2026-01-02,51,Preço acima do concorrente
116,60,12,Inbound site,2026-06-06,Fechado perdido,0,3013.49,2026-06-10,4,Sem contato
117,63,2,Prospecção ativa,2025-04-25,Negociação,75,88239.70,,,
118,63,19,Reativação,2026-04-28,Fechado ganho,100,82636.94,2026-05-18,20,
119,63,2,WhatsApp,2024-11-02,Prospecção,10,30847.46,,,
120,65,24,Instagram,2025-05-02,Fechado perdido,0,59924.84,2025-06-30,59,Sem verba no momento
121,65,24,Feira de beleza,2026-04-13,Qualificação,25,5951.52,,,
122,65,24,Prospecção ativa,2025-12-25,Negociação,75,88723.57,,,
123,65,24,Instagram,2024-12-27,Qualificação,25,55459.73,,,
124,65,24,Reativação,2025-02-16,Qualificação,25,2628.74,,,
125,65,24,Reativação,2026-08-01,Fechado perdido,0,26546.19,2026-08-23,22,Prazo de entrega
126,66,16,Prospecção ativa,2024-11-18,Fechado ganho,100,63947.48,2025-01-18,61,
127,66,16,Indicação,2026-04-26,Fechado perdido,0,69332.90,2026-06-28,63,Mix de fragrâncias não atende
128,67,27,Inbound site,2026-06-23,Fechado ganho,100,75014.97,2026-08-02,40,
129,69,7,Reativação,2025-09-15,Qualificação,25,66119.17,,,
130,69,6,Instagram,2024-10-17,Negociação,75,115745.58,,,
131,69,7,Reativação,2026-01-06,Fechado ganho,100,27527.19,2026-03-01,54,
132,69,7,Reativação,2025-05-17,Proposta enviada,50,139987.81,,,
133,70,6,Prospecção ativa,2026-01-22,Proposta enviada,50,30624.08,,,
134,70,6,Feira de beleza,2024-11-15,Proposta enviada,50,9307.17,,,
135,72,11,Inbound site,2026-05-06,Qualificação,25,36202.45,,,
136,72,15,Feira de beleza,2025-05-17,Proposta enviada,50,38957.52,,,
137,73,16,Indicação,2025-01-27,Qualificação,25,60805.14,,,
138,73,16,Reativação,2026-04-05,Negociação,75,85972.62,,,
139,74,20,Feira de beleza,2025-08-23,Fechado ganho,100,77597.23,2025-09-27,35,
140,74,20,Indicação,2025-04-30,Fechado perdido,0,67080.60,2025-05-24,24,Prazo de entrega
141,76,17,Indicação,2025-08-07,Proposta enviada,50,37141.50,,,
142,76,17,Instagram,2025-07-25,Fechado perdido,0,35446.93,2025-08-01,7,Prazo de entrega
143,76,17,Reativação,2024-12-11,Qualificação,25,5966.22,,,
144,76,17,Feira de beleza,2026-07-24,Proposta enviada,50,34003.65,,,
145,77,28,Indicação,2026-03-09,Fechado ganho,100,90623.92,2026-05-22,74,
146,78,22,Feira de beleza,2025-10-12,Negociação,75,151906.85,,,
147,79,9,Feira de beleza,2025-12-02,Fechado ganho,100,27239.12,2025-12-23,21,
148,80,20,Inbound site,2025-07-24,Fechado ganho,100,14281.84,2025-09-07,45,
149,80,20,Inbound site,2026-08-16,Negociação,75,42921.60,,,
150,82,38,Indicação,2026-03-10,Prospecção,10,32029.76,,,
151,82,33,Inbound site,2024-09-04,Negociação,75,33573.30,,,
152,82,33,Indicação,2025-01-08,Proposta enviada,50,84966.71,,,
153,83,25,Prospecção ativa,2026-06-03,Fechado ganho,100,10788.51,2026-07-24,51,
154,84,11,Feira de beleza,2026-06-08,Prospecção,10,10289.35,,,
155,85,15,Indicação,2025-09-22,Fechado perdido,0,53755.53,2025-11-14,53,Pediu exclusividade de marca
156,85,15,Prospecção ativa,2025-11-25,Fechado ganho,100,57765.32,2026-01-22,58,
157,86,41,Prospecção ativa,2026-06-18,Proposta enviada,50,6439.63,,,
158,87,18,Indicação,2025-10-02,Prospecção,10,40755.99,,,
159,87,18,Feira de beleza,2025-03-30,Fechado ganho,100,27498.15,2025-04-30,31,
160,87,18,WhatsApp,2026-07-12,Prospecção,10,54809.04,,,
161,88,35,Reativação,2024-11-19,Proposta enviada,50,4478.65,,,
162,89,14,Instagram,2026-03-04,Qualificação,25,60412.10,,,
163,89,14,Prospecção ativa,2025-04-24,Qualificação,25,57552.11,,,
164,89,14,Reativação,2025-02-25,Proposta enviada,50,25724.43,,,
165,90,4,Prospecção ativa,2026-02-01,Qualificação,25,78850.54,,,
166,90,4,WhatsApp,2026-04-27,Fechado ganho,100,34798.20,2026-06-07,41,
167,91,38,Reativação,2025-09-19,Qualificação,25,84798.95,,,
168,91,38,Instagram,2025-10-11,Fechado ganho,100,45103.08,2025-11-17,37,
169,92,4,WhatsApp,2025-06-13,Prospecção,10,20629.40,,,
170,93,1,Feira de beleza,2025-02-13,Fechado ganho,100,8245.99,2025-03-28,43,
171,93,1,Instagram,2025-12-14,Proposta enviada,50,15780.45,,,
172,93,1,Prospecção ativa,2025-08-20,Fechado perdido,0,92487.80,2025-09-20,31,Sem verba no momento
173,94,23,Feira de beleza,2026-08-02,Qualificação,25,91829.62,,,
174,95,23,Feira de beleza,2025-08-09,Fechado ganho,100,9173.46,2025-10-19,71,
175,95,23,Inbound site,2026-03-23,Fechado perdido,0,7972.41,2026-05-24,62,Fechou com concorrente
176,95,23,WhatsApp,2025-01-20,Fechado perdido,0,71882.56,2025-03-04,43,Sem contato
177,96,34,Inbound site,2026-06-03,Fechado ganho,100,73656.88,2026-07-09,36,
178,97,5,Feira de beleza,2025-06-10,Qualificação,25,92692.55,,,
179,97,5,WhatsApp,2025-09-08,Qualificação,25,49665.24,,,
180,98,37,Instagram,2025-10-30,Fechado ganho,100,62168.80,2025-12-23,54,
181,99,35,Reativação,2026-08-11,Fechado ganho,100,62926.38,2026-08-22,11,
182,99,35,Instagram,2026-07-17,Proposta enviada,50,43682.80,,,
183,99,35,Inbound site,2026-04-10,Fechado ganho,100,62081.90,2026-05-31,51,
184,100,5,Feira de beleza,2026-04-01,Prospecção,10,4097.79,,,
185,103,4,WhatsApp,2025-02-26,Negociação,75,24207.20,,,
186,103,4,Feira de beleza,2024-09-04,Fechado ganho,100,41657.81,2024-11-12,69,
187,103,4,Feira de beleza,2025-12-27,Fechado ganho,100,45148.55,2026-02-15,50,
188,103,4,Reativação,2025-11-26,Prospecção,10,22162.21,,,
189,103,4,Instagram,2025-01-22,Fechado ganho,100,42275.11,2025-02-02,11,
190,103,4,Indicação,2024-12-20,Fechado perdido,0,22256.33,2025-01-13,24,Mix de fragrâncias não atende
191,104,11,Inbound site,2026-06-23,Fechado ganho,100,73765.68,2026-07-28,35,
192,105,42,Reativação,2025-11-18,Prospecção,10,57359.48,,,
193,105,42,Instagram,2026-06-06,Qualificação,25,3030.65,,,
194,106,18,Prospecção ativa,2025-05-28,Fechado ganho,100,77622.38,2025-07-31,64,
195,107,39,WhatsApp,2025-09-06,Fechado ganho,100,32127.99,2025-11-08,63,
196,107,39,WhatsApp,2025-11-03,Fechado ganho,100,10638.51,2025-11-14,11,
197,107,39,Feira de beleza,2025-01-15,Prospecção,10,27184.31,,,
198,107,39,Feira de beleza,2024-09-08,Negociação,75,12575.92,,,
199,108,6,Prospecção ativa,2025-03-26,Negociação,75,81154.13,,,
200,108,6,Reativação,2026-02-25,Negociação,75,42793.37,,,
201,108,6,Indicação,2026-02-15,Fechado ganho,100,25707.80,2026-02-20,5,
202,109,11,Reativação,2024-09-20,Prospecção,10,103821.21,,,
203,109,11,Instagram,2025-07-17,Prospecção,10,112923.52,,,
204,109,11,Reativação,2025-10-21,Proposta enviada,50,117439.13,,,
205,110,35,Instagram,2026-01-31,Qualificação,25,13054.73,,,
206,110,35,Reativação,2025-08-14,Fechado perdido,0,17071.00,2025-08-22,8,Fechou com concorrente
207,110,35,Instagram,2024-10-31,Proposta enviada,50,23691.78,,,
208,111,4,WhatsApp,2025-07-20,Fechado ganho,100,6879.15,2025-09-07,49,
209,111,4,WhatsApp,2025-05-07,Proposta enviada,50,94548.45,,,
210,112,27,Indicação,2026-01-13,Proposta enviada,50,79547.86,,,
211,112,27,Feira de beleza,2026-03-02,Fechado ganho,100,92945.09,2026-04-30,59,
212,112,27,Feira de beleza,2025-11-07,Fechado perdido,0,82928.40,2026-01-05,59,Prazo de entrega
213,112,27,Reativação,2025-10-31,Proposta enviada,50,66567.20,,,
214,112,27,Indicação,2026-06-30,Proposta enviada,50,30320.31,,,
215,112,27,Prospecção ativa,2026-01-12,Prospecção,10,89721.98,,,
216,113,34,Prospecção ativa,2026-08-13,Qualificação,25,29889.49,,,
217,113,34,WhatsApp,2026-01-07,Negociação,75,89978.08,,,
218,114,8,WhatsApp,2025-01-22,Fechado ganho,100,50937.82,2025-04-05,73,
219,115,21,WhatsApp,2025-12-11,Fechado perdido,0,75708.65,2026-01-17,37,Prazo de entrega
220,115,21,WhatsApp,2026-04-18,Fechado ganho,100,80687.59,2026-05-13,25,
221,115,21,Instagram,2026-01-16,Fechado perdido,0,59782.71,2026-01-19,3,Sem contato
222,115,21,Inbound site,2026-03-06,Fechado perdido,0,79621.93,2026-04-07,32,Sem verba no momento
223,115,21,Instagram,2025-12-15,Qualificação,25,37441.62,,,
224,115,21,Indicação,2026-05-05,Negociação,75,6967.34,,,
225,116,30,Reativação,2025-12-17,Qualificação,25,33014.91,,,
226,116,30,Instagram,2025-11-16,Fechado perdido,0,21853.24,2025-12-31,45,Já compra de outro importador
227,117,38,WhatsApp,2025-03-01,Fechado perdido,0,32427.69,2025-03-13,12,Mix de fragrâncias não atende
228,117,18,Inbound site,2026-06-30,Negociação,75,47536.38,,,
229,117,18,Inbound site,2026-07-24,Qualificação,25,84862.09,,,
230,118,26,Prospecção ativa,2026-06-22,Qualificação,25,62980.02,,,
231,118,26,Reativação,2026-07-17,Qualificação,25,71751.53,,,
232,119,42,Prospecção ativa,2025-07-04,Proposta enviada,50,7679.26,,,
233,122,38,Inbound site,2025-05-19,Fechado ganho,100,76826.83,2025-05-23,4,
234,122,38,Feira de beleza,2026-01-08,Qualificação,25,27613.80,,,
235,123,34,WhatsApp,2026-06-28,Negociação,75,7042.30,,,
236,124,37,Prospecção ativa,2026-08-27,Negociação,75,42283.00,,,
237,125,33,Instagram,2026-05-13,Negociação,75,9122.11,,,
238,125,33,Reativação,2026-05-24,Fechado ganho,100,20455.25,2026-06-13,20,
239,126,25,WhatsApp,2026-04-24,Fechado ganho,100,64739.13,2026-05-25,31,
240,126,25,Prospecção ativa,2026-07-11,Negociação,75,42438.85,,,
241,126,25,Reativação,2025-09-02,Fechado perdido,0,14272.84,2025-09-06,4,Preço acima do concorrente
242,126,25,Inbound site,2026-02-04,Prospecção,10,43698.45,,,
243,128,21,Feira de beleza,2025-08-28,Proposta enviada,50,20431.09,,,
244,128,21,Indicação,2026-04-18,Negociação,75,59281.77,,,
245,129,26,Instagram,2026-04-17,Proposta enviada,50,14635.38,,,
246,131,40,Feira de beleza,2026-05-15,Prospecção,10,7526.03,,,
247,133,12,Reativação,2025-01-02,Negociação,75,51209.44,,,
248,136,11,Feira de beleza,2024-12-25,Fechado ganho,100,84636.47,2025-02-06,43,
249,136,11,Reativação,2026-03-13,Proposta enviada,50,22103.70,,,
250,136,11,Reativação,2026-05-19,Fechado ganho,100,77751.23,2026-07-30,72,
251,137,39,Indicação,2025-10-17,Qualificação,25,4375.43,,,
252,137,39,Prospecção ativa,2024-11-16,Fechado ganho,100,87297.44,2025-01-21,66,
253,137,12,Indicação,2026-08-10,Negociação,75,3860.71,,,
254,138,12,Reativação,2026-03-24,Fechado perdido,0,27509.54,2026-05-09,46,Pediu exclusividade de marca
255,138,12,Instagram,2026-02-18,Proposta enviada,50,72884.72,,,
256,139,8,Feira de beleza,2024-10-15,Qualificação,25,54988.25,,,
257,140,40,Prospecção ativa,2025-06-25,Fechado perdido,0,28065.03,2025-08-18,54,Fechou com concorrente
258,140,40,Reativação,2026-01-23,Negociação,75,119362.98,,,
259,140,40,Prospecção ativa,2025-09-05,Proposta enviada,50,168623.08,,,
260,140,40,Prospecção ativa,2025-08-25,Negociação,75,82762.17,,,
261,140,40,Inbound site,2025-09-03,Fechado ganho,100,16017.89,2025-09-25,22,
262,140,40,Feira de beleza,2026-05-03,Qualificação,25,103179.83,,,
263,141,36,Feira de beleza,2025-04-14,Fechado perdido,0,54979.05,2025-06-10,57,Já compra de outro importador
264,142,2,Prospecção ativa,2025-05-20,Proposta enviada,50,71027.40,,,
265,143,26,WhatsApp,2025-03-30,Prospecção,10,14951.69,,,
266,144,27,Feira de beleza,2025-02-22,Fechado ganho,100,150630.71,2025-04-09,46,
267,146,4,Feira de beleza,2025-07-02,Qualificação,25,26261.86,,,
268,147,1,Indicação,2026-04-03,Qualificação,25,76961.03,,,
269,148,14,Prospecção ativa,2024-11-14,Proposta enviada,50,71546.48,,,
270,149,7,Inbound site,2025-04-17,Fechado perdido,0,66065.13,2025-05-09,22,Pediu exclusividade de marca
271,151,8,Feira de beleza,2026-06-15,Proposta enviada,50,29488.99,,,
272,151,8,Prospecção ativa,2026-01-08,Fechado ganho,100,23108.08,2026-02-22,45,
273,151,8,Instagram,2025-09-26,Fechado ganho,100,33817.70,2025-11-16,51,
274,151,8,Reativação,2026-03-09,Fechado ganho,100,7033.49,2026-03-16,7,
275,151,8,Feira de beleza,2026-07-01,Fechado perdido,0,6666.66,2026-07-31,30,Preço acima do concorrente
276,151,8,Prospecção ativa,2026-03-17,Prospecção,10,28940.70,,,
277,152,31,Indicação,2025-11-19,Prospecção,10,58934.52,,,
278,152,31,Reativação,2026-04-30,Qualificação,25,37826.95,,,
279,153,14,WhatsApp,2024-10-12,Fechado ganho,100,88927.90,2024-10-20,8,
280,153,14,WhatsApp,2025-10-10,Prospecção,10,42867.57,,,
281,153,14,Inbound site,2026-08-12,Prospecção,10,22374.77,,,
282,154,20,Indicação,2025-02-22,Qualificação,25,53453.07,,,
283,154,20,Inbound site,2026-02-08,Fechado perdido,0,33098.71,2026-04-09,60,Já compra de outro importador
284,154,20,Reativação,2025-10-18,Qualificação,25,49191.18,,,
285,155,18,Feira de beleza,2025-12-07,Proposta enviada,50,84578.42,,,
286,157,26,Prospecção ativa,2025-10-08,Fechado ganho,100,39011.71,2025-12-17,70,
287,160,1,Reativação,2026-04-25,Prospecção,10,7040.69,,,
288,161,5,Inbound site,2026-04-27,Prospecção,10,58049.30,,,
289,161,5,Indicação,2025-09-26,Negociação,75,86435.48,,,
290,161,5,Reativação,2026-01-29,Proposta enviada,50,85410.89,,,
291,161,5,WhatsApp,2025-07-15,Negociação,75,20031.57,,,
292,161,5,Indicação,2025-06-12,Negociação,75,70173.46,,,
293,161,5,Feira de beleza,2025-10-17,Fechado perdido,0,7859.02,2025-11-19,33,Prazo de entrega
294,162,9,Reativação,2026-07-16,Fechado ganho,100,54781.94,2026-08-28,43,
295,162,9,WhatsApp,2026-02-16,Fechado ganho,100,115544.16,2026-05-02,75,
296,162,9,Indicação,2026-04-15,Fechado ganho,100,107467.50,2026-05-05,20,
297,162,9,Inbound site,2026-08-10,Negociação,75,130463.73,,,
298,163,21,Inbound site,2025-12-01,Qualificação,25,12979.18,,,
299,164,17,Feira de beleza,2026-08-31,Qualificação,25,17374.59,,,
300,164,17,Inbound site,2025-05-07,Prospecção,10,64178.30,,,
301,165,8,Indicação,2026-04-19,Fechado ganho,100,87617.95,2026-07-03,75,
302,165,8,Instagram,2026-06-29,Prospecção,10,43237.43,,,
303,165,8,Inbound site,2026-03-14,Qualificação,25,38536.75,,,
304,165,8,Prospecção ativa,2026-04-04,Prospecção,10,71953.20,,,
305,166,1,Feira de beleza,2026-01-29,Fechado perdido,0,14929.07,2026-02-03,5,Fechou com concorrente
306,167,42,Indicação,2026-07-10,Negociação,75,84608.37,,,
307,168,3,Indicação,2026-01-24,Proposta enviada,50,10208.55,,,
308,168,3,Prospecção ativa,2026-07-29,Prospecção,10,26396.73,,,
309,170,5,WhatsApp,2026-03-16,Fechado perdido,0,19347.95,2026-04-25,40,Mix de fragrâncias não atende
310,170,5,WhatsApp,2025-02-08,Fechado ganho,100,53746.77,2025-03-02,22,
311,170,5,Instagram,2026-04-26,Fechado ganho,100,38821.93,2026-06-17,52,
312,171,9,Reativação,2025-01-21,Prospecção,10,23214.45,,,
313,171,9,WhatsApp,2026-07-15,Fechado ganho,100,92377.47,2026-08-13,29,
314,172,40,Inbound site,2026-04-29,Fechado ganho,100,21026.90,2026-05-05,6,
315,172,40,Indicação,2024-12-26,Negociação,75,49880.45,,,
316,173,12,Prospecção ativa,2026-06-12,Fechado perdido,0,33512.92,2026-08-25,74,Sem contato
317,173,12,Instagram,2026-05-14,Fechado perdido,0,80463.02,2026-05-23,9,Sem contato
318,174,18,WhatsApp,2025-11-11,Fechado perdido,0,44623.84,2025-11-29,18,Pediu exclusividade de marca
319,175,19,Instagram,2026-07-05,Fechado perdido,0,33033.35,2026-08-11,37,Sem contato
320,175,41,Prospecção ativa,2025-02-23,Fechado perdido,0,47541.58,2025-03-08,13,Mix de fragrâncias não atende
321,175,41,Prospecção ativa,2024-10-12,Proposta enviada,50,51131.89,,,
322,175,41,Inbound site,2026-02-25,Fechado ganho,100,66898.18,2026-03-31,34,
323,177,6,Feira de beleza,2025-07-05,Fechado ganho,100,76204.93,2025-09-01,58,
324,178,16,Feira de beleza,2025-12-31,Fechado ganho,100,36478.33,2026-01-24,24,
325,178,16,Reativação,2025-10-09,Fechado ganho,100,7092.59,2025-10-28,19,
326,179,10,Instagram,2026-08-20,Negociação,75,85410.76,,,
327,179,10,WhatsApp,2025-06-06,Fechado perdido,0,40207.73,2025-07-15,39,Mix de fragrâncias não atende
328,179,10,Prospecção ativa,2026-06-23,Negociação,75,73240.77,,,
329,179,10,Indicação,2025-05-29,Proposta enviada,50,23108.50,,,
330,180,9,Feira de beleza,2026-06-12,Proposta enviada,50,32037.42,,,
331,180,9,Prospecção ativa,2026-06-24,Negociação,75,18243.02,,,
332,181,18,Prospecção ativa,2025-10-15,Fechado ganho,100,42772.60,2025-11-09,25,
333,183,28,Reativação,2026-06-04,Qualificação,25,20951.27,,,
334,183,14,Indicação,2026-05-04,Fechado perdido,0,72204.36,2026-06-23,50,Prazo de entrega
335,183,28,Instagram,2026-07-10,Prospecção,10,38363.28,,,
336,184,2,Indicação,2026-01-16,Fechado ganho,100,98463.42,2026-01-28,12,
337,184,2,Inbound site,2026-02-21,Negociação,75,9448.61,,,
338,184,2,Feira de beleza,2026-01-31,Fechado ganho,100,41551.39,2026-03-08,36,
339,185,38,Feira de beleza,2025-07-05,Proposta enviada,50,58127.40,,,
340,186,8,Reativação,2024-12-08,Qualificação,25,60573.21,,,
