visita_id,cliente_id,vendedor_id,data_visita,resultado,duracao_min
45,3,42,2026-04-15,Pedido realizado,57
46,4,29,2024-10-22,Reagendada,46
47,4,29,2024-11-28,Sem pedido,87
48,4,29,2025-01-09,Pedido realizado,77
49,4,29,2025-03-13,Pedido realizado,29
50,4,29,2025-05-20,Sem pedido,50
51,4,29,2025-08-05,Cliente ausente,73
52,4,29,2025-09-16,Pedido realizado,46
53,4,29,2025-10-03,Sem pedido,76
54,4,29,2025-11-14,Sem pedido,41
55,4,29,2025-12-08,Pedido realizado,59
56,4,29,2026-01-09,Apenas relacionamento,24
57,4,29,2026-02-23,Pedido realizado,30
58,4,29,2026-04-07,Sem pedido,82
59,4,29,2026-05-15,Sem pedido,49
60,4,29,2026-06-22,Apenas relacionamento,45
61,4,29,2026-07-22,Sem pedido,64
62,4,29,2026-08-31,Apenas relacionamento,60
63,5,37,2024-09-23,Reagendada,17
64,5,37,2024-10-28,Sem pedido,64
65,5,37,2024-12-06,Sem pedido,38
66,5,37,2025-03-05,Cliente ausente,73
67,5,37,2025-03-28,Sem pedido,27
68,5,37,2025-05-16,Reagendada,70
69,5,37,2025-06-26,Cliente ausente,83
70,5,37,2025-07-29,Sem pedido,75
71,5,37,2025-08-25,Pedido realizado,77
72,5,37,2026-01-22,Pedido realizado,44
73,5,37,2026-04-28,Cliente ausente,35
74,5,37,2026-06-16,Pedido realizado,17
75,5,37,2026-07-03,Cliente ausente,82
76,5,37,2026-07-27,Cliente ausente,70
77,6,5,2025-03-07,Sem pedido,62
78,6,5,2025-04-16,Sem pedido,60
79,6,5,2025-06-04,Pedido realizado,65
80,6,5,2025-10-02,Cliente ausente,65
81,6,5,2025-12-09,Apenas relacionamento,56
82,6,5,2026-01-02,Pedido realizado,89
83,6,5,2026-02-05,Sem pedido,85
84,6,5,2026-03-25,Sem pedido,51
85,6,5,2026-04-17,Sem pedido,57
86,6,5,2026-06-22,Pedido realizado,73
87,6,5,2026-07-28,Pedido realizado,83
88,6,5,2026-08-21,Pedido realizado,12
89,7,16,2025-10-15,Cliente ausente,43
90,7,16,2025-11-12,Pedido realizado,35
91,7,16,2026-04-02,Sem pedido,54
92,7,16,2026-04-27,Cliente ausente,80
93,7,16,2026-07-15,Pedido realizado,17
94,7,16,2026-08-04,Pedido realizado,69
95,8,9,2024-10-25,Pedido realizado,11
96,8,9,2024-12-03,Sem pedido,23
97,8,9,2025-02-04,Cliente ausente,84
98,8,9,2025-03-06,Apenas relacionamento,51
99,8,9,2025-04-22,Reagendada,24
100,8,9,2025-05-13,Pedido realizado,27
101,8,9,2025-07-01,Cliente ausente,71
102,8,9,2025-08-14,Sem pedido,25
103,8,9,2025-11-14,Cliente ausente,84
104,8,9,2025-12-03,Reagendada,30
105,8,9,2025-12-29,Pedido realizado,86
106,8,9,2026-02-09,Pedido realizado,87
107,8,9,2026-06-24,Sem pedido,46
108,8,9,2026-08-10,Reagendada,52
109,9,4,2025-01-08,Reagendada,12
110,9,4,2025-02-13,Pedido realizado,60
111,9,4,2025-05-07,Reagendada,48
112,9,4,2025-06-23,Pedido realizado,84
113,9,4,2025-07-16,Pedido realizado,81
114,9,4,2025-08-13,Reagendada,69
115,9,4,2025-12-08,Pedido realizado,75
116,9,4,2026-02-19,Reagendada,34
117,9,4,2026-04-21,Sem pedido,61
118,9,4,2026-06-29,Pedido realizado,45
119,9,4,2026-07-24,Pedido realizado,60
120,9,4,2026-08-19,Pedido realizado,43
121,10,7,2024-12-16,Sem pedido,54
122,10,7,2025-01-07,Pedido realizado,90
123,10,7,2025-02-06,Apenas relacionamento,86
124,10,7,2025-03-31,Pedido realizado,35
125,10,7,2025-05-21,Sem pedido,54
126,10,7,2025-07-03,Pedido realizado,66
127,10,7,2025-08-12,Sem pedido,44
128,10,7,2025-10-02,Pedido realizado,64
129,10,7,2025-11-18,Reagendada,41
130,10,7,2025-12-16,Pedido realizado,47
131,10,7,2026-02-02,Pedido realizado,18
132,10,7,2026-03-06,Cliente ausente,22
133,10,7,2026-04-22,Reagendada,88
134,10,7,2026-06-09,Pedido realizado,32
135,10,7,2026-07-06,Sem pedido,32
136,10,7,2026-08-10,Pedido realizado,45
137,11,24,2024-12-13,Apenas relacionamento,55
138,11,24,2025-04-03,Apenas relacionamento,33
139,11,24,2025-05-09,Pedido realizado,10
140,11,24,2025-06-23,Pedido realizado,58
141,11,24,2025-07-31,Cliente ausente,15
142,11,24,2025-08-21,Pedido realizado,25
143,11,24,2025-10-03,Sem pedido,68
144,11,24,2025-11-25,Reagendada,51
145,11,24,2026-03-02,Pedido realizado,85
146,11,24,2026-04-13,Pedido realizado,83
147,11,24,2026-06-01,Pedido realizado,86
148,11,24,2026-07-06,Pedido realizado,53
149,11,24,2026-08-17,Pedido realizado,13
150,12,11,2024-10-21,Reagendada,38
151,12,11,2024-12-06,Sem pedido,71
152,12,11,2025-01-29,Apenas relacionamento,74
153,12,11,2025-03-11,Pedido realizado,81
154,12,12,2025-04-30,Cliente ausente,50
155,12,12,2025-05-22,Reagendada,59
156,12,12,2025-06-11,Cliente ausente,54
157,12,12,2025-07-16,Pedido realizado,34
158,12,12,2025-11-27,Pedido realizado,19
159,12,12,2026-02-13,Sem pedido,64
160,12,12,2026-03-18,Sem pedido,33
161,12,12,2026-04-09,Pedido realizado,59
162,12,12,2026-08-18,Sem pedido,80
163,13,16,2024-10-07,Pedido realizado,46
164,13,16,2024-11-13,Reagendada,69
165,13,16,2025-01-09,Pedido realizado,80
166,13,16,2025-02-21,Pedido realizado,39
167,13,16,2025-04-30,Reagendada,79
168,13,16,2025-06-13,Pedido realizado,23
169,13,16,2025-08-01,Apenas relacionamento,34
170,13,16,2025-09-01,Pedido realizado,74
171,13,16,2025-10-23,Pedido realizado,23
172,13,16,2025-12-23,Pedido realizado,78
173,13,16,2026-01-22,Cliente ausente,33
174,13,16,2026-04-10,Sem pedido,53
175,13,16,2026-05-15,Pedido realizado,28
176,13,16,2026-07-07,Pedido realizado,20
177,13,16,2026-08-11,Pedido realizado,22
178,14,26,2024-10-14,Cliente ausente,26
179,14,26,2024-12-06,Pedido realizado,16
180,14,26,2025-01-02,Pedido realizado,25
181,14,26,2025-02-05,Apenas relacionamento,61
182,14,26,2025-03-25,Reagendada,56
183,14,26,2025-04-24,Pedido realizado,90
184,14,26,2025-07-25,Sem pedido,12
185,14,26,2025-10-10,Pedido realizado,51
186,14,26,2025-12-11,Cliente ausente,64
187,14,26,2025-12-31,Pedido realizado,55
188,14,26,2026-01-29,Apenas relacionamento,40
189,14,26,2026-02-27,Reagendada,32
190,14,26,2026-04-13,Cliente ausente,45
191,14,26,2026-05-26,Cliente ausente,73
192,14,26,2026-07-31,Pedido realizado,37
193,15,6,2024-10-23,Reagendada,69
194,15,6,2025-02-18,Reagendada,46
195,15,6,2025-04-11,Reagendada,51
196,15,6,2025-05-01,Pedido realizado,28
197,15,6,2025-05-29,Pedido realizado,60
198,15,6,2025-06-27,Pedido realizado,90
199,15,6,2025-08-11,Pedido realizado,73
200,15,6,2025-10-07,Pedido realizado,86
201,15,6,2025-12-10,Pedido realizado,83
202,15,6,2026-01-21,Pedido realizado,74
203,15,6,2026-02-12,Pedido realizado,68
204,15,6,2026-03-23,Reagendada,24
205,15,6,2026-04-17,Reagendada,27
206,15,6,2026-05-27,Pedido realizado,46
207,15,6,2026-07-02,Cliente ausente,62
208,15,6,2026-08-04,Pedido realizado,42
209,15,6,2026-08-26,Apenas relacionamento,43
210,16,23,2024-10-07,Pedido realizado,67
211,16,23,2024-11-20,Pedido realizado,15
212,16,23,2025-01-14,Pedido realizado,72
213,16,23,2025-02-07,Sem pedido,24
214,16,23,2025-03-21,Pedido realizado,17
215,16,23,2025-04-22,Apenas relacionamento,49
216,16,23,2025-05-12,Sem pedido,36
217,16,23,2025-08-29,Pedido realizado,23
218,16,23,2025-11-19,Reagendada,90
219,16,23,2026-02-26,Pedido realizado,83
220,16,23,2026-04-07,Reagendada,83
221,16,23,2026-04-30,Cliente ausente,32
222,16,23,2026-06-08,Sem pedido,28
223,16,23,2026-07-02,Pedido realizado,22
224,17,26,2026-01-20,Sem pedido,72
225,17,26,2026-02-20,Pedido realizado,83
226,17,26,2026-04-16,Pedido realizado,62
227,17,26,2026-05-27,Sem pedido,26
228,17,26,2026-07-07,Reagendada,38
229,17,26,2026-08-25,Pedido realizado,14
230,18,34,2024-10-03,Reagendada,63
231,18,34,2024-11-20,Reagendada,38
232,18,34,2025-01-01,Pedido realizado,29
233,18,34,2025-05-28,Reagendada,40
234,18,34,2025-06-18,Pedido realizado,83
235,18,34,2025-07-24,Pedido realizado,66
236,18,34,2025-10-17,Pedido realizado,33
237,18,34,2025-11-05,Cliente ausente,76
238,18,34,2025-12-03,Sem pedido,86
239,18,34,2026-01-15,Pedido realizado,54
240,18,34,2026-06-05,Pedido realizado,57
241,18,34,2026-07-14,Cliente ausente,51
242,19,14,2024-10-03,Pedido realizado,60
243,19,14,2024-11-29,Sem pedido,78
244,19,14,2025-04-24,Cliente ausente,21
245,19,14,2025-05-20,Reagendada,28
246,19,14,2025-06-16,Pedido realizado,54
247,19,14,2025-07-10,Apenas relacionamento,41
248,19,14,2025-08-29,Apenas relacionamento,41
249,19,14,2025-10-16,Sem pedido,27
250,19,14,2025-11-20,Pedido realizado,73
251,19,14,2026-01-09,Pedido realizado,41
252,19,14,2026-03-04,Pedido realizado,69
253,19,14,2026-05-05,Apenas relacionamento,76
254,19,14,2026-07-06,Sem pedido,13
255,20,41,2024-10-11,Sem pedido,64
256,20,41,2024-11-19,Pedido realizado,81
257,20,41,2024-12-25,Pedido realizado,25
258,20,41,2025-02-05,Pedido realizado,56
259,20,41,2025-04-15,Sem pedido,39
260,20,41,2025-06-03,Pedido realizado,23
261,20,41,2025-07-18,Pedido realizado,88
262,20,10,2025-08-29,Pedido realizado,51
263,20,10,2025-10-03,Pedido realizado,66
264,20,10,2025-10-22,Cliente ausente,12
265,20,10,2026-01-29,Pedido realizado,24
266,20,10,2026-03-27,Pedido realizado,41
267,20,10,2026-05-12,Reagendada,26
268,20,10,2026-06-26,Pedido realizado,34
269,20,10,2026-07-30,Pedido realizado,21
270,21,14,2024-10-17,Reagendada,85
271,21,14,2024-12-16,Pedido realizado,74
272,21,14,2025-02-07,Sem pedido,14
273,21,14,2025-02-25,Cliente ausente,88
274,21,14,2025-04-18,Pedido realizado,80
275,21,14,2025-05-05,Pedido realizado,67
276,21,14,2025-08-29,Pedido realizado,52
277,21,14,2025-11-19,Apenas relacionamento,79
278,21,14,2025-12-25,Sem pedido,77
279,21,14,2026-04-22,Pedido realizado,75
280,21,14,2026-05-13,Apenas relacionamento,54
281,21,14,2026-06-16,Pedido realizado,59
282,22,13,2026-02-11,Reagendada,76
283,22,13,2026-04-03,Pedido realizado,63
284,22,13,2026-06-22,Reagendada,47
285,22,13,2026-07-14,Sem pedido,45
286,22,13,2026-08-19,Pedido realizado,31
287,23,42,2024-11-26,Sem pedido,64
288,23,42,2025-03-10,Sem pedido,45
289,23,42,2025-04-02,Reagendada,13
290,23,42,2025-05-27,Sem pedido,79
291,23,42,2025-08-26,Pedido realizado,14
292,23,42,2025-10-15,Sem pedido,58
293,23,42,2025-12-08,Apenas relacionamento,23
294,23,42,2026-01-12,Sem pedido,65
295,23,42,2026-02-17,Pedido realizado,40
296,23,42,2026-03-11,Cliente ausente,68
297,23,42,2026-05-26,Pedido realizado,11
298,23,42,2026-06-29,Sem pedido,43
299,24,3,2024-10-04,Sem pedido,63
300,24,3,2024-10-23,Pedido realizado,17
301,24,3,2024-12-09,Reagendada,78
302,24,3,2024-12-25,Pedido realizado,51
303,24,3,2025-02-26,Pedido realizado,90
304,24,3,2025-05-16,Pedido realizado,73
305,24,3,2025-06-05,Pedido realizado,44
306,24,3,2025-07-18,Cliente ausente,75
307,24,3,2025-08-08,Reagendada,26
308,24,3,2025-10-08,Sem pedido,34
309,24,3,2025-11-17,Pedido realizado,15
310,24,3,2026-01-02,Pedido realizado,83
311,24,3,2026-01-29,Cliente ausente,76
312,24,3,2026-02-19,Cliente ausente,60
313,24,3,2026-03-26,Sem pedido,13
314,24,3,2026-04-21,Apenas relacionamento,52
315,24,3,2026-07-31,Reagendada,69
316,25,6,2025-12-12,Pedido realizado,44
317,25,6,2026-01-13,Apenas relacionamento,80
318,25,6,2026-03-03,Pedido realizado,30
319,25,6,2026-04-23,Pedido realizado,40
320,25,6,2026-06-24,Sem pedido,79
321,25,6,2026-08-03,Pedido realizado,84
322,26,18,2025-08-07,Apenas relacionamento,57
323,26,18,2025-09-02,Sem pedido,39
324,26,18,2026-02-02,Pedido realizado,83
325,26,18,2026-03-27,Cliente ausente,39
326,26,18,2026-05-06,Pedido realizado,54
327,26,18,2026-06-02,Reagendada,71
328,26,18,2026-08-11,Sem pedido,57
329,27,26,2024-11-08,Apenas relacionamento,66
330,27,26,2024-12-09,Cliente ausente,39
331,27,26,2025-01-01,Reagendada,90
332,27,26,2025-02-24,Pedido realizado,57
333,27,26,2025-04-15,Pedido realizado,81
334,27,26,2025-07-17,Apenas relacionamento,21
335,27,26,2025-08-19,Pedido realizado,36
336,27,26,2025-11-11,Pedido realizado,50
337,27,26,2025-12-01,Cliente ausente,23
338,27,26,2026-01-29,Pedido realizado,58
339,27,26,2026-06-05,Pedido realizado,10
340,27,26,2026-07-07,Sem pedido,11
341,27,26,2026-08-31,Sem pedido,77
342,28,31,2024-10-18,Sem pedido,11
343,28,31,2024-12-10,Pedido realizado,42
344,28,31,2025-01-20,Apenas relacionamento,27
345,28,31,2025-03-27,Sem pedido,49
346,28,31,2025-05-01,Pedido realizado,59
347,28,31,2025-06-04,Pedido realizado,30
348,28,31,2025-06-27,Apenas relacionamento,12
349,28,31,2025-08-21,Pedido realizado,25
350,28,31,2025-09-22,Pedido realizado,82
351,28,31,2025-11-07,Cliente ausente,24
352,28,31,2025-12-24,Pedido realizado,56
353,28,31,2026-02-17,Apenas relacionamento,35
354,28,31,2026-04-01,Sem pedido,10
355,28,23,2026-05-04,Sem pedido,79
356,28,23,2026-06-01,Cliente ausente,75
357,28,23,2026-08-20,Pedido realizado,79
358,29,31,2024-11-05,Pedido realizado,70
359,29,31,2024-12-27,Pedido realizado,89
360,29,31,2025-02-14,Apenas relacionamento,57
361,29,14,2025-03-26,Pedido realizado,24
362,29,14,2025-06-19,Pedido realizado,76
363,29,14,2025-07-10,Reagendada,65
364,29,14,2025-08-11,Reagendada,22
365,29,14,2025-10-01,Sem pedido,54
366,29,14,2025-11-04,Apenas relacionamento,15
367,29,14,2026-02-04,Pedido realizado,72
368,29,14,2026-06-18,Reagendada,49
369,29,14,2026-07-27,Cliente ausente,66
370,30,38,2024-11-14,Cliente ausente,47
371,30,38,2025-02-13,Cliente ausente,85
372,30,38,2025-04-09,Pedido realizado,59
373,30,38,2025-05-23,Reagendada,64
374,30,38,2025-06-19,Cliente ausente,52
375,30,38,2025-09-08,Sem pedido,56
376,30,38,2025-12-18,Pedido realizado,24
377,30,38,2026-01-29,Pedido realizado,55
378,30,38,2026-03-13,Pedido realizado,42
379,31,36,2024-09-30,Sem pedido,41
380,31,36,2024-12-13,Sem pedido,88
381,31,36,2025-01-21,Sem pedido,19
382,31,36,2025-02-12,Cliente ausente,22
383,31,36,2025-03-19,Pedido realizado,39
384,31,36,2025-05-08,Cliente ausente,50
385,31,36,2025-07-08,Pedido realizado,28
386,31,36,2025-08-14,Cliente ausente,66
387,31,36,2025-09-22,Pedido realizado,17
388,31,36,2025-11-19,Pedido realizado,50
389,31,36,2026-02-19,Pedido realizado,71
390,31,36,2026-03-24,Reagendada,64
391,31,36,2026-04-10,Pedido realizado,70
392,31,36,2026-05-27,Cliente ausente,72
393,31,36,2026-07-08,Sem pedido,79
394,31,36,2026-08-25,Sem pedido,35
395,32,29,2024-09-18,Pedido realizado,14
396,32,29,2024-10-09,Cliente ausente,81
397,32,29,2024-11-20,Pedido realizado,27
398,32,29,2024-12-11,Sem pedido,21
399,32,29,2025-01-22,Pedido realizado,73
400,32,29,2025-04-09,Cliente ausente,45
401,32,29,2025-06-26,Pedido realizado,66
402,32,29,2025-08-12,Pedido realizado,68
403,32,29,2025-09-01,Pedido realizado,59
404,32,29,2025-10-10,Pedido realizado,29
405,32,29,2025-11-11,Pedido realizado,71
406,32,31,2026-01-05,Pedido realizado,14
407,32,31,2026-04-07,Cliente ausente,14
408,32,31,2026-05-21,Sem pedido,14
409,32,31,2026-07-16,Pedido realizado,76
410,32,31,2026-08-19,Apenas relacionamento,42
411,33,15,2025-02-24,Sem pedido,47
412,33,40,2025-05-09,Pedido realizado,72
413,33,40,2025-06-24,Sem pedido,30
414,33,40,2025-07-15,Reagendada,71
415,33,40,2025-08-07,Cliente ausente,12
416,33,40,2025-11-11,Sem pedido,33
417,33,40,2025-12-02,Sem pedido,34
418,33,40,2026-01-13,Apenas relacionamento,51
419,33,40,2026-02-02,Pedido realizado,32
420,33,40,2026-03-17,Cliente ausente,53
421,33,40,2026-04-22,Sem pedido,32
422,33,40,2026-05-27,Sem pedido,50
423,33,40,2026-06-17,Sem pedido,49
424,33,40,2026-08-07,Pedido realizado,90
425,34,10,2024-10-14,Pedido realizado,22
426,34,10,2024-12-19,Apenas relacionamento,81
427,34,10,2025-01-07,Pedido realizado,75
428,34,10,2025-03-03,Sem pedido,22
429,34,10,2025-07-11,Sem pedido,29
430,34,10,2025-08-18,Pedido realizado,42
431,34,10,2025-10-03,Pedido realizado,60
432,34,10,2025-11-14,Pedido realizado,75
433,34,10,2025-12-02,Sem pedido,23
434,34,3,2026-02-23,Pedido realizado,88
435,34,3,2026-07-24,Pedido realizado,62
436,35,8,2024-10-14,Reagendada,17
437,35,8,2024-11-29,Pedido realizado,48
438,35,8,2025-01-01,Sem pedido,58
439,35,8,2025-02-03,Apenas relacionamento,53
440,35,8,2025-03-26,Pedido realizado,57
441,35,8,2025-04-23,Reagendada,15
442,35,8,2025-06-10,Reagendada,67
443,35,8,2025-08-26,Reagendada,90
444,35,8,2025-10-14,Pedido realizado,21
445,35,8,2026-01-05,Cliente ausente,32
446,35,8,2026-02-16,Pedido realizado,26
447,35,8,2026-06-08,Apenas relacionamento,58
448,35,8,2026-07-03,Sem pedido,65
449,35,8,2026-08-20,Pedido realizado,40
450,36,11,2024-10-07,Pedido realizado,76
451,36,11,2024-11-28,Reagendada,75
452,36,11,2025-01-03,Pedido realizado,55
453,36,11,2025-01-31,Sem pedido,38
454,36,11,2025-02-20,Pedido realizado,74
455,36,11,2025-03-13,Sem pedido,10
456,36,11,2025-04-25,Pedido realizado,21
457,36,11,2025-06-19,Pedido realizado,81
458,36,11,2025-08-05,Sem pedido,39
459,36,11,2025-08-29,Sem pedido,32
460,36,11,2025-10-06,Pedido realizado,56
461,36,11,2025-11-06,Cliente ausente,68
462,36,11,2025-12-12,Sem pedido,41
463,36,11,2026-01-23,Reagendada,13
464,36,11,2026-06-02,Cliente ausente,51
465,36,11,2026-08-28,Pedido realizado,58
466,37,1,2026-04-01,Sem pedido,24
467,37,1,2026-04-20,Reagendada,66
468,37,1,2026-08-03,Reagendada,38
469,38,13,2025-10-10,Pedido realizado,14
470,38,13,2025-11-27,Sem pedido,48
471,38,13,2026-01-13,Sem pedido,31
472,38,13,2026-02-20,Pedido realizado,25
473,38,13,2026-04-27,Pedido realizado,53
474,38,13,2026-06-01,Pedido realizado,11
475,39,28,2026-05-13,Pedido realizado,61
476,39,28,2026-06-11,Pedido realizado,89
477,39,28,2026-08-18,Pedido realizado,15
478,40,41,2024-10-14,Pedido realizado,82
479,40,41,2025-02-04,Pedido realizado,55
480,40,41,2025-03-06,Pedido realizado,61
481,40,41,2025-05-30,Pedido realizado,88
482,40,41,2025-07-21,Pedido realizado,38
483,40,41,2025-08-06,Sem pedido,37
484,40,41,2025-09-25,Sem pedido,32
485,40,41,2025-11-11,Pedido realizado,49
486,40,41,2026-01-29,Reagendada,85
487,40,41,2026-03-03,Cliente ausente,15
488,40,41,2026-06-01,Sem pedido,65
489,40,41,2026-07-17,Pedido realizado,19
490,40,41,2026-08-19,Sem pedido,26
491,41,31,2025-06-09,Pedido realizado,75
492,41,31,2025-07-21,Pedido realizado,46
493,41,31,2025-08-29,Pedido realizado,90
494,41,31,2025-09-15,Reagendada,49
495,41,31,2025-12-10,Apenas relacionamento,46
496,41,31,2025-12-30,Pedido realizado,45
497,41,31,2026-02-13,Apenas relacionamento,33
498,41,31,2026-05-07,Sem pedido,50
499,41,31,2026-06-03,Pedido realizado,40
500,41,31,2026-07-22,Pedido realizado,37
501,42,16,2024-10-10,Sem pedido,59
502,42,16,2024-11-25,Pedido realizado,25
503,42,16,2025-01-13,Pedido realizado,87
504,42,16,2025-01-31,Sem pedido,47
505,42,16,2025-02-18,Pedido realizado,23
506,42,16,2025-05-28,Pedido realizado,86
507,42,16,2025-07-10,Pedido realizado,51
508,42,16,2025-10-09,Pedido realizado,87
509,42,16,2025-11-07,Sem pedido,14
510,42,16,2025-12-22,Pedido realizado,65
511,42,16,2026-02-24,Apenas relacionamento,38
512,42,16,2026-04-01,Pedido realizado,51
513,42,16,2026-05-12,Pedido realizado,25
514,42,16,2026-08-06,Sem pedido,65
515,43,35,2024-10-24,Pedido realizado,22
516,43,35,2024-11-28,Pedido realizado,45
517,43,35,2025-01-20,Pedido realizado,35
518,43,35,2025-03-06,Pedido realizado,69
519,43,35,2025-04-08,Pedido realizado,84
520,43,35,2025-05-29,Pedido realizado,54
521,43,35,2025-10-22,Pedido realizado,68
522,43,35,2025-12-08,Pedido realizado,21
523,43,35,2026-01-02,Sem pedido,82
524,43,35,2026-04-07,Pedido realizado,64
525,43,35,2026-08-12,Pedido realizado,71
526,44,24,2024-12-18,Sem pedido,11
527,44,24,2025-01-10,Pedido realizado,45
528,44,24,2025-04-03,Sem pedido,30
529,44,24,2025-05-01,Pedido realizado,10
530,44,24,2025-06-30,Cliente ausente,60
531,44,24,2025-09-15,Pedido realizado,72
532,44,24,2025-12-26,Reagendada,37
533,44,24,2026-05-06,Sem pedido,89
534,44,24,2026-07-08,Cliente ausente,60
535,45,29,2024-09-30,Sem pedido,78
536,45,29,2024-11-12,Pedido realizado,65
537,45,29,2025-01-20,Pedido realizado,67
538,45,29,2025-03-14,Sem pedido,68
539,45,29,2025-04-23,Pedido realizado,77
540,45,29,2025-06-17,Pedido realizado,33
541,45,29,2025-07-14,Pedido realizado,82
542,45,29,2025-08-18,Pedido realizado,21
543,45,29,2025-12-22,Apenas relacionamento,33
544,45,29,2026-01-29,Pedido realizado,24
545,45,29,2026-03-27,Sem pedido,29
546,45,29,2026-04-30,Pedido realizado,44
547,45,29,2026-06-12,Sem pedido,13
548,45,29,2026-07-06,Pedido realizado,79
549,46,24,2024-10-10,Pedido realizado,72
550,46,24,2024-11-29,Sem pedido,18
551,46,24,2025-01-21,Pedido realizado,79
552,46,24,2025-04-07,Cliente ausente,89
553,46,24,2025-07-04,Sem pedido,86
554,46,24,2025-07-29,Pedido realizado,40
555,46,24,2025-08-15,Sem pedido,63
556,46,24,2026-01-01,Reagendada,39
557,46,24,2026-02-05,Pedido realizado,76
558,46,24,2026-03-25,Pedido realizado,72
559,46,24,2026-04-23,Cliente ausente,65
560,46,24,2026-05-26,Sem pedido,67
561,46,24,2026-08-17,Pedido realizado,52
562,47,24,2026-03-19,Pedido realizado,71
563,47,24,2026-04-16,Pedido realizado,90
564,47,24,2026-05-15,Reagendada,53
565,47,24,2026-08-11,Pedido realizado,28
566,48,10,2024-10-23,Apenas relacionamento,46
567,48,10,2024-12-11,Pedido realizado,77
568,48,10,2025-01-20,Apenas relacionamento,17
569,48,10,2025-02-11,Pedido realizado,33
570,48,10,2025-03-28,Pedido realizado,72
571,48,10,2025-05-02,Sem pedido,21
572,48,10,2025-05-22,Pedido realizado,40
573,48,10,2025-08-05,Pedido realizado,57
574,48,10,2025-09-24,Reagendada,19
575,48,10,2025-10-29,Pedido realizado,60
576,48,10,2025-12-03,Sem pedido,37
577,48,17,2026-03-11,Reagendada,52
578,48,17,2026-05-21,Pedido realizado,59
579,48,17,2026-06-12,Apenas relacionamento,11
580,48,17,2026-08-04,Pedido realizado,82
581,48,17,2026-08-21,Cliente ausente,57
582,49,22,2024-11-13,Pedido realizado,71
583,49,22,2025-02-06,Pedido realizado,53
584,49,22,2025-02-25,Pedido realizado,16
585,49,22,2025-03-19,Cliente ausente,37
586,49,22,2025-05-30,Apenas relacionamento,60
587,49,22,2025-09-18,Sem pedido,90
588,49,22,2025-11-25,Sem pedido,12
589,49,22,2026-02-06,Pedido realizado,11
590,49,22,2026-03-11,Sem pedido,26
591,49,22,2026-04-29,Sem pedido,30
592,49,22,2026-05-26,Sem pedido,23
593,49,22,2026-06-30,Pedido realizado,20
594,49,22,2026-07-30,Pedido realizado,10
595,49,22,2026-08-31,Cliente ausente,89
596,50,9,2024-09-27,Pedido realizado,22
597,50,9,2024-12-16,Sem pedido,87
598,50,9,2025-01-21,Sem pedido,11
599,50,9,2025-05-28,Reagendada,58
600,50,9,2025-06-24,Pedido realizado,78
601,50,8,2025-09-09,Cliente ausente,64
602,50,8,2025-11-03,Pedido realizado,72
603,50,8,2026-02-04,Apenas relacionamento,58
604,50,8,2026-03-27,Sem pedido,84
605,50,8,2026-05-05,Pedido realizado,48
606,50,8,2026-05-22,Reagendada,14
607,50,8,2026-07-10,Pedido realizado,53
608,50,8,2026-08-26,Pedido realizado,22
609,51,24,2026-07-20,Pedido realizado,12
610,51,24,2026-08-12,Pedido realizado,25
611,52,33,2024-10-23,Reagendada,87
612,52,33,2024-12-09,Cliente ausente,47
613,52,33,2025-01-31,Pedido realizado,22
614,52,33,2025-03-11,Cliente ausente,52
