carteira_id,cliente_id,vendedor_id,data_inicio,data_fim
102,82,38,2025-09-17,
103,83,25,2024-09-01,
104,84,11,2024-09-01,
105,85,15,2024-09-01,
106,86,41,2024-09-01,
107,87,18,2024-09-01,
108,88,35,2024-09-01,
109,89,14,2024-11-08,
110,90,4,2025-01-25,
111,91,38,2025-04-19,
112,92,4,2024-09-01,
113,93,38,2024-09-01,2025-01-19
114,93,1,2025-01-20,
115,94,23,2024-09-01,
116,95,23,2024-11-16,
117,96,30,2026-02-25,2026-05-02
118,96,34,2026-05-03,
119,97,5,2024-09-01,
120,98,24,2024-09-01,2025-10-14
121,98,37,2025-10-15,
122,99,35,2025-10-04,
123,100,5,2024-09-01,
124,101,42,2024-09-01,
125,102,41,2024-09-01,
126,103,4,2024-09-01,
127,104,11,2024-09-01,
128,105,42,2024-09-01,
129,106,18,2024-09-01,2025-08-07
130,106,41,2025-08-08,
131,107,39,2024-09-01,
132,108,6,2024-09-01,
133,109,11,2024-09-01,
134,110,35,2024-09-01,
135,111,4,2024-09-01,
136,112,27,2025-09-29,
137,113,34,2024-12-26,
138,114,8,2024-09-01,
139,115,21,2025-10-27,
140,116,30,2024-09-01,
141,117,38,2024-09-01,2025-05-07
142,117,18,2025-05-08,
143,118,26,2026-06-03,
144,119,42,2024-09-01,
145,120,18,2024-12-12,
146,121,11,2025-10-07,
147,122,38,2024-11-09,
148,123,34,2024-09-01,
149,124,37,2024-09-01,
150,125,33,2026-04-04,2026-06-13
151,125,27,2026-06-14,
152,126,25,2025-07-25,
153,127,40,2024-09-01,2024-12-24
154,127,3,2024-12-25,
155,128,21,2024-09-01,
156,129,26,2025-01-12,
157,130,11,2024-09-01,
158,131,40,2024-09-01,
159,132,10,2024-11-06,
160,133,12,2024-09-01,
161,134,6,2024-09-01,
162,135,13,2024-09-01,2025-11-06
163,135,6,2025-11-07,
164,136,11,2024-10-28,
165,137,39,2024-09-01,2026-05-02
166,137,12,2026-05-03,
167,138,29,2024-09-01,2026-02-11
168,138,12,2026-02-12,
169,139,8,2024-09-01,
170,140,40,2025-05-26,
171,141,36,2024-09-01,
172,142,2,2025-03-31,2025-08-03
173,142,38,2025-08-04,
174,143,26,2024-09-01,
175,144,27,2024-10-06,
176,145,4,2024-09-01,2025-05-02
177,145,18,2025-05-03,
178,146,4,2024-09-01,
179,147,1,2024-09-01,
180,148,14,2024-09-01,
181,149,7,2024-09-01,
182,150,27,2024-09-01,2026-07-23
183,150,32,2026-07-24,
184,151,8,2025-09-19,2026-07-30
185,151,31,2026-07-31,
186,152,31,2024-09-01,
187,153,14,2024-09-01,
188,154,20,2024-09-01,2026-02-18
189,154,2,2026-02-19,
190,155,18,2025-06-08,
191,156,10,2024-09-01,2026-05-09
192,156,28,2026-05-10,
193,157,26,2024-09-01,
194,158,32,2024-12-28,
195,159,27,2024-12-18,2025-11-16
196,159,16,2025-11-17,
197,160,1,2024-09-01,
198,161,5,2024-09-01,
199,162,9,2024-09-01,
200,163,20,2024-09-01,2025-07-06
201,163,21,2025-07-07,
202,164,17,2024-09-01,
203,165,8,2026-01-24,
204,166,1,2024-09-01,
205,167,42,2026-05-19,
206,168,3,2024-09-01,
207,169,11,2024-09-01,
208,170,5,2024-09-01,
209,171,9,2024-09-01,
210,172,40,2024-09-01,
211,173,12,2026-04-22,
212,174,18,2024-09-01,2026-04-16
213,174,19,2026-04-17,
214,175,41,2024-09-01,2026-03-23
215,175,19,2026-03-24,
216,176,37,2024-11-07,2025-09-10
217,176,17,2025-09-11,
218,177,6,2024-09-01,
219,178,16,2024-09-01,
220,179,10,2024-09-01,
221,180,9,2026-04-18,
222,181,18,2025-07-18,
223,182,2,2026-06-04,2026-08-05
224,182,13,2026-08-06,
225,183,14,2026-01-27,2026-05-27
226,183,28,2026-05-28,
227,184,2,2025-09-14,
228,185,38,2024-09-01,
229,186,8,2024-09-01,
230,187,27,2024-09-01,
231,188,33,2024-09-01,
232,189,25,2026-05-23,
233,190,14,2024-09-01,
234,191,33,2024-09-01,
235,192,22,2024-09-01,
236,193,9,2024-09-01,
237,194,33,2024-09-01,
238,195,16,2024-09-01,
239,196,34,2024-09-01,
240,197,21,2024-12-05,
241,198,16,2024-12-19,
242,199,1,2024-09-01,
243,200,26,2025-05-28,
244,201,19,2024-09-01,
245,202,13,2024-09-01,
246,203,2,2024-09-01,
247,204,15,2024-09-01,
248,205,7,2025-10-12,
249,206,35,2024-09-01,
250,207,40,2025-01-18,
251,208,30,2026-06-24,
252,209,16,2024-09-01,2026-07-01
253,209,17,2026-07-02,
254,210,41,2024-09-01,2025-09-17
255,210,42,2025-09-18,
256,211,42,2024-09-01,
257,212,13,2025-06-10,
258,213,42,2024-09-01,
259,214,41,2024-09-01,
260,215,13,2024-09-01,
261,216,21,2026-06-20,
262,217,26,2024-09-01,
263,218,34,2024-09-01,
264,219,20,2026-03-18,
265,220,34,2024-09-01,
266,221,11,2024-09-01,
267,222,18,2024-09-01,
268,223,6,2024-09-01,
269,224,12,2024-09-01,
270,225,35,2024-10-26,2026-01-31
271,225,25,2026-02-01,
272,226,17,2024-09-01,
273,227,36,2024-09-01,
274,228,42,2024-09-01,
275,229,31,2024-09-01,
276,230,25,2024-09-01,
277,231,11,2024-09-01,
278,232,33,2025-03-27,
279,233,21,2025-12-12,2026-06-11
280,233,4,2026-06-12,
281,234,7,2024-09-01,2025-05-26
282,234,27,2025-05-27,
283,235,4,2024-09-01,
284,236,15,2024-09-01,
285,237,32,2024-09-01,2025-09-23
286,237,22,2025-09-24,
287,238,20,2025-11-01,
288,239,22,2025-06-09,2025-12-24
289,239,41,2025-12-25,
290,240,6,2024-09-01,
291,241,12,2024-09-01,
292,242,35,2024-09-01,
293,243,20,2025-01-31,
294,244,39,2024-09-01,
295,245,15,2024-09-01,
296,246,36,2024-09-01,2025-10-28
297,246,33,2025-10-29,
298,247,5,2024-09-01,
299,248,3,2024-09-01,2024-11-08
300,248,7,2024-11-09,
301,249,8,2024-09-01,
302,250,23,2024-09-01,2025-09-04
303,250,20,2025-09-05,
304,251,11,2024-09-01,
305,252,7,2025-07-22,
306,253,21,2024-09-01,
307,254,3,2024-09-17,
308,255,34,2024-09-01,2025-12-10
309,255,15,2025-12-11,
310,256,22,2024-09-01,
311,257,38,2026-05-05,
312,258,10,2024-09-01,
313,259,19,2025-11-25,
314,260,23,2024-09-01,
315,261,24,2024-09-01,
316,262,11,2026-05-02,
317,263,27,2024-11-15,
318,264,21,2024-09-01,
319,265,17,2024-09-01,
320,266,32,2025-09-29,2025-12-09
321,266,24,2025-12-10,
322,267,3,2024-09-01,2025-01-25
323,267,25,2025-01-26,
324,268,2,2024-09-01,2025-03-22
325,268,28,2025-03-23,
326,269,34,2024-09-01,
327,270,38,2026-01-12,
328,271,30,2024-09-01,
329,272,28,2024-10-15,
330,273,38,2024-09-01,2025-03-14
331,273,38,2025-03-15,
332,274,30,2024-09-01,
333,275,29,2024-09-01,
334,276,23,2025-12-26,
335,277,29,2024-09-01,
336,278,20,2024-09-01,
337,279,7,2024-09-01,
338,280,39,2024-09-01,2025-11-26
339,280,25,2025-11-27,
340,281,29,2024-09-01,
341,282,6,2024-09-01,
342,283,23,2025-07-22,2025-12-19
343,283,9,2025-12-20,
344,284,39,2024-09-01,
345,285,36,2024-09-01,
346,286,37,2024-09-01,
347,287,35,2025-07-08,
348,288,38,2024-09-01,2026-02-20
349,288,22,2026-02-21,
350,289,39,2024-09-01,
351,290,41,2024-09-01,
352,291,9,2026-02-13,
353,292,7,2024-09-01,2025-09-29
354,292,34,2025-09-30,
355,293,25,2026-01-09,2026-03-14
356,293,31,2026-03-15,
357,294,5,2025-06-12,
358,295,34,2024-09-01,
359,296,17,2024-09-01,
360,297,30,2024-09-01,
361,298,36,2024-09-01,
362,299,41,2024-09-01,
363,300,29,2024-09-01,
364,301,23,2024-09-01,
365,302,14,2025-08-20,
366,303,7,2024-09-01,2025-06-10
367,303,27,2025-06-11,
368,304,20,2026-06-13,
369,305,12,2024-09-01,
370,306,35,2024-09-01,
371,307,25,2025-02-01,
372,308,30,2024-09-01,
373,309,1,2024-09-01,
374,310,18,2024-09-01,
375,311,1,2024-09-01,
376,312,24,2025-11-05,
377,313,15,2024-09-01,
378,314,1,2025-02-20,2026-07-29
379,314,27,2026-07-30,
380,315,1,2024-09-01,
381,316,32,2025-01-15,
382,317,18,2024-09-01,
383,318,33,2025-01-09,
384,319,5,2025-05-25,
385,320,9,2024-09-01,
386,321,12,2024-09-01,
387,322,16,2024-09-01,
388,323,26,2024-09-01,
389,324,34,2024-09-01,
390,325,17,2024-09-01,2025-12-27
391,325,23,2025-12-28,
392,326,14,2024-09-01,
393,327,40,2024-09-01,
394,328,42,2025-02-18,
395,329,40,2024-09-01,
396,330,31,2024-09-01,2026-01-22
397,330,17,2026-01-23,
398,331,7,2024-09-01,
399,332,28,2024-09-01,
400,333,18,2024-12-17,
401,334,40,2024-09-01,
402,335,22,2024-09-01,
403,336,42,2024-09-01,
404,337,2,2026-03-20,
405,338,17,2024-09-01,
406,339,14,2025-11-10,
407,340,35,2024-09-01,
408,341,22,2024-09-01,
409,342,7,2024-10-16,2026-02-13
410,342,31,2026-02-14,
411,343,3,2024-09-01,
412,344,29,2024-09-01,
413,345,2,2026-02-23,
414,346,17,2024-09-01,
415,347,24,2024-09-01,
416,348,3,2024-09-01,
417,349,30,2024-09-01,
418,350,18,2025-01-15,2025-06-02
419,350,31,2025-06-03,
420,351,18,2024-09-01,
421,352,10,2026-06-16,
422,353,10,2024-09-01,
423,354,16,2024-09-01,2024-12-29
424,354,39,2024-12-30,
425,355,19,2024-09-01,
426,356,34,2024-09-01,2026-05-14
427,356,4,2026-05-15,
428,357,35,2024-09-01,
429,358,23,2024-09-01,
430,359,30,2024-09-01,
431,360,7,2024-09-01,
432,361,12,2024-09-01,
433,362,2,2024-09-01,2025-04-13
434,362,28,2025-04-14,
435,363,41,2024-09-01,
436,364,29,2024-09-01,
437,365,33,2024-09-01,
438,366,34,2024-09-01,
439,367,17,2025-09-04,2025-11-17
440,367,25,2025-11-18,
441,368,10,2024-09-01,
442,369,19,2024-09-01,
443,370,30,2024-09-01,
444,371,2,2024-09-01,
445,372,36,2024-09-01,2025-05-17
446,372,28,2025-05-18,
447,373,23,2024-09-01,
448,374,10,2024-09-01,2025-09-16
449,374,13,2025-09-17,
450,375,35,2024-09-01,
451,376,34,2024-09-01,2024-11-07
452,376,12,2024-11-08,
453,377,23,2024-09-01,2026-02-19
454,377,8,2026-02-20,
455,378,26,2024-09-01,
456,379,5,2024-09-01,
457,380,20,2024-09-01,
458,381,10,2024-09-01,2024-11-14
459,381,19,2024-11-15,
460,382,20,2024-09-01,2025-11-09
461,382,3,2025-11-10,
462,383,29,2025-01-23,2026-04-13
463,383,5,2026-04-14,
464,384,14,2024-09-01,
465,385,13,2024-09-01,
466,386,23,2024-09-01,2026-01-19
467,386,16,2026-01-20,
468,387,24,2024-09-01,
469,388,30,2024-09-01,
470,389,35,2025-03-10,
471,390,36,2024-11-05,
472,391,21,2024-09-01,
473,392,30,2024-09-01,
474,393,1,2024-09-01,
475,394,37,2024-09-01,
476,395,42,2024-11-29,
477,396,33,2024-09-01,
478,397,32,2024-09-01,2024-11-16
479,397,12,2024-11-17,
480,398,7,2024-09-01,
481,399,31,2025-03-20,
482,400,8,2025-05-05,
483,401,17,2024-09-01,2026-01-04
484,401,20,2026-01-05,
485,402,6,2024-09-01,
486,403,12,2024-09-01,
487,404,8,2025-01-24,
488,405,36,2026-06-07,
489,406,33,2024-09-01,
490,407,8,2024-09-01,
491,408,38,2024-09-01,
492,409,1,2024-09-01,
493,410,1,2024-09-01,
494,411,4,2024-09-01,2025-07-08
495,411,38,2025-07-09,
496,412,3,2024-09-07,2025-02-17
497,412,39,2025-02-18,
498,413,38,2025-05-15,2026-07-16
499,413,15,2026-07-17,
500,414,37,2025-11-06,
501,415,36,2025-05-01,
502,416,16,2024-12-15,
503,417,14,2024-09-01,
504,418,28,2024-09-01,
505,419,29,2024-09-01,
506,420,5,2024-09-01,
507,421,30,2024-09-01,2026-07-01
508,421,32,2026-07-02,
509,422,4,2024-09-01,2025-09-16
510,422,4,2025-09-17,
511,423,24,2024-09-01,
512,424,41,2024-09-01,
513,425,11,2025-02-14,
514,426,11,2024-09-01,
515,427,26,2024-09-01,
516,428,38,2024-09-01,
517,429,14,2024-09-01,
518,430,31,2024-09-01,
519,431,10,2024-09-01,
520,432,32,2024-09-01,
521,433,33,2024-09-01,
522,434,20,2026-06-20,
523,435,9,2024-09-01,2025-09-23
524,435,14,2025-09-24,
525,436,33,2024-09-01,2025-05-19
526,436,16,2025-05-20,
527,437,11,2024-12-05,2025-03-11
528,437,5,2025-03-12,
529,438,38,2024-09-01,2025-11-27
530,438,41,2025-11-28,
531,439,33,2025-10-02,
532,440,9,2024-09-01,
533,441,12,2024-09-01,
534,442,27,2024-09-01,2026-07-03
535,442,19,2026-07-04,
536,443,13,2024-09-01,
537,444,19,2024-09-01,
538,445,21,2024-09-01,
539,446,38,2024-09-01,
540,447,35,2024-09-01,2025-10-30
541,447,22,2025-10-31,
542,448,14,2026-05-03,
543,449,35,2024-09-01,
544,450,42,2024-09-01,
545,451,17,2024-09-01,
546,452,20,2024-09-27,
547,453,25,2024-09-01,
548,454,20,2024-09-01,
549,455,13,2026-02-17,
550,456,13,2024-09-01,
551,457,32,2024-09-01,2026-01-13
552,457,36,2026-01-14,
553,458,42,2025-07-28,
554,459,7,2024-09-01,
555,460,31,2025-08-01,
556,461,4,2024-09-01,
557,462,28,2025-03-15,
558,463,26,2024-09-01,
559,464,3,2024-09-01,
560,465,2,2024-09-01,2025-05-20
561,465,24,2025-05-21,
562,466,26,2024-09-01,
563,467,6,2024-09-01,
564,468,3,2025-06-02,
565,469,8,2024-09-14,
566,470,10,2024-09-01,2024-11-22
567,470,21,2024-11-23,
568,471,20,2024-09-01,
569,472,6,2024-09-01,2025-02-09
570,472,33,2025-02-10,
571,473,15,2024-09-01,
572,474,38,2024-09-01,
573,475,38,2024-09-01,
574,476,10,2024-09-01,
575,477,4,2024-09-01,
576,478,35,2024-09-01,
577,479,29,2025-01-02,
578,480,24,2025-05-05,
579,481,33,2024-09-01,
580,482,21,2025-02-03,
581,483,41,2024-09-01,
582,484,40,2024-11-14,2025-06-13
583,484,8,2025-06-14,
584,485,30,2024-09-01,
585,486,38,2024-09-01,
586,487,4,2024-09-01,
587,488,15,2024-10-31,
588,489,16,2026-02-02,
589,490,34,2025-11-23,
590,491,27,2024-09-01,
591,492,6,2024-09-01,
592,493,8,2025-01-24,
593,494,42,2025-03-30,2026-02-24
594,494,27,2026-02-25,
595,495,2,2024-09-01,
596,496,16,2024-09-01,
597,497,3,2024-09-01,
598,498,40,2024-09-01,2026-03-24
599,498,35,2026-03-25,
600,499,26,2024-09-01,2025-02-05
601,499,17,2025-02-06,
602,500,2,2025-04-05,
603,501,28,2024-09-01,
604,502,15,2024-09-01,
605,503,30,2024-09-01,2026-04-01
606,503,9,2026-04-02,
607,504,26,2024-09-01,
608,505,31,2024-09-01,
609,506,27,2024-09-01,
610,507,25,2024-09-01,2025-10-20
611,507,3,2025-10-21,
612,508,42,2026-04-08,
613,509,30,2024-09-01,
614,510,6,2024-09-01,
615,511,37,2024-09-01,
616,512,35,2024-09-01,
617,513,21,2024-09-01,
618,514,1,2026-03-07,2026-07-08
619,514,17,2026-07-09,
620,515,37,2024-09-01,
621,516,29,2024-09-01,2026-06-23
622,516,9,2026-06-24,
623,517,24,2024-09-01,
624,518,8,2024-09-01,2025-01-17
625,518,17,2025-01-18,
626,519,19,2024-09-01,
627,520,2,2024-09-01,
628,521,19,2024-12-30,2026-06-09
629,521,21,2026-06-10,
630,522,41,2024-09-01,
631,523,13,2024-09-01,
632,524,8,2026-04-01,
633,525,4,2024-09-01,2025-11-27
634,525,25,2025-11-28,
635,526,1,2026-05-13,
636,527,12,2024-09-01,
637,528,6,2024-09-01,
638,529,27,2024-09-01,2025-08-09
639,529,3,2025-08-10,
640,530,40,2024-09-01,
641,531,24,2024-09-01,
642,532,6,2024-09-01,2026-06-26
643,532,13,2026-06-27,
644,533,20,2024-09-01,
645,534,4,2024-09-01,2025-05-13
646,534,20,2025-05-14,
647,535,41,2024-09-01,
648,536,37,2024-09-01,2026-03-01
649,536,20,2026-03-02,
650,537,9,2024-09-01,2026-01-16
651,537,24,2026-01-17,
652,538,38,2024-09-01,
653,539,6,2024-09-01,
654,540,31,2024-09-01,
655,541,37,2024-09-01,
656,542,13,2024-09-01,
657,543,29,2024-09-01,
658,544,34,2026-05-17,
659,545,22,2024-09-01,
660,546,29,2025-07-30,
661,547,35,2025-02-22,2026-07-20
662,547,16,2026-07-21,
663,548,40,2024-09-01,
664,549,35,2024-09-01,2026-04-17
665,549,5,2026-04-18,
666,550,32,2025-08-09,
667,551,41,2026-06-03,
668,552,12,2024-09-01,
669,553,7,2024-09-01,2025-02-01
670,553,21,2025-02-02,
671,554,33,2024-09-01,
672,555,21,2025-06-23,2026-01-17
673,555,14,2026-01-18,
674,556,18,2024-09-01,
675,557,6,2024-09-01,
676,558,8,2024-09-01,
677,559,7,2024-09-01,
678,560,12,2024-09-01,
679,561,11,2024-09-01,
680,562,17,2024-09-01,
681,563,30,2024-09-01,2025-09-22
682,563,19,2025-09-23,
683,564,16,2024-09-01,2025-02-02
684,564,10,2025-02-03,
685,565,21,2024-09-01,
686,566,23,2024-09-01,
687,567,19,2024-09-01,2025-08-08
688,567,19,2025-08-09,
689,568,14,2026-06-20,
690,569,12,2026-03-26,2026-07-22
691,569,33,2026-07-23,
692,570,42,2024-09-01,
693,571,2,2024-09-01,
694,572,2,2025-11-25,
695,573,38,2026-01-14,
696,574,39,2024-09-01,
697,575,4,2024-09-01,
698,576,6,2024-09-01,
699,577,30,2024-09-01,2025-06-06
700,577,26,2025-06-07,
701,578,38,2024-09-01,
702,579,7,2024-09-01,
703,580,3,2024-09-01,
704,581,33,2024-09-01,
705,582,21,2025-08-29,
706,583,14,2024-09-01,
707,584,14,2024-09-01,
708,585,31,2024-09-01,
709,586,38,2024-09-01,
710,587,23,2026-01-11,
711,588,1,2025-05-03,
712,589,20,2024-09-01,
713,590,29,2024-09-01,
714,591,21,2026-04-19,
715,592,32,2025-06-28,
716,593,3,2024-09-01,2026-03-10
717,593,7,2026-03-11,
718,594,21,2024-09-01,2024-11-07
719,594,1,2024-11-08,
720,595,26,2024-09-01,2024-12-05
721,595,38,2024-12-06,
722,596,27,2024-09-01,
723,597,7,2024-09-01,2026-06-23
724,597,37,2026-06-24,
725,598,11,2024-09-01,
726,599,10,2024-09-01,
727,600,15,2024-09-01,
728,601,25,2024-09-01,2025-02-20
729,601,24,2025-02-21,
730,602,29,2024-09-01,
731,603,29,2024-09-01,
732,604,19,2024-09-01,
733,605,13,2024-09-01,
734,606,33,2026-07-02,
735,607,29,2025-08-02,
736,608,2,2024-10-09,
737,609,20,2024-09-01,
738,610,23,2024-11-06,2025-01-13
739,610,16,2025-01-14,
740,611,14,2024-09-01,
741,612,21,2024-09-01,
742,613,2,2024-09-01,2025-06-20
743,613,11,2025-06-21,
744,614,37,2024-12-21,2025-04-10
745,614,7,2025-04-11,
746,615,8,2024-09-01,
747,616,18,2025-02-02,
748,617,18,2026-03-20,2026-07-02
749,617,33,2026-07-03,
750,618,10,2024-09-01,2025-04-18
751,618,6,2025-04-19,
752,619,24,2024-09-01,2024-12-13
753,619,36,2024-12-14,
754,620,35,2024-09-01,
755,621,1,2025-06-16,
756,622,35,2024-09-01,
757,623,4,2024-09-01,
758,624,24,2024-09-01,
759,625,15,2024-09-01,
760,626,7,2024-09-01,
761,627,4,2025-09-30,2026-06-01
762,627,7,2026-06-02,
763,628,20,2024-09-01,
764,629,9,2024-09-01,
765,630,36,2025-09-14,
766,631,26,2024-09-01,
767,632,10,2024-09-04,
768,633,31,2024-09-01,
769,634,17,2024-09-01,
770,635,2,2024-09-01,
771,636,17,2024-09-01,
772,637,22,2024-09-01,2025-08-29
773,637,39,2025-08-30,
774,638,40,2026-01-17,
775,639,39,2024-09-01,
776,640,38,2024-09-01,
777,641,15,2024-09-01,
778,642,25,2024-09-01,2026-02-01
779,642,26,2026-02-02,
780,643,37,2024-09-01,
781,644,27,2025-06-01,
782,645,36,2025-09-16,
783,646,5,2024-09-01,
784,647,40,2024-09-01,
785,648,27,2024-09-01,
786,649,22,2024-09-01,
787,650,41,2024-09-01,
788,651,28,2024-09-01,
789,652,41,2024-09-01,
790,653,2,2025-10-02,
791,654,21,2026-02-20,
792,655,23,2024-09-01,
793,656,33,2024-09-01,
794,657,5,2025-01-09,
795,658,41,2024-09-01,
796,659,16,2024-09-01,
797,660,41,2026-01-15,
798,661,14,2024-09-01,
799,662,21,2024-09-01,2026-05-02
800,662,42,2026-05-03,
801,663,23,2025-05-19,2025-09-13
802,663,9,2025-09-14,
803,664,30,2024-09-01,
804,665,33,2024-09-01,
805,666,7,2024-09-01,
806,667,27,2024-09-01,
807,668,40,2024-09-01,
808,669,12,2024-09-01,
809,670,2,2024-09-01,
810,671,27,2024-12-04,2025-08-18
811,671,10,2025-08-19,
812,672,42,2025-03-11,2025-12-31
813,672,18,2026-01-01,
814,673,26,2025-02-27,
815,674,26,2024-09-01,2026-04-26
816,674,10,2026-04-27,
817,675,24,2024-09-17,
818,676,3,2024-09-01,2026-04-21
819,676,29,2026-04-22,
820,677,41,2024-09-01,
821,678,40,2026-02-12,
822,679,27,2024-09-01,
823,680,6,2024-09-01,
824,681,37,2024-09-23,
825,682,8,2024-09-01,2024-12-09
826,682,35,2024-12-10,
827,683,32,2024-09-01,
828,684,3,2024-09-01,2026-04-28
829,684,38,2026-04-29,
830,685,38,2024-09-01,
831,686,27,2025-08-13,
832,687,2,2025-12-04,2026-07-21
833,687,16,2026-07-22,
834,688,5,2024-10-03,
835,689,35,2025-01-22,
836,690,36,2024-09-01,
837,691,36,2024-09-01,2026-04-19
838,691,18,2026-04-20,
839,692,10,2024-09-03,2026-04-09
840,692,41,2026-04-10,
841,693,25,2025-03-25,
842,694,4,2024-09-01,
843,695,19,2024-09-01,
844,696,25,2024-09-01,2025-10-27
845,696,27,2025-10-28,
846,697,15,2024-09-01,
847,698,33,2024-09-01,
848,699,6,2024-09-01,
849,700,41,2025-06-11,
850,701,38,2026-04-26,2026-07-22
851,701,10,2026-07-23,
852,702,29,2026-02-04,
853,703,42,2024-09-01,
854,704,24,2024-09-01,
855,705,32,2024-09-01,
856,706,38,2024-09-01,
857,707,18,2024-09-01,
858,708,17,2024-09-01,
859,709,1,2025-07-11,
860,710,11,2024-09-01,
861,711,12,2024-09-01,
862,712,6,2024-09-07,
863,713,34,2024-09-01,2025-03-29
864,713,27,2025-03-30,
865,714,1,2024-09-01,
866,715,31,2024-09-01,
867,716,11,2025-01-08,
868,717,40,2024-09-01,
869,718,28,2024-09-01,
870,719,34,2026-06-08,2026-09-02
871,719,20,2026-09-03,
872,720,7,2025-06-23,
873,721,40,2024-09-01,
874,722,26,2024-09-01,
875,723,3,2024-09-01,
876,724,34,2025-05-07,
877,725,33,2024-09-01,
878,726,11,2024-09-01,
879,727,37,2024-09-01,
880,728,29,2025-10-22,
881,729,19,2024-09-01,2026-07-12
882,729,23,2026-07-13,
883,730,19,2024-10-30,
884,731,41,2025-02-09,
885,732,5,2025-10-10,
886,733,11,2025-04-06,
887,734,25,2024-09-01,
888,735,12,2025-09-15,
889,736,37,2024-09-01,2026-03-11
890,736,28,2026-03-12,
891,737,23,2024-09-01,
892,738,22,2024-09-01,
893,739,17,2024-09-01,
894,740,24,2024-09-01,
895,741,33,2024-09-01,
896,742,18,2024-09-01,2024-12-27
897,742,39,2024-12-28,
898,743,39,2025-09-13,
899,744,15,2024-09-01,2026-05-07
900,744,37,2026-05-08,
901,745,16,2024-09-01,2025-11-05
902,745,16,2025-11-06,
903,746,3,2024-09-01,
904,747,33,2024-09-01,
905,748,25,2024-09-01,
906,749,24,2024-09-01,
907,750,14,2024-09-01,
908,751,33,2024-09-01,
909,752,28,2024-09-01,
910,753,39,2024-09-01,2025-08-17
911,753,12,2025-08-18,
912,754,24,2024-09-01,
913,755,33,2026-06-21,
914,756,28,2024-09-01,
915,757,22,2024-09-01,
916,758,25,2026-01-30,
917,759,31,2024-09-01,2026-02-04
918,759,42,2026-02-05,
919,760,24,2024-09-01,
920,761,9,2024-09-01,
921,762,3,2024-09-01,
922,763,23,2024-09-01,
923,764,7,2025-07-12,
924,765,16,2024-09-01,
925,766,37,2024-09-01,
926,767,31,2024-09-01,
927,768,38,2024-09-01,
